ID-model,GO:0003674,GO:0000982,GO:0001077,GO:0022836,GO:0022839,GO:0005216,GO:0015267,GO:0022803,GO:0022838,GO:0004888,GO:0016740,GO:0001071,GO:0003700,GO:0038023,GO:0015075,GO:0000976,GO:0004872,GO:0043565,GO:0016787,GO:0000981,GO:0000977,GO:0001012,GO:0004871,GO:0060089,GO:0001228,GO:0000987,GO:0001159,GO:0022891,GO:0003677,GO:0022857,GO:0003824,GO:0003676,GO:0003823,GO:0001067,GO:0022892,GO:1901363,GO:0043167,GO:0000975,GO:0044212,GO:0097159,GO:0000978,GO:0005215,GO:0005488,GO:0008092,GO:0042803,GO:0031267,GO:0017016,GO:0051020,GO:0042802,GO:0046983,GO:0032403,GO:0005102,GO:0005515,GO:0003682,GO:0019899,GO:0043566,GO:0019901,GO:0019900,GO:0031490
124-2,NaN,0.54,0.50,0.68,0.68,0.73,0.73,0.73,0.73,0.90,0.76,0.79,0.79,0.87,0.71,0.50,0.50,0.83,0.48,0.87,0.50,0.52,0.09,0.09,0.50,0.50,0.50,0.70,0.60,0.66,0.30,0.56,0.55,0.48,0.67,0.54,0.28,0.48,0.48,0.54,0.50,0.65,0.35,0.66,0.49,0.54,0.54,0.54,0.49,0.50,0.50,0.51,0.27,0.58,0.49,0.50,0.50,0.50,0.50
124-3,NaN,0.96,0.96,0.55,0.55,0.83,0.83,0.83,0.83,0.89,0.44,0.75,0.75,0.89,0.82,0.90,0.87,0.64,0.49,0.89,0.91,0.91,0.89,0.89,0.91,0.92,0.92,0.77,0.73,0.81,0.45,0.62,0.83,0.89,0.56,0.41,0.28,0.89,0.89,0.41,0.92,0.70,0.39,0.85,0.53,0.59,0.62,0.56,0.57,0.51,0.67,0.59,0.30,0.77,0.50,0.79,0.60,0.60,0.91
125-1,NaN,0.59,0.55,0.77,0.77,0.85,0.85,0.85,0.85,0.94,0.99,0.90,0.90,0.93,0.85,0.55,0.93,0.78,0.91,0.55,0.50,0.50,0.93,0.93,0.53,0.50,0.50,0.83,0.91,0.86,0.89,0.90,0.77,0.59,0.82,0.84,0.75,0.59,0.59,0.84,0.50,0.83,0.71,0.69,0.47,0.53,0.53,0.53,0.64,0.47,0.50,0.54,0.76,0.58,0.51,0.50,0.49,0.49,0.50
125-2,NaN,0.68,0.65,0.86,0.86,0.92,0.92,0.92,0.92,0.93,0.95,0.91,0.91,0.92,0.92,0.68,0.90,0.78,0.93,0.76,0.62,0.62,0.91,0.91,0.69,0.53,0.53,0.89,0.89,0.89,0.85,0.86,0.86,0.74,0.88,0.78,0.74,0.74,0.74,0.77,0.50,0.85,0.59,0.66,0.44,0.56,0.56,0.56,0.43,0.48,0.52,0.53,0.56,0.61,0.51,0.56,0.49,0.49,0.50
125-3,NaN,0.98,0.98,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.93,0.93,0.95,0.95,0.93,0.93,0.90,0.87,0.94,0.87,0.87,0.92,0.92,0.91,0.87,0.87,0.93,0.86,0.92,0.83,0.85,0.81,0.88,0.89,0.78,0.78,0.88,0.88,0.75,0.83,0.86,0.75,0.85,0.56,0.69,0.70,0.69,0.65,0.50,0.70,0.71,0.67,0.86,0.49,0.65,0.59,0.58,0.74
126-1,NaN,0.50,0.50,0.73,0.73,0.73,0.73,0.73,0.73,0.90,0.69,0.56,0.56,0.90,0.75,0.50,0.87,0.50,0.58,0.50,0.50,0.50,0.90,0.90,0.50,0.50,0.50,0.73,0.56,0.73,0.60,0.56,0.58,0.50,0.73,0.54,0.67,0.50,0.50,0.53,0.50,0.71,0.63,0.56,0.50,0.54,0.54,0.54,0.53,0.50,0.50,0.50,0.57,0.50,0.51,0.50,0.50,0.50,0.50
127-1,NaN,0.81,0.79,0.95,0.95,0.96,0.96,0.96,0.96,0.98,0.99,0.92,0.92,0.98,0.96,0.78,0.98,0.87,0.96,0.90,0.70,0.70,0.97,0.97,0.85,0.52,0.52,0.92,0.91,0.92,0.93,0.91,0.82,0.89,0.92,0.87,0.75,0.89,0.89,0.86,0.52,0.91,0.71,0.76,0.52,0.48,0.48,0.51,0.48,0.48,0.63,0.64,0.59,0.71,0.54,0.69,0.49,0.54,0.50
127-2,NaN,0.91,0.91,0.95,0.95,0.95,0.95,0.95,0.95,0.99,0.98,0.92,0.92,0.99,0.95,0.90,0.98,0.92,0.94,0.87,0.85,0.85,0.99,0.99,0.86,0.89,0.89,0.91,0.91,0.91,0.93,0.91,0.86,0.91,0.90,0.89,0.84,0.91,0.91,0.88,0.83,0.90,0.80,0.76,0.56,0.65,0.65,0.65,0.52,0.51,0.63,0.55,0.64,0.87,0.47,0.77,0.50,0.50,0.77
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.71,0.69,0.53,0.53,0.56,0.56,0.56,0.56,0.77,0.83,0.70,0.70,0.77,0.54,0.69,0.79,0.72,0.65,0.69,0.65,0.65,0.76,0.76,0.69,0.68,0.68,0.53,0.68,0.53,0.66,0.69,0.69,0.69,0.52,0.65,0.43,0.69,0.69,0.64,0.65,0.51,0.61,0.66,0.56,0.54,0.54,0.53,0.53,0.52,0.53,0.48,0.56,0.50,0.44,0.53,0.49,0.54,0.48
129-1,NaN,0.93,0.92,0.93,0.93,0.93,0.96,0.96,0.93,0.99,0.92,0.94,0.94,0.99,0.95,0.93,0.99,0.90,0.93,0.91,0.85,0.85,0.99,0.99,0.88,0.85,0.85,0.93,0.92,0.93,0.88,0.92,0.87,0.93,0.92,0.88,0.77,0.93,0.94,0.86,0.73,0.89,0.62,0.77,0.65,0.62,0.63,0.66,0.67,0.57,0.61,0.60,0.44,0.67,0.48,0.74,0.60,0.59,0.47
129-2,NaN,0.88,0.88,0.38,0.38,0.31,0.33,0.33,0.31,0.43,0.71,0.85,0.85,0.43,0.28,0.82,0.48,0.79,0.87,0.83,0.78,0.78,0.43,0.43,0.82,0.79,0.80,0.31,0.83,0.31,0.78,0.84,0.78,0.81,0.30,0.81,0.68,0.81,0.81,0.79,0.67,0.32,0.65,0.72,0.61,0.49,0.50,0.52,0.63,0.54,0.62,0.60,0.48,0.65,0.48,0.72,0.56,0.55,0.48
129-3,NaN,0.93,0.92,0.93,0.93,0.93,0.96,0.96,0.93,0.99,0.92,0.94,0.94,0.99,0.95,0.93,0.99,0.91,0.92,0.92,0.85,0.88,0.99,0.99,0.88,0.86,0.86,0.93,0.92,0.93,0.88,0.92,0.87,0.93,0.92,0.88,0.77,0.93,0.93,0.86,0.77,0.89,0.62,0.77,0.61,0.67,0.63,0.73,0.70,0.56,0.64,0.61,0.44,0.66,0.48,0.72,0.61,0.59,0.47
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.55,0.50,0.68,0.68,0.69,0.69,0.69,0.69,0.91,0.98,0.88,0.88,0.91,0.71,0.52,0.95,0.70,0.90,0.53,0.50,0.50,0.90,0.90,0.49,0.50,0.50,0.69,0.88,0.73,0.88,0.89,0.58,0.52,0.69,0.82,0.74,0.52,0.52,0.81,0.50,0.71,0.64,0.58,0.49,0.54,0.54,0.54,0.49,0.49,0.50,0.53,0.54,0.58,0.51,0.50,0.50,0.50,0.50
131-2,NaN,0.55,0.50,0.68,0.68,0.73,0.73,0.73,0.73,0.90,0.98,0.88,0.88,0.90,0.75,0.52,0.95,0.70,0.88,0.53,0.50,0.50,0.90,0.90,0.50,0.50,0.50,0.73,0.90,0.76,0.87,0.90,0.58,0.52,0.73,0.84,0.74,0.52,0.52,0.83,0.50,0.74,0.63,0.58,0.50,0.54,0.54,0.54,0.50,0.50,0.50,0.54,0.55,0.58,0.51,0.50,0.50,0.50,0.50
131-3,NaN,0.63,0.59,0.93,0.93,0.95,0.95,0.95,0.95,0.99,0.99,0.92,0.92,0.99,0.93,0.62,0.98,0.80,0.92,0.72,0.54,0.54,0.99,0.99,0.62,0.52,0.52,0.89,0.92,0.89,0.91,0.93,0.82,0.69,0.88,0.85,0.79,0.69,0.69,0.85,0.49,0.84,0.75,0.59,0.47,0.60,0.57,0.60,0.46,0.49,0.50,0.55,0.61,0.69,0.53,0.55,0.50,0.55,0.50
132-1,NaN,0.66,0.55,0.67,0.66,0.87,0.87,0.87,0.87,0.81,0.97,0.94,0.89,0.79,0.93,0.84,0.93,0.76,0.94,0.85,0.72,0.77,0.77,0.93,0.68,0.51,0.51,0.87,0.88,0.88,0.88,0.85,0.85,0.89,0.86,0.83,0.68,0.85,0.84,0.81,0.52,0.84,0.87,0.84,0.52,0.70,0.73,0.75,0.51,0.51,0.51,0.58,0.82,0.78,0.56,0.80,0.47,0.47,0.66
132-2,NaN,0.66,0.55,0.66,0.66,0.87,0.87,0.87,0.87,0.80,0.98,0.94,0.89,0.77,0.93,0.84,0.94,0.76,0.92,0.85,0.72,0.77,0.76,0.94,0.68,0.51,0.51,0.88,0.87,0.89,0.87,0.84,0.85,0.89,0.87,0.83,0.69,0.85,0.84,0.81,0.52,0.85,0.81,0.84,0.52,0.70,0.73,0.75,0.51,0.51,0.47,0.57,0.67,0.78,0.55,0.80,0.47,0.47,0.66
65-1,NaN,0.67,0.64,0.92,0.92,0.89,0.88,0.89,0.88,0.96,0.78,0.80,0.80,0.95,0.80,0.79,0.95,0.81,0.76,0.88,0.54,0.56,0.94,0.95,0.62,0.63,0.62,0.76,0.83,0.74,0.68,0.82,0.82,0.82,0.73,0.76,0.52,0.81,0.82,0.75,0.63,0.68,0.65,0.71,0.40,0.58,0.59,0.58,0.42,0.44,0.53,0.56,0.62,0.57,0.51,0.88,0.51,0.51,0.49
65-2,NaN,0.67,0.64,0.92,0.92,0.89,0.88,0.89,0.88,0.96,0.80,0.82,0.81,0.95,0.80,0.87,0.95,0.81,0.77,0.86,0.62,0.70,0.94,0.95,0.62,0.62,0.62,0.76,0.83,0.74,0.69,0.82,0.82,0.82,0.73,0.75,0.52,0.82,0.82,0.75,0.63,0.68,0.65,0.71,0.46,0.58,0.58,0.61,0.45,0.48,0.53,0.56,0.62,0.60,0.51,0.88,0.51,0.50,0.49
65-3,NaN,0.67,0.64,0.92,0.92,0.89,0.88,0.88,0.88,0.96,0.80,0.81,0.81,0.95,0.79,0.88,0.95,0.82,0.76,0.86,0.63,0.65,0.94,0.94,0.62,0.63,0.63,0.76,0.83,0.73,0.68,0.81,0.82,0.83,0.73,0.75,0.52,0.83,0.81,0.75,0.63,0.67,0.64,0.71,0.49,0.58,0.58,0.61,0.49,0.47,0.53,0.56,0.62,0.62,0.51,0.88,0.51,0.50,0.49
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-2,NaN,0.87,0.86,0.95,0.95,0.94,0.94,0.94,0.94,0.99,0.90,0.94,0.94,0.98,0.93,0.92,0.97,0.91,0.92,0.86,0.90,0.91,0.98,0.97,0.88,0.80,0.88,0.93,0.91,0.94,0.84,0.93,0.82,0.88,0.92,0.82,0.65,0.88,0.88,0.80,0.77,0.89,0.82,0.77,0.67,0.80,0.76,0.80,0.60,0.53,0.65,0.70,0.73,0.82,0.67,0.79,0.56,0.55,0.49
70-1,NaN,0.50,0.50,0.95,0.95,0.92,0.96,0.96,0.96,0.99,0.94,0.96,0.96,0.99,0.96,0.50,0.99,0.94,0.93,0.76,0.50,0.50,0.99,0.99,0.50,0.50,0.50,0.92,0.95,0.91,0.91,0.96,0.50,0.83,0.91,0.92,0.69,0.83,0.83,0.91,0.50,0.90,0.91,0.71,0.55,0.53,0.53,0.53,0.60,0.51,0.53,0.70,0.79,0.88,0.62,0.81,0.52,0.56,0.50
70-2,NaN,0.92,0.77,0.95,0.95,0.92,0.92,0.92,0.92,0.78,0.60,0.89,0.90,0.73,0.99,0.83,0.61,0.88,0.90,0.88,0.79,0.76,0.56,0.55,0.87,0.53,0.62,0.92,0.53,0.95,0.72,0.88,0.50,0.83,0.92,0.86,0.86,0.83,0.83,0.85,0.53,0.90,0.62,0.75,0.43,0.58,0.59,0.58,0.59,0.50,0.49,0.50,0.51,0.65,0.51,0.78,0.63,0.63,0.50
70-3,NaN,0.80,0.77,0.74,0.74,0.72,0.71,0.71,0.72,0.57,0.86,0.86,0.86,0.57,0.71,0.50,0.60,0.49,0.95,0.85,0.50,0.50,0.56,0.56,0.76,0.50,0.50,0.73,0.70,0.71,0.81,0.69,0.72,0.50,0.83,0.86,0.75,0.50,0.50,0.46,0.50,0.78,0.59,0.67,0.49,0.56,0.56,0.56,0.55,0.46,0.50,0.66,0.50,0.50,0.47,0.64,0.60,0.57,0.50
72-1,NaN,0.50,0.50,0.73,0.73,0.73,0.73,0.73,0.73,0.89,0.98,0.94,0.94,0.89,0.75,0.52,0.89,0.57,0.91,0.50,0.50,0.50,0.89,0.89,0.50,0.50,0.50,0.73,0.77,0.76,0.86,0.80,0.58,0.52,0.73,0.73,0.71,0.52,0.52,0.72,0.50,0.75,0.62,0.57,0.49,0.54,0.54,0.53,0.49,0.49,0.49,0.55,0.58,0.58,0.51,0.50,0.50,0.50,0.50
72-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.73,0.49,0.94,0.94,0.73,0.50,0.50,0.74,0.57,0.64,0.50,0.50,0.50,0.72,0.72,0.50,0.50,0.50,0.50,0.77,0.50,0.58,0.78,0.50,0.50,0.50,0.74,0.64,0.50,0.50,0.73,0.50,0.50,0.64,0.58,0.49,0.50,0.50,0.50,0.49,0.49,0.49,0.53,0.57,0.58,0.50,0.50,0.50,0.50,0.50
73-1,NaN,0.86,0.64,0.96,0.96,0.94,0.94,0.94,0.94,0.96,0.82,0.86,0.86,0.95,0.91,0.85,0.93,0.81,0.86,0.86,0.82,0.82,0.94,0.94,0.78,0.85,0.85,0.88,0.84,0.84,0.78,0.82,0.83,0.87,0.86,0.74,0.71,0.87,0.87,0.72,0.63,0.75,0.64,0.72,0.52,0.72,0.72,0.72,0.57,0.53,0.62,0.67,0.65,0.67,0.52,0.58,0.54,0.51,0.60
73-2,NaN,0.91,0.88,0.97,0.97,0.95,0.95,0.95,0.95,0.96,0.83,0.87,0.87,0.95,0.91,0.85,0.94,0.81,0.87,0.86,0.83,0.83,0.94,0.94,0.85,0.84,0.84,0.88,0.84,0.85,0.79,0.82,0.82,0.90,0.87,0.74,0.71,0.90,0.89,0.72,0.81,0.75,0.64,0.73,0.61,0.73,0.73,0.73,0.65,0.59,0.61,0.63,0.65,0.70,0.53,0.60,0.53,0.52,0.59
73-3,NaN,0.92,0.50,0.90,0.90,0.86,0.85,0.85,0.85,0.86,0.69,0.86,0.88,0.83,0.86,0.86,0.81,0.80,0.61,0.88,0.76,0.79,0.80,0.77,0.85,0.61,0.81,0.78,0.77,0.79,0.58,0.75,0.83,0.84,0.79,0.59,0.60,0.84,0.81,0.57,0.50,0.76,0.50,0.70,0.50,0.67,0.69,0.67,0.47,0.50,0.58,0.56,0.56,0.55,0.43,0.56,0.56,0.57,0.49
74-1,NaN,0.59,0.55,0.50,0.50,0.49,0.49,0.49,0.49,0.90,0.71,0.74,0.74,0.90,0.49,0.54,0.90,0.64,0.63,0.58,0.52,0.52,0.90,0.90,0.56,0.50,0.50,0.49,0.76,0.49,0.63,0.76,0.74,0.59,0.48,0.70,0.58,0.59,0.59,0.70,0.50,0.48,0.67,0.53,0.53,0.53,0.53,0.53,0.50,0.50,0.51,0.54,0.57,0.67,0.50,0.57,0.49,0.49,0.50
74-2,NaN,0.50,0.50,0.62,0.62,0.67,0.67,0.67,0.67,0.98,0.98,0.93,0.93,0.98,0.69,0.50,0.92,0.74,0.84,0.65,0.50,0.50,0.97,0.97,0.50,0.50,0.50,0.67,0.94,0.91,0.85,0.94,0.79,0.50,0.65,0.83,0.69,0.50,0.50,0.82,0.50,0.87,0.70,0.68,0.46,0.56,0.56,0.56,0.52,0.47,0.52,0.61,0.67,0.57,0.51,0.49,0.54,0.53,0.50
75-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
75-2,NaN,0.87,0.86,0.95,0.95,0.94,0.94,0.94,0.94,0.98,0.95,0.94,0.94,0.98,0.93,0.92,0.96,0.91,0.96,0.86,0.90,0.91,0.97,0.97,0.88,0.80,0.88,0.93,0.94,0.94,0.89,0.93,0.81,0.88,0.92,0.83,0.72,0.88,0.88,0.82,0.77,0.89,0.82,0.77,0.67,0.80,0.76,0.80,0.60,0.53,0.65,0.69,0.73,0.85,0.67,0.79,0.56,0.55,0.49
79-1,NaN,0.85,0.49,0.95,0.95,0.91,0.91,0.91,0.91,0.99,0.95,0.92,0.84,0.99,0.91,0.69,0.98,0.70,0.92,0.83,0.61,0.65,0.99,0.99,0.78,0.59,0.59,0.88,0.78,0.88,0.88,0.85,0.72,0.76,0.87,0.82,0.73,0.76,0.69,0.81,0.49,0.85,0.76,0.67,0.49,0.70,0.70,0.73,0.45,0.47,0.63,0.58,0.57,0.48,0.59,0.51,0.53,0.52,0.49
79-2,NaN,0.86,0.50,0.63,0.63,0.65,0.65,0.65,0.65,0.95,0.82,0.90,0.85,0.95,0.67,0.70,0.95,0.72,0.89,0.85,0.62,0.67,0.95,0.95,0.79,0.60,0.60,0.66,0.75,0.66,0.83,0.85,0.73,0.78,0.66,0.83,0.78,0.78,0.71,0.82,0.50,0.64,0.71,0.64,0.50,0.53,0.53,0.53,0.45,0.48,0.52,0.53,0.51,0.50,0.52,0.52,0.55,0.55,0.50
79-3,NaN,0.85,0.49,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.98,0.91,0.83,0.94,0.95,0.69,0.94,0.70,0.91,0.83,0.60,0.65,0.93,0.93,0.78,0.59,0.59,0.91,0.86,0.91,0.91,0.90,0.73,0.76,0.91,0.86,0.71,0.76,0.69,0.84,0.49,0.88,0.80,0.72,0.49,0.72,0.72,0.76,0.44,0.47,0.63,0.57,0.63,0.48,0.57,0.51,0.52,0.48,0.49
80-1,NaN,0.59,0.55,0.54,0.54,0.53,0.53,0.53,0.53,0.90,0.75,0.74,0.74,0.90,0.53,0.54,0.90,0.64,0.67,0.58,0.52,0.52,0.90,0.90,0.56,0.50,0.50,0.52,0.75,0.52,0.67,0.76,0.74,0.59,0.52,0.70,0.61,0.59,0.59,0.70,0.50,0.51,0.67,0.53,0.53,0.53,0.53,0.53,0.50,0.50,0.51,0.54,0.57,0.67,0.50,0.57,0.49,0.49,0.50
80-2,NaN,0.55,0.50,0.67,0.67,0.71,0.71,0.71,0.71,0.98,0.98,0.93,0.93,0.98,0.72,0.52,0.92,0.74,0.90,0.64,0.50,0.50,0.97,0.97,0.50,0.50,0.50,0.70,0.94,0.91,0.89,0.94,0.79,0.52,0.69,0.84,0.74,0.52,0.52,0.83,0.50,0.86,0.69,0.68,0.46,0.60,0.60,0.60,0.51,0.47,0.52,0.61,0.68,0.62,0.52,0.49,0.54,0.53,0.50
81-1,NaN,0.50,0.50,0.64,0.64,0.62,0.77,0.77,0.62,0.90,0.85,0.83,0.83,0.90,0.89,0.50,0.93,0.66,0.89,0.50,0.50,0.50,0.94,0.94,0.50,0.50,0.50,0.86,0.73,0.90,0.83,0.72,0.73,0.50,0.86,0.71,0.69,0.50,0.50,0.70,0.50,0.87,0.69,0.69,0.49,0.54,0.54,0.54,0.56,0.49,0.50,0.52,0.60,0.54,0.51,0.50,0.50,0.50,0.50
81-2,NaN,0.50,0.50,0.64,0.64,0.62,0.77,0.77,0.62,0.90,0.85,0.83,0.83,0.90,0.89,0.50,0.93,0.66,0.89,0.50,0.50,0.50,0.94,0.94,0.50,0.50,0.50,0.86,0.73,0.90,0.83,0.72,0.73,0.50,0.86,0.71,0.69,0.50,0.50,0.70,0.50,0.87,0.69,0.69,0.49,0.54,0.54,0.54,0.56,0.49,0.50,0.52,0.60,0.54,0.51,0.50,0.50,0.50,0.50
82-1,NaN,0.92,0.93,0.94,0.94,0.95,0.95,0.95,0.95,0.94,0.94,0.91,0.91,0.94,0.94,0.86,0.93,0.83,0.88,0.86,0.79,0.79,0.93,0.93,0.85,0.84,0.84,0.90,0.83,0.90,0.86,0.79,0.82,0.83,0.92,0.75,0.85,0.83,0.83,0.73,0.78,0.90,0.73,0.77,0.60,0.64,0.65,0.64,0.60,0.53,0.57,0.52,0.61,0.51,0.42,0.65,0.57,0.57,0.45
83-1,NaN,0.88,0.93,0.94,0.93,0.95,0.95,0.95,0.95,0.99,0.97,0.89,0.88,0.99,0.95,0.90,0.98,0.92,0.95,0.88,0.85,0.90,0.98,0.98,0.88,0.83,0.83,0.94,0.91,0.94,0.92,0.91,0.72,0.91,0.94,0.85,0.72,0.91,0.91,0.84,0.78,0.92,0.30,0.90,0.52,0.80,0.77,0.80,0.52,0.49,0.76,0.59,0.30,0.97,0.59,0.89,0.54,0.59,0.59
83-2,NaN,0.88,0.93,0.94,0.94,0.95,0.95,0.95,0.95,0.99,0.98,0.89,0.88,0.99,0.95,0.90,0.98,0.92,0.95,0.88,0.85,0.90,0.99,0.99,0.88,0.83,0.83,0.94,0.91,0.94,0.93,0.91,0.72,0.91,0.94,0.85,0.72,0.91,0.91,0.85,0.78,0.92,0.30,0.90,0.52,0.80,0.77,0.80,0.52,0.49,0.76,0.59,0.30,0.97,0.59,0.89,0.54,0.59,0.59
84-1,NaN,0.56,0.61,0.80,0.80,0.79,0.79,0.79,0.79,0.56,0.76,0.65,0.65,0.56,0.78,0.68,0.58,0.71,0.64,0.63,0.65,0.65,0.54,0.54,0.60,0.50,0.50,0.79,0.65,0.79,0.67,0.62,0.67,0.72,0.79,0.42,0.51,0.72,0.72,0.43,0.50,0.78,0.41,0.49,0.50,0.46,0.46,0.46,0.50,0.50,0.52,0.59,0.55,0.50,0.48,0.49,0.50,0.50,0.50
85-1,NaN,0.89,0.88,0.95,0.95,0.96,0.96,0.96,0.96,0.99,0.98,0.93,0.93,0.99,0.95,0.85,0.98,0.85,0.93,0.89,0.82,0.82,0.99,0.99,0.88,0.72,0.72,0.91,0.91,0.91,0.91,0.90,0.78,0.84,0.91,0.82,0.71,0.84,0.84,0.81,0.72,0.87,0.81,0.81,0.63,0.66,0.66,0.65,0.61,0.57,0.48,0.63,0.70,0.52,0.50,0.56,0.44,0.43,0.48
85-2,NaN,0.93,0.93,0.94,0.94,0.95,0.95,0.95,0.95,0.98,0.94,0.91,0.92,0.98,0.98,0.85,0.97,0.87,0.90,0.89,0.82,0.82,0.97,0.97,0.88,0.75,0.75,0.96,0.86,0.96,0.87,0.86,0.82,0.88,0.96,0.78,0.59,0.88,0.88,0.76,0.76,0.94,0.59,0.79,0.64,0.65,0.65,0.65,0.63,0.55,0.49,0.55,0.54,0.61,0.51,0.57,0.48,0.63,0.48
86-1,NaN,0.50,0.50,0.86,0.86,0.81,0.81,0.81,0.81,0.58,0.75,0.74,0.74,0.58,0.82,0.50,0.57,0.50,0.70,0.50,0.50,0.50,0.58,0.58,0.50,0.50,0.50,0.79,0.68,0.83,0.71,0.76,0.50,0.50,0.79,0.75,0.61,0.50,0.50,0.75,0.50,0.81,0.77,0.56,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.50,0.66,0.54,0.50,0.50,0.50,0.50,0.50
86-2,NaN,0.50,0.50,0.86,0.86,0.81,0.81,0.81,0.81,0.58,0.75,0.74,0.74,0.58,0.82,0.50,0.57,0.50,0.70,0.50,0.50,0.50,0.58,0.58,0.50,0.50,0.50,0.79,0.68,0.83,0.71,0.76,0.50,0.50,0.79,0.75,0.61,0.50,0.50,0.75,0.50,0.81,0.77,0.56,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.50,0.66,0.54,0.50,0.50,0.50,0.50,0.50
86-3,NaN,0.50,0.50,0.86,0.86,0.81,0.81,0.81,0.81,0.49,0.69,0.75,0.75,0.49,0.82,0.50,0.49,0.50,0.67,0.50,0.50,0.50,0.49,0.49,0.50,0.50,0.50,0.80,0.66,0.83,0.68,0.66,0.50,0.50,0.80,0.65,0.57,0.50,0.50,0.65,0.50,0.81,0.73,0.54,0.50,0.50,0.50,0.50,0.49,0.49,0.50,0.50,0.66,0.54,0.50,0.50,0.50,0.50,0.50
