ID-model,GO:0008150,GO:0046483,GO:1901360,GO:0090304,GO:0006725,GO:0006139,GO:0016070,GO:0034641,GO:0006807,GO:1901576,GO:0009058,GO:0044249,GO:0044763,GO:0044281,GO:0043170,GO:0044260,GO:0010467,GO:0060255,GO:0050794,GO:0044710,GO:0008152,GO:0065007,GO:0019222,GO:0080090,GO:0044238,GO:0044699,GO:0050789,GO:0031323,GO:0044237,GO:0071704,GO:0009987
85-1,NaN,0.90,0.90,0.91,0.88,0.88,0.85,0.85,0.88,0.80,0.79,0.75,0.64,0.78,0.82,0.79,0.79,0.67,0.75,0.77,0.81,0.76,0.67,0.67,0.78,0.71,0.75,0.66,0.75,0.77,0.67
85-2,NaN,0.90,0.90,0.91,0.88,0.88,0.85,0.85,0.88,0.80,0.79,0.75,0.64,0.78,0.82,0.79,0.79,0.67,0.75,0.77,0.81,0.76,0.67,0.67,0.78,0.71,0.75,0.66,0.75,0.77,0.67
86-1,NaN,0.59,0.59,0.60,0.58,0.58,0.57,0.58,0.58,0.61,0.61,0.61,0.64,0.59,0.60,0.60,0.53,0.63,0.66,0.59,0.63,0.63,0.62,0.64,0.58,0.71,0.65,0.64,0.61,0.55,0.63
86-2,NaN,0.59,0.59,0.60,0.58,0.58,0.57,0.58,0.58,0.61,0.61,0.61,0.64,0.59,0.60,0.60,0.53,0.63,0.66,0.59,0.63,0.63,0.62,0.64,0.58,0.71,0.65,0.64,0.61,0.55,0.63
86-3,NaN,0.55,0.55,0.53,0.53,0.53,0.54,0.55,0.55,0.57,0.57,0.57,0.62,0.55,0.52,0.53,0.53,0.50,0.59,0.55,0.55,0.60,0.50,0.50,0.52,0.64,0.59,0.50,0.55,0.53,0.57
87-1,NaN,0.81,0.81,0.81,0.80,0.79,0.78,0.82,0.82,0.72,0.72,0.71,0.61,0.81,0.79,0.74,0.74,0.62,0.65,0.87,0.74,0.62,0.65,0.61,0.73,0.61,0.66,0.60,0.70,0.73,0.62
87-2,NaN,0.80,0.76,0.80,0.79,0.78,0.78,0.80,0.80,0.66,0.72,0.72,0.59,0.81,0.76,0.73,0.74,0.63,0.64,0.88,0.74,0.61,0.65,0.63,0.72,0.57,0.66,0.60,0.71,0.69,0.56
87-3,NaN,0.84,0.84,0.85,0.82,0.84,0.81,0.81,0.81,0.62,0.62,0.62,0.56,0.65,0.79,0.78,0.78,0.40,0.53,0.63,0.73,0.45,0.39,0.39,0.71,0.53,0.48,0.42,0.72,0.72,0.58
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
94-1,NaN,0.84,0.84,0.83,0.84,0.83,0.83,0.83,0.83,0.75,0.73,0.72,0.61,0.77,0.74,0.75,0.79,0.68,0.73,0.77,0.67,0.78,0.70,0.64,0.72,0.63,0.76,0.64,0.69,0.70,0.57
95-1,NaN,0.76,0.78,0.76,0.76,0.74,0.69,0.76,0.76,0.65,0.67,0.66,0.57,0.76,0.67,0.68,0.65,0.68,0.56,0.78,0.63,0.51,0.66,0.67,0.63,0.56,0.59,0.63,0.60,0.61,0.52
95-2,NaN,0.75,0.75,0.71,0.72,0.70,0.64,0.74,0.74,0.66,0.67,0.68,0.54,0.83,0.69,0.67,0.62,0.66,0.55,0.83,0.71,0.55,0.65,0.65,0.66,0.53,0.59,0.58,0.65,0.69,0.53
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.92,0.91,0.88,0.92,0.92,0.92,0.90,0.91,0.86,0.86,0.85,0.73,0.77,0.84,0.85,0.89,0.89,0.72,0.75,0.76,0.70,0.83,0.80,0.81,0.77,0.73,0.80,0.81,0.78,0.65
99-1,NaN,0.86,0.85,0.85,0.86,0.86,0.83,0.83,0.83,0.77,0.74,0.73,0.63,0.79,0.79,0.77,0.82,0.70,0.63,0.77,0.74,0.62,0.65,0.70,0.76,0.54,0.66,0.70,0.69,0.72,0.49
