GO:0000001	mitochondrion inheritance
GO:0010201	response to continuous far red light stimulus by the high-irradiance response system
GO:0010202	response to low fluence red light stimulus
GO:0010203	response to very low fluence red light stimulus
GO:0010204	defense response signaling pathway, resistance gene-independent
GO:0010205	photoinhibition
GO:0010206	photosystem II repair
GO:0010207	photosystem II assembly
GO:0010208	pollen wall assembly
GO:0010212	response to ionizing radiation
GO:0010213	non-photoreactive DNA repair
GO:0010214	seed coat development
GO:0010215	cellulose microfibril organization
GO:0010216	maintenance of DNA methylation
GO:0010217	cellular aluminum ion homeostasis
GO:0010218	response to far red light
GO:0010219	regulation of vernalization response
GO:0010220	positive regulation of vernalization response
GO:0010221	negative regulation of vernalization response
GO:0010222	stem vascular tissue pattern formation
GO:0010223	secondary shoot formation
GO:0010224	response to UV-B
GO:0010225	response to UV-C
GO:0010226	response to lithium ion
GO:0010227	floral organ abscission
GO:0010228	vegetative to reproductive phase transition of meristem
GO:0010229	inflorescence development
GO:0010230	alternative respiration
GO:0010231	maintenance of seed dormancy
GO:0010232	vascular transport
GO:0010233	phloem transport
GO:0010234	anther wall tapetum cell fate specification
GO:0010235	guard mother cell cytokinesis
GO:0010236	plastoquinone biosynthetic process
GO:0010238	response to proline
GO:0010239	chloroplast mRNA processing
GO:0010241	ent-kaurene oxidation to kaurenoic acid
GO:0010243	response to organic nitrogen
GO:0010244	response to low fluence blue light stimulus by blue low-fluence system
GO:0010245	radial microtubular system formation
GO:0010246	rhamnogalacturonan I biosynthetic process
GO:0010247	detection of phosphate ion
GO:0010248	establishment or maintenance of transmembrane electrochemical gradient
GO:0010249	auxin conjugate metabolic process
GO:0010250	S-methylmethionine biosynthetic process
GO:0010252	auxin homeostasis
GO:0010253	UDP-rhamnose biosynthetic process
GO:0010254	nectary development
GO:0010255	glucose mediated signaling pathway
GO:0010256	endomembrane system organization
GO:0010257	NADH dehydrogenase complex assembly
GO:0010258	NADH dehydrogenase complex (plastoquinone) assembly
GO:0010259	multicellular organismal aging
GO:0010260	organ senescence
GO:0010262	somatic embryogenesis
GO:0010263	tricyclic triterpenoid biosynthetic process
GO:0010264	myo-inositol hexakisphosphate biosynthetic process
GO:0010265	SCF complex assembly
GO:0010266	response to vitamin B1
GO:0010267	production of ta-siRNAs involved in RNA interference
GO:0010268	brassinosteroid homeostasis
GO:0010269	response to selenium ion
GO:0010270	photosystem II oxygen evolving complex assembly
GO:0010271	regulation of chlorophyll catabolic process
GO:0010272	response to silver ion
GO:0010273	detoxification of copper ion
GO:0010274	hydrotropism
GO:0010275	NAD(P)H dehydrogenase complex assembly
GO:0010286	heat acclimation
GO:0010288	response to lead ion
GO:0010289	homogalacturonan biosynthetic process
GO:0010299	detoxification of cobalt ion
GO:0010304	PSII associated light-harvesting complex II catabolic process
GO:0010305	leaf vascular tissue pattern formation
GO:0010306	rhamnogalacturonan II biosynthetic process
GO:0010310	regulation of hydrogen peroxide metabolic process
GO:0010311	lateral root formation
GO:0010312	detoxification of zinc ion
GO:0010315	auxin efflux
GO:0010321	regulation of vegetative phase change
GO:0010322	regulation of isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway
GO:0010323	negative regulation of isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway
GO:0010324	membrane invagination
GO:0010325	raffinose family oligosaccharide biosynthetic process
GO:0010332	response to gamma radiation
GO:0010335	response to non-ionic osmotic stress
GO:0010336	gibberellic acid homeostasis
GO:0010337	regulation of salicylic acid metabolic process
GO:0010338	leaf formation
GO:0010342	endosperm cellularization
GO:0010343	singlet oxygen-mediated programmed cell death
GO:0010344	seed oilbody biogenesis
GO:0010345	suberin biosynthetic process
GO:0010346	shoot axis formation
GO:0010350	cellular response to magnesium starvation
GO:0010351	lithium ion transport
GO:0010352	lithium ion export
GO:0010353	response to trehalose stimulus
GO:0010358	leaf shaping
GO:0010359	regulation of anion channel activity
GO:0010360	negative regulation of anion channel activity
GO:0010361	regulation of anion channel activity by blue light
GO:0010362	negative regulation of anion channel activity by blue light
GO:0010363	regulation of plant-type hypersensitive response
GO:0010364	regulation of ethylene biosynthetic process
GO:0010365	positive regulation of ethylene biosynthetic process
GO:0010366	negative regulation of ethylene biosynthetic process
GO:0010371	regulation of gibberellin biosynthetic process
GO:0010372	positive regulation of gibberellin biosynthetic process
GO:0010373	negative regulation of gibberellin biosynthetic process
GO:0010374	stomatal complex development
GO:0010375	stomatal complex patterning
GO:0010376	stomatal complex formation
GO:0010377	guard cell fate commitment
GO:0010378	temperature compensation of the circadian clock
GO:0010379	phaseic acid biosynthetic process
GO:0010380	regulation of chlorophyll biosynthetic process
GO:0010381	attachment of peroxisome to chloroplast
GO:0010383	cell wall polysaccharide metabolic process
GO:0010384	cell wall proteoglycan metabolic process
GO:0010387	signalosome assembly
GO:0010388	cullin deneddylation
GO:0010389	regulation of G2/M transition of mitotic cell cycle
GO:0010390	histone monoubiquitination
GO:0010391	glucomannan metabolic process
GO:0010392	galactoglucomannan metabolic process
GO:0010393	galacturonan metabolic process
GO:0010394	homogalacturonan metabolic process
GO:0010395	rhamnogalacturonan I metabolic process
GO:0010396	rhamnogalacturonan II metabolic process
GO:0010397	apiogalacturonan metabolic process
GO:0010398	xylogalacturonan metabolic process
GO:0010399	rhamnogalacturonan I backbone metabolic process
GO:0010400	rhamnogalacturonan I side chain metabolic process
GO:0010401	pectic galactan metabolic process
GO:0010402	pectic arabinan metabolic process
GO:0010403	pectic arabinogalactan I metabolic process
GO:0010404	cell wall hydroxyproline-rich glycoprotein metabolic process
GO:0010405	arabinogalactan protein metabolic process
GO:0010406	classical arabinogalactan protein metabolic process
GO:0010407	non-classical arabinogalactan protein metabolic process
GO:0010408	fasciclin-like arabinogalactan protein metabolic process
GO:0010409	extensin metabolic process
GO:0010410	hemicellulose metabolic process
GO:0010411	xyloglucan metabolic process
GO:0010412	mannan metabolic process
GO:0010413	glucuronoxylan metabolic process
GO:0010414	glucuronoarabinoxylan metabolic process
GO:0010415	unsubstituted mannan metabolic process
GO:0010416	arabinoxylan-containing compound metabolic process
GO:0010417	glucuronoxylan biosynthetic process
GO:0010418	rhamnogalacturonan II backbone metabolic process
GO:0010419	rhamnogalacturonan II side chain metabolic process
GO:0010421	hydrogen peroxide-mediated programmed cell death
GO:0010422	regulation of brassinosteroid biosynthetic process
GO:0010423	negative regulation of brassinosteroid biosynthetic process
GO:0010424	DNA methylation on cytosine within a CG sequence
GO:0010425	DNA methylation on cytosine within a CNG sequence
GO:0010426	DNA methylation on cytosine within a CHH sequence
GO:0010430	fatty acid omega-oxidation
GO:0010431	seed maturation
GO:0010432	bract development
GO:0010433	bract morphogenesis
GO:0010434	bract formation
GO:0010438	cellular response to sulfur starvation
GO:0010439	regulation of glucosinolate biosynthetic process
GO:0010440	stomatal lineage progression
GO:0010441	guard cell development
GO:0010442	guard cell morphogenesis
GO:0010443	meristemoid mother cell division
GO:0010444	guard mother cell differentiation
GO:0010446	response to alkalinity
GO:0010447	response to acidity
GO:0010448	vegetative meristem growth
GO:0010449	root meristem growth
GO:0010450	inflorescence meristem growth
GO:0010451	floral meristem growth
GO:0010452	histone H3-K36 methylation
GO:0010453	regulation of cell fate commitment
GO:0010454	negative regulation of cell fate commitment
GO:0010455	positive regulation of cell fate commitment
GO:0010456	cell proliferation in dorsal spinal cord
GO:0010457	centriole-centriole cohesion
GO:0010458	exit from mitosis
GO:0010459	negative regulation of heart rate
GO:0010460	positive regulation of heart rate
GO:0010462	regulation of light-activated voltage-gated calcium channel activity
GO:0010463	mesenchymal cell proliferation
GO:0010464	regulation of mesenchymal cell proliferation
GO:0010466	negative regulation of peptidase activity
GO:0010467	gene expression
GO:0010468	regulation of gene expression
GO:0010469	regulation of receptor activity
GO:0010470	regulation of gastrulation
GO:0010476	gibberellin mediated signaling pathway
GO:0010477	response to sulfur dioxide
GO:0010478	chlororespiration
GO:0010479	stele development
GO:0010480	microsporocyte differentiation
GO:0010481	epidermal cell division
GO:0010482	regulation of epidermal cell division
GO:0010483	pollen tube reception
GO:0010492	maintenance of shoot apical meristem identity
GO:0010493	Lewis a epitope biosynthetic process
GO:0010495	long-distance posttranscriptional gene silencing
GO:0010496	intercellular transport
GO:0010497	plasmodesmata-mediated intercellular transport
GO:0010498	proteasomal protein catabolic process
GO:0010499	proteasomal ubiquitin-independent protein catabolic process
GO:0010500	transmitting tissue development
GO:0010501	RNA secondary structure unwinding
GO:0010503	negative regulation of cell cycle arrest in response to nitrogen starvation
GO:0010504	regulation of cell cycle arrest in response to nitrogen starvation
GO:0010505	positive regulation of cell cycle arrest in response to nitrogen starvation
GO:0010506	regulation of autophagy
GO:0010507	negative regulation of autophagy
GO:0010508	positive regulation of autophagy
GO:0010509	polyamine homeostasis
GO:0010510	regulation of acetyl-CoA biosynthetic process from pyruvate
GO:0010511	regulation of phosphatidylinositol biosynthetic process
GO:0010512	negative regulation of phosphatidylinositol biosynthetic process
GO:0010513	positive regulation of phosphatidylinositol biosynthetic process
GO:0010514	induction of conjugation with cellular fusion
GO:0010515	negative regulation of induction of conjugation with cellular fusion
GO:0010516	negative regulation of cellular response to nitrogen starvation
GO:0010517	regulation of phospholipase activity
GO:0010518	positive regulation of phospholipase activity
GO:0010519	negative regulation of phospholipase activity
GO:0010520	regulation of reciprocal meiotic recombination
GO:0010522	regulation of calcium ion transport into cytosol
GO:0010523	negative regulation of calcium ion transport into cytosol
GO:0010524	positive regulation of calcium ion transport into cytosol
GO:0010525	regulation of transposition, RNA-mediated
GO:0010526	negative regulation of transposition, RNA-mediated
GO:0010527	positive regulation of transposition, RNA-mediated
GO:0010528	regulation of transposition
GO:0010529	negative regulation of transposition
GO:0010530	positive regulation of transposition
GO:0010531	activation of JAK1 kinase activity
GO:0010532	regulation of activation of JAK1 kinase activity
GO:0010533	regulation of activation of Janus kinase activity
GO:0010534	regulation of activation of JAK2 kinase activity
GO:0010535	positive regulation of activation of JAK2 kinase activity
GO:0010536	positive regulation of activation of Janus kinase activity
GO:0010537	positive regulation of activation of JAK1 kinase activity
GO:0010540	basipetal auxin transport
GO:0010541	acropetal auxin transport
GO:0010543	regulation of platelet activation
GO:0010544	negative regulation of platelet activation
GO:0010547	thylakoid membrane disassembly
GO:0010548	regulation of thylakoid membrane disassembly
GO:0010549	regulation of membrane disassembly
GO:0010550	regulation of PSII associated light-harvesting complex II catabolic process
GO:0010554	neurotransmitter secretory pathway
GO:0010555	response to mannitol stimulus
GO:0010556	regulation of macromolecule biosynthetic process
GO:0010557	positive regulation of macromolecule biosynthetic process
GO:0010558	negative regulation of macromolecule biosynthetic process
GO:0010559	regulation of glycoprotein biosynthetic process
GO:0010560	positive regulation of glycoprotein biosynthetic process
GO:0010561	negative regulation of glycoprotein biosynthetic process
GO:0010562	positive regulation of phosphorus metabolic process
GO:0010563	negative regulation of phosphorus metabolic process
GO:0010564	regulation of cell cycle process
GO:0010565	regulation of cellular ketone metabolic process
GO:0010566	regulation of ketone biosynthetic process
GO:0010567	regulation of ketone catabolic process
GO:0010568	regulation of budding cell apical bud growth
GO:0010569	regulation of double-strand break repair via homologous recombination
GO:0010570	regulation of filamentous growth
GO:0010571	positive regulation of nuclear cell cycle DNA replication
GO:0010572	positive regulation of platelet activation
GO:0010573	vascular endothelial growth factor production
GO:0010574	regulation of vascular endothelial growth factor production
GO:0010575	positive regulation vascular endothelial growth factor production
GO:0010578	regulation of adenylate cyclase activity involved in G-protein coupled receptor signaling pathway
GO:0010579	positive regulation of adenylate cyclase activity involved in G-protein coupled receptor signaling pathway
GO:0010581	regulation of starch biosynthetic process
GO:0010582	floral meristem determinacy
GO:0010583	response to cyclopentenone
GO:0010584	pollen exine formation
GO:0010585	glutamine secretion
GO:0010586	miRNA metabolic process
GO:0010587	miRNA catabolic process
GO:0010588	cotyledon vascular tissue pattern formation
GO:0010589	leaf proximal/distal pattern formation
GO:0010590	regulation of cytokinetic cell separation
GO:0010591	regulation of lamellipodium assembly
GO:0010592	positive regulation of lamellipodium assembly
GO:0010593	negative regulation of lamellipodium assembly
GO:0010594	regulation of endothelial cell migration
GO:0010595	positive regulation of endothelial cell migration
GO:0010596	negative regulation of endothelial cell migration
GO:0010597	green leaf volatile biosynthetic process
GO:0010599	production of lsiRNA involved in RNA interference
GO:0010600	regulation of auxin biosynthetic process
GO:0010601	positive regulation of auxin biosynthetic process
GO:0010602	regulation of 1-aminocyclopropane-1-carboxylate metabolic process
GO:0010603	regulation of cytoplasmic mRNA processing body assembly
GO:0010604	positive regulation of macromolecule metabolic process
GO:0010605	negative regulation of macromolecule metabolic process
GO:0010606	positive regulation of cytoplasmic mRNA processing body assembly
GO:0010607	negative regulation of cytoplasmic mRNA processing body assembly
GO:0010608	posttranscriptional regulation of gene expression
GO:0010609	mRNA localization resulting in posttranscriptional regulation of gene expression
GO:0010610	regulation of mRNA stability involved in response to stress
GO:0010611	regulation of cardiac muscle hypertrophy
GO:0010612	regulation of cardiac muscle adaptation
GO:0010613	positive regulation of cardiac muscle hypertrophy
GO:0010614	negative regulation of cardiac muscle hypertrophy
GO:0010615	positive regulation of cardiac muscle adaptation
GO:0010616	negative regulation of cardiac muscle adaptation
GO:0010617	circadian regulation of calcium ion oscillation
GO:0010618	aerenchyma formation
GO:0010619	adenylate cyclase-activating glucose-activated G-protein coupled receptor signaling pathway
GO:0010620	negative regulation of transcription by transcription factor catabolism
GO:0010621	negative regulation of transcription by transcription factor localization
GO:0010622	specification of ovule identity
GO:0010623	developmental programmed cell death
GO:0010624	regulation of Schwann cell proliferation
GO:0010625	positive regulation of Schwann cell proliferation
GO:0010626	negative regulation of Schwann cell proliferation
GO:0010627	regulation of intracellular protein kinase cascade
GO:0010628	positive regulation of gene expression
GO:0010629	negative regulation of gene expression
GO:0010630	regulation of transcription, start site selection
GO:0010631	epithelial cell migration
GO:0010632	regulation of epithelial cell migration
GO:0010633	negative regulation of epithelial cell migration
GO:0010634	positive regulation of epithelial cell migration
GO:0010635	regulation of mitochondrial fusion
GO:0010636	positive regulation of mitochondrial fusion
GO:0010637	negative regulation of mitochondrial fusion
GO:0010638	positive regulation of organelle organization
GO:0010639	negative regulation of organelle organization
GO:0010640	regulation of platelet-derived growth factor receptor signaling pathway
GO:0010641	positive regulation of platelet-derived growth factor receptor signaling pathway
GO:0010642	negative regulation of platelet-derived growth factor receptor signaling pathway
GO:0010643	cell communication by chemical coupling
GO:0010644	cell communication by electrical coupling
GO:0010645	regulation of cell communication by chemical coupling
GO:0010646	regulation of cell communication
GO:0010647	positive regulation of cell communication
GO:0010648	negative regulation of cell communication
GO:0010649	regulation of cell communication by electrical coupling
GO:0010650	positive regulation of cell communication by electrical coupling
GO:0010651	negative regulation of cell communication by electrical coupling
GO:0010652	positive regulation of cell communication by chemical coupling
GO:0010653	negative regulation of cell communication by chemical coupling
GO:0010654	apical cell fate commitment
GO:0010656	negative regulation of muscle cell apoptotic process
GO:0010657	muscle cell apoptotic process
GO:0010658	striated muscle cell apoptotic process
GO:0010659	cardiac muscle cell apoptotic process
GO:0010660	regulation of muscle cell apoptotic process
GO:0010661	positive regulation of muscle cell apoptotic process
GO:0010662	regulation of striated muscle cell apoptotic process
GO:0010663	positive regulation of striated muscle cell apoptotic process
GO:0010664	negative regulation of striated muscle cell apoptotic process
GO:0010665	regulation of cardiac muscle cell apoptotic process
GO:0010666	positive regulation of cardiac muscle cell apoptotic process
GO:0010667	negative regulation of cardiac muscle cell apoptotic process
GO:0010668	ectodermal cell differentiation
GO:0010669	epithelial structure maintenance
GO:0010672	regulation of transcription from RNA polymerase II promoter during meiosis
GO:0010673	positive regulation of transcription from RNA polymerase II promoter during meiosis
GO:0010674	negative regulation of transcription from RNA polymerase II promoter during meiosis
GO:0010675	regulation of cellular carbohydrate metabolic process
GO:0010676	positive regulation of cellular carbohydrate metabolic process
GO:0010677	negative regulation of cellular carbohydrate metabolic process
GO:0010678	negative regulation of cellular carbohydrate metabolic process by negative regulation of transcription, DNA-dependent
GO:0010679	cinnamic acid biosynthetic process involved in salicylic acid metabolism
GO:0010680	cinnamic acid biosynthetic process involved in coumarin metabolism
GO:0010681	cinnamic acid biosynthetic process involved in stilbene metabolism
GO:0010682	cinnamic acid biosynthetic process involved in flavonoid metabolism
GO:0010683	tricyclic triterpenoid metabolic process
GO:0010684	tricyclic triterpenoid catabolic process
GO:0010685	tetracyclic triterpenoid metabolic process
GO:0010686	tetracyclic triterpenoid biosynthetic process
GO:0010688	negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter
GO:0010689	negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter in response to chemical stimulus
GO:0010690	negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter in response to stress
GO:0010691	negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter in response to nutrient levels
GO:0010692	regulation of alkaline phosphatase activity
GO:0010693	negative regulation of alkaline phosphatase activity
GO:0010694	positive regulation of alkaline phosphatase activity
GO:0010695	regulation of spindle pole body separation
GO:0010696	positive regulation of spindle pole body separation
GO:0010697	negative regulation of spindle pole body separation
GO:0010699	cell-cell signaling involved in quorum sensing
GO:0010700	negative regulation of norepinephrine secretion
GO:0010701	positive regulation of norepinephrine secretion
GO:0010702	regulation of histolysis
GO:0010703	negative regulation of histolysis
GO:0010704	meiotic DNA double-strand break processing involved in meiotic gene conversion
GO:0010705	meiotic DNA double-strand break processing involved in reciprocal meiotic recombination
GO:0010706	ganglioside biosynthetic process via lactosylceramide
GO:0010707	globoside biosynthetic process via lactosylceramide
GO:0010708	heteroduplex formation involved in gene conversion at mating-type locus
GO:0010709	heteroduplex formation involved in double-strand break repair via synthesis-dependent strand annealing
GO:0010710	regulation of collagen catabolic process
GO:0010711	negative regulation of collagen catabolic process
GO:0010712	regulation of collagen metabolic process
GO:0010713	negative regulation of collagen metabolic process
GO:0010714	positive regulation of collagen metabolic process
GO:0010715	regulation of extracellular matrix disassembly
GO:0010716	negative regulation of extracellular matrix disassembly
GO:0010717	regulation of epithelial to mesenchymal transition
GO:0010718	positive regulation of epithelial to mesenchymal transition
GO:0010719	negative regulation of epithelial to mesenchymal transition
GO:0010720	positive regulation of cell development
GO:0010721	negative regulation of cell development
GO:0010722	regulation of ferrochelatase activity
GO:0010723	positive regulation of transcription from RNA polymerase II promoter in response to iron
GO:0010724	regulation of definitive erythrocyte differentiation
GO:0010725	regulation of primitive erythrocyte differentiation
GO:0010726	positive regulation of hydrogen peroxide metabolic process
GO:0010727	negative regulation of hydrogen peroxide metabolic process
GO:0010728	regulation of hydrogen peroxide biosynthetic process
GO:0010729	positive regulation of hydrogen peroxide biosynthetic process
GO:0010730	negative regulation of hydrogen peroxide biosynthetic process
GO:0010731	protein glutathionylation
GO:0010732	regulation of protein glutathionylation
GO:0010733	positive regulation of protein glutathionylation
GO:0010734	negative regulation of protein glutathionylation
GO:0010735	positive regulation of transcription via serum response element binding
GO:0010737	protein kinase A signaling cascade
GO:0010738	regulation of protein kinase A signaling cascade
GO:0010739	positive regulation of protein kinase A signaling cascade
GO:0010740	positive regulation of intracellular protein kinase cascade
GO:0010741	negative regulation of intracellular protein kinase cascade
GO:0010742	macrophage derived foam cell differentiation
GO:0010743	regulation of macrophage derived foam cell differentiation
GO:0010744	positive regulation of macrophage derived foam cell differentiation
GO:0010745	negative regulation of macrophage derived foam cell differentiation
GO:0010746	regulation of plasma membrane long-chain fatty acid transport
GO:0010747	positive regulation of plasma membrane long-chain fatty acid transport
GO:0010748	negative regulation of plasma membrane long-chain fatty acid transport
GO:0010749	regulation of nitric oxide mediated signal transduction
GO:0010750	positive regulation of nitric oxide mediated signal transduction
GO:0010751	negative regulation of nitric oxide mediated signal transduction
GO:0010752	regulation of cGMP-mediated signaling
GO:0010753	positive regulation of cGMP-mediated signaling
GO:0010754	negative regulation of cGMP-mediated signaling
GO:0010755	regulation of plasminogen activation
GO:0010756	positive regulation of plasminogen activation
GO:0010757	negative regulation of plasminogen activation
GO:0010758	regulation of macrophage chemotaxis
GO:0010759	positive regulation of macrophage chemotaxis
GO:0010760	negative regulation of macrophage chemotaxis
GO:0010761	fibroblast migration
GO:0010762	regulation of fibroblast migration
GO:0010763	positive regulation of fibroblast migration
GO:0010764	negative regulation of fibroblast migration
GO:0010765	positive regulation of sodium ion transport
GO:0010766	negative regulation of sodium ion transport
GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage
GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage
GO:0010769	regulation of cell morphogenesis involved in differentiation
GO:0010770	positive regulation of cell morphogenesis involved in differentiation
GO:0010771	negative regulation of cell morphogenesis involved in differentiation
GO:0010772	meiotic DNA recombinase assembly involved in reciprocal meiotic recombination
GO:0010773	meiotic DNA recombinase assembly involved in meiotic gene conversion
GO:0010774	meiotic strand invasion involved in reciprocal meiotic recombination
GO:0010775	meiotic strand invasion involved in meiotic gene conversion
GO:0010776	meiotic mismatch repair involved in meiotic gene conversion
GO:0010777	meiotic mismatch repair involved in reciprocal meiotic recombination
GO:0010778	meiotic DNA repair synthesis involved in reciprocal meiotic recombination
GO:0010779	meiotic DNA repair synthesis involved in meiotic gene conversion
GO:0010780	meiotic DNA double-strand break formation involved in reciprocal meiotic recombination
GO:0010781	meiotic DNA double-strand break formation involved in meiotic gene conversion
GO:0010782	proboscis morphogenesis, labial disc-derived
GO:0010783	proboscis morphogenesis, eye-antennal disc-derived
GO:0010784	proboscis morphogenesis, clypeo-labral disc-derived
GO:0010785	clathrin coating of Golgi vesicle, plasma membrane to endosome targeting
GO:0010786	clathrin coating of Golgi vesicle, trans-Golgi to endosome targeting
GO:0010787	COPI coating of Golgi vesicle, inter-Golgi cisterna
GO:0010788	COPI coating of Golgi vesicle, cis-Golgi to rough ER
GO:0010789	meiotic sister chromatid cohesion involved in meiosis I
GO:0010790	meiotic sister chromatid cohesion involved in meiosis II
GO:0010791	DNA double-strand break processing involved in repair via synthesis-dependent strand annealing
GO:0010792	DNA double-strand break processing involved in repair via single-strand annealing
GO:0010793	regulation of mRNA export from nucleus
GO:0010794	regulation of dolichol biosynthetic process
GO:0010795	regulation of ubiquinone biosynthetic process
GO:0010796	regulation of multivesicular body size
GO:0010797	regulation of multivesicular body size involved in endosome transport
GO:0010798	regulation of multivesicular body size involved in ubiquitin-dependent protein catabolism
GO:0010799	regulation of peptidyl-threonine phosphorylation
GO:0010800	positive regulation of peptidyl-threonine phosphorylation
GO:0010801	negative regulation of peptidyl-threonine phosphorylation
GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway
GO:0010804	negative regulation of tumor necrosis factor-mediated signaling pathway
GO:0010805	regulation of lysine import
GO:0010806	negative regulation of lysine import
GO:0010807	regulation of synaptic vesicle priming
GO:0010808	positive regulation of synaptic vesicle priming
GO:0010809	negative regulation of synaptic vesicle priming
GO:0010810	regulation of cell-substrate adhesion
GO:0010811	positive regulation of cell-substrate adhesion
GO:0010812	negative regulation of cell-substrate adhesion
GO:0010813	neuropeptide catabolic process
GO:0010814	substance P catabolic process
GO:0010815	bradykinin catabolic process
GO:0010816	calcitonin catabolic process
GO:0010817	regulation of hormone levels
GO:0010818	T cell chemotaxis
GO:0010819	regulation of T cell chemotaxis
GO:0010820	positive regulation of T cell chemotaxis
GO:0010821	regulation of mitochondrion organization
GO:0010822	positive regulation of mitochondrion organization
GO:0010823	negative regulation of mitochondrion organization
GO:0010824	regulation of centrosome duplication
GO:0010825	positive regulation of centrosome duplication
GO:0010826	negative regulation of centrosome duplication
GO:0010827	regulation of glucose transport
GO:0010828	positive regulation of glucose transport
GO:0010829	negative regulation of glucose transport
GO:0010830	regulation of myotube differentiation
GO:0010831	positive regulation of myotube differentiation
GO:0010832	negative regulation of myotube differentiation
GO:0010833	telomere maintenance via telomere lengthening
GO:0010834	telomere maintenance via telomere shortening
GO:0010835	regulation of protein ADP-ribosylation
GO:0010836	negative regulation of protein ADP-ribosylation
GO:0010837	regulation of keratinocyte proliferation
GO:0010838	positive regulation of keratinocyte proliferation
GO:0010839	negative regulation of keratinocyte proliferation
GO:0010840	regulation of circadian sleep/wake cycle, wakefulness
GO:0010841	positive regulation of circadian sleep/wake cycle, wakefulness
GO:0010842	retina layer formation
GO:0010845	positive regulation of reciprocal meiotic recombination
GO:0010846	activation of reciprocal meiotic recombination
GO:0010847	regulation of chromatin assembly
GO:0010848	regulation of chromatin disassembly
GO:0010849	regulation of proton-transporting ATPase activity, rotational mechanism
GO:0010850	regulation of blood pressure by chemoreceptor signaling pathway
GO:0010862	positive regulation of pathway-restricted SMAD protein phosphorylation
GO:0010863	positive regulation of phospholipase C activity
GO:0010864	positive regulation of protein histidine kinase activity
GO:0010865	stipule development
GO:0010866	regulation of triglyceride biosynthetic process
GO:0010867	positive regulation of triglyceride biosynthetic process
GO:0010868	negative regulation of triglyceride biosynthetic process
GO:0010869	regulation of receptor biosynthetic process
GO:0010870	positive regulation of receptor biosynthetic process
GO:0010871	negative regulation of receptor biosynthetic process
GO:0010872	regulation of cholesterol esterification
GO:0010873	positive regulation of cholesterol esterification
GO:0010874	regulation of cholesterol efflux
GO:0010875	positive regulation of cholesterol efflux
GO:0010876	lipid localization
GO:0010877	lipid transport involved in lipid storage
GO:0010878	cholesterol storage
GO:0010879	cholesterol transport involved in cholesterol storage
GO:0010880	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum
GO:0010881	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion
GO:0010882	regulation of cardiac muscle contraction by calcium ion signaling
GO:0010883	regulation of lipid storage
GO:0010884	positive regulation of lipid storage
GO:0010885	regulation of cholesterol storage
GO:0010886	positive regulation of cholesterol storage
GO:0010887	negative regulation of cholesterol storage
GO:0010888	negative regulation of lipid storage
GO:0010889	regulation of sequestering of triglyceride
GO:0010890	positive regulation of sequestering of triglyceride
GO:0010891	negative regulation of sequestering of triglyceride
GO:0010892	positive regulation of mitochondrial translation in response to stress
GO:0010893	positive regulation of steroid biosynthetic process
GO:0010894	negative regulation of steroid biosynthetic process
GO:0010895	negative regulation of ergosterol biosynthetic process
GO:0010896	regulation of triglyceride catabolic process
GO:0010897	negative regulation of triglyceride catabolic process
GO:0010898	positive regulation of triglyceride catabolic process
GO:0010899	regulation of phosphatidylcholine catabolic process
GO:0010900	negative regulation of phosphatidylcholine catabolic process
GO:0010901	regulation of very-low-density lipoprotein particle remodeling
GO:0010902	positive regulation of very-low-density lipoprotein particle remodeling
GO:0010903	negative regulation of very-low-density lipoprotein particle remodeling
GO:0010904	regulation of UDP-glucose catabolic process
GO:0010905	negative regulation of UDP-glucose catabolic process
GO:0010906	regulation of glucose metabolic process
GO:0010907	positive regulation of glucose metabolic process
GO:0010908	regulation of heparan sulfate proteoglycan biosynthetic process
GO:0010909	positive regulation of heparan sulfate proteoglycan biosynthetic process
GO:0010910	positive regulation of heparan sulfate proteoglycan biosynthesis by positive regulation of epimerase activity
GO:0010911	regulation of isomerase activity
GO:0010912	positive regulation of isomerase activity
GO:0010913	regulation of sterigmatocystin biosynthetic process
GO:0010914	positive regulation of sterigmatocystin biosynthetic process
GO:0010915	regulation of very-low-density lipoprotein particle clearance
GO:0010916	negative regulation of very-low-density lipoprotein particle clearance
GO:0010917	negative regulation of mitochondrial membrane potential
GO:0010918	positive regulation of mitochondrial membrane potential
GO:0010919	regulation of inositol phosphate biosynthetic process
GO:0010920	negative regulation of inositol phosphate biosynthetic process
GO:0010921	regulation of phosphatase activity
GO:0010922	positive regulation of phosphatase activity
GO:0010923	negative regulation of phosphatase activity
GO:0010924	regulation of inositol-polyphosphate 5-phosphatase activity
GO:0010925	positive regulation of inositol-polyphosphate 5-phosphatase activity
GO:0010927	cellular component assembly involved in morphogenesis
GO:0010928	regulation of auxin mediated signaling pathway
