ID-model,GO:0005575,GO:0031981,GO:0044430,GO:0005739,GO:0070013,GO:0044428,GO:0031974,GO:0043233,GO:0044456,GO:0009986,GO:0045202,GO:0005783,GO:0005856,GO:0005929,GO:0005829,GO:0044427,GO:0005634,GO:0005694,GO:0044459,GO:0005794,GO:0048471,GO:0000785,GO:0016023,GO:0044422,GO:0031410,GO:0043228,GO:0043232,GO:0044463,GO:0005886,GO:0044446,GO:0071944,GO:0044425,GO:0042995,GO:0000228,GO:0043231,GO:0043234,GO:0097458,GO:0043229,GO:0005576,GO:0005615,GO:0044424,GO:0032991,GO:0005622,GO:0005912,GO:0070161,GO:0044421,GO:0043227,GO:0043226,GO:0044444,GO:0030055,GO:0031988,GO:0016020,GO:0031982,GO:0044464,GO:0030054,GO:0005925,GO:0005623,GO:0005924,GO:0005737,GO:0012505,GO:0065010,GO:0043230,GO:0031090,GO:0070062,GO:0043005,GO:0005654
120-3,NaN,0.82,0.53,0.92,0.81,0.79,0.80,0.81,0.50,0.53,0.50,0.70,0.62,0.50,0.63,0.50,0.76,0.65,0.67,0.56,0.50,0.50,0.53,0.63,0.52,0.59,0.59,0.50,0.73,0.67,0.73,0.68,0.50,0.67,0.66,0.72,0.50,0.65,0.58,0.67,0.67,0.70,0.67,0.50,0.50,0.56,0.58,0.58,0.65,0.50,0.50,0.65,0.51,0.60,0.55,0.50,0.60,0.50,0.58,0.59,0.50,0.50,0.67,0.50,0.50,0.86
121-1,NaN,0.54,0.72,0.85,0.54,0.55,0.54,0.54,0.69,0.50,0.73,0.68,0.71,0.66,0.49,0.69,0.73,0.68,0.49,0.57,0.49,0.67,0.66,0.67,0.66,0.67,0.67,0.53,0.59,0.67,0.58,0.67,0.59,0.50,0.68,0.62,0.58,0.65,0.56,0.57,0.62,0.60,0.62,0.55,0.55,0.52,0.60,0.61,0.65,0.55,0.51,0.64,0.51,0.56,0.58,0.55,0.56,0.55,0.62,0.66,0.50,0.50,0.64,0.50,0.53,0.51
121-2,NaN,0.50,0.50,0.57,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.51,0.53,0.51,0.50,0.51,0.50,0.51,0.50,0.52,0.51,0.50,0.52,0.50,0.51,0.54,0.52,0.54,0.50,0.50,0.50,0.51,0.51,0.52,0.50,0.50,0.51,0.50,0.53,0.50,0.50,0.53,0.50,0.53,0.50,0.50,0.50,0.50,0.50,0.50,0.50
121-3,NaN,0.58,0.71,0.87,0.58,0.59,0.58,0.58,0.66,0.50,0.70,0.61,0.70,0.78,0.48,0.72,0.73,0.72,0.51,0.59,0.49,0.71,0.65,0.69,0.65,0.67,0.67,0.61,0.64,0.68,0.64,0.66,0.66,0.49,0.70,0.62,0.55,0.67,0.57,0.59,0.64,0.61,0.63,0.55,0.55,0.53,0.60,0.61,0.68,0.55,0.51,0.64,0.52,0.57,0.58,0.55,0.57,0.55,0.63,0.66,0.50,0.50,0.59,0.50,0.52,0.51
122-1,NaN,0.54,0.72,0.86,0.54,0.55,0.53,0.53,0.68,0.50,0.72,0.61,0.76,0.62,0.69,0.72,0.72,0.72,0.59,0.62,0.49,0.70,0.65,0.66,0.65,0.67,0.67,0.55,0.63,0.68,0.63,0.62,0.57,0.55,0.67,0.55,0.52,0.67,0.55,0.56,0.64,0.54,0.64,0.50,0.50,0.53,0.59,0.61,0.65,0.50,0.52,0.61,0.52,0.58,0.54,0.50,0.58,0.50,0.63,0.55,0.50,0.50,0.47,0.50,0.52,0.52
124-1,NaN,0.85,0.72,0.67,0.79,0.82,0.72,0.79,0.79,0.63,0.76,0.71,0.72,0.76,0.67,0.72,0.52,0.72,0.67,0.62,0.76,0.77,0.53,0.51,0.53,0.50,0.50,0.66,0.64,0.52,0.65,0.54,0.72,0.79,0.41,0.53,0.78,0.41,0.67,0.58,0.42,0.51,0.42,0.74,0.74,0.60,0.53,0.52,0.46,0.72,0.60,0.52,0.60,0.43,0.66,0.73,0.42,0.73,0.40,0.56,0.50,0.50,0.47,0.50,0.72,0.84
124-2,NaN,0.69,0.43,0.51,0.67,0.64,0.65,0.67,0.59,0.55,0.55,0.63,0.48,0.52,0.30,0.66,0.56,0.66,0.47,0.58,0.55,0.64,0.41,0.46,0.41,0.36,0.36,0.42,0.44,0.47,0.45,0.46,0.43,0.55,0.36,0.32,0.59,0.37,0.67,0.60,0.39,0.35,0.39,0.56,0.56,0.69,0.52,0.51,0.35,0.56,0.63,0.48,0.63,0.40,0.56,0.56,0.40,0.56,0.36,0.45,0.50,0.50,0.44,0.50,0.40,0.47
124-3,NaN,0.81,0.69,0.65,0.61,0.75,0.51,0.61,0.79,0.63,0.76,0.58,0.66,0.69,0.67,0.61,0.42,0.61,0.60,0.53,0.76,0.69,0.60,0.40,0.60,0.45,0.45,0.66,0.54,0.41,0.56,0.42,0.71,0.68,0.33,0.54,0.78,0.33,0.67,0.54,0.36,0.52,0.36,0.72,0.72,0.60,0.50,0.48,0.45,0.63,0.64,0.39,0.65,0.38,0.64,0.64,0.38,0.64,0.41,0.50,0.50,0.50,0.48,0.50,0.72,0.84
125-1,NaN,0.65,0.91,0.89,0.63,0.66,0.63,0.63,0.81,0.57,0.83,0.84,0.85,0.70,0.79,0.75,0.82,0.75,0.71,0.73,0.50,0.74,0.70,0.75,0.70,0.77,0.77,0.67,0.73,0.75,0.72,0.72,0.68,0.63,0.71,0.78,0.68,0.68,0.61,0.67,0.64,0.73,0.64,0.55,0.55,0.57,0.61,0.63,0.72,0.55,0.53,0.67,0.53,0.54,0.59,0.55,0.54,0.55,0.63,0.73,0.51,0.51,0.71,0.50,0.53,0.52
125-2,NaN,0.78,0.90,0.87,0.74,0.74,0.73,0.74,0.87,0.79,0.85,0.85,0.84,0.84,0.73,0.78,0.70,0.77,0.76,0.72,0.68,0.78,0.71,0.62,0.71,0.77,0.77,0.73,0.72,0.61,0.73,0.71,0.74,0.66,0.59,0.72,0.65,0.59,0.64,0.65,0.55,0.70,0.55,0.57,0.57,0.62,0.52,0.53,0.67,0.59,0.56,0.66,0.56,0.50,0.59,0.59,0.50,0.59,0.60,0.66,0.53,0.53,0.63,0.53,0.60,0.52
125-3,NaN,0.91,0.80,0.87,0.88,0.85,0.86,0.87,0.85,0.78,0.86,0.78,0.72,0.83,0.76,0.84,0.77,0.84,0.79,0.69,0.77,0.86,0.80,0.71,0.80,0.68,0.68,0.77,0.73,0.71,0.70,0.73,0.74,0.89,0.70,0.64,0.69,0.70,0.69,0.74,0.67,0.63,0.67,0.62,0.62,0.64,0.65,0.66,0.60,0.66,0.61,0.57,0.61,0.62,0.51,0.67,0.61,0.66,0.54,0.69,0.53,0.53,0.59,0.52,0.60,0.94
126-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
127-1,NaN,0.88,0.86,0.85,0.85,0.85,0.84,0.85,0.86,0.65,0.85,0.83,0.79,0.73,0.70,0.80,0.78,0.80,0.77,0.83,0.55,0.80,0.76,0.72,0.75,0.75,0.75,0.68,0.77,0.72,0.78,0.72,0.74,0.85,0.69,0.73,0.73,0.68,0.65,0.66,0.65,0.73,0.64,0.57,0.57,0.60,0.62,0.65,0.73,0.58,0.57,0.62,0.57,0.56,0.55,0.59,0.56,0.59,0.67,0.61,0.53,0.53,0.52,0.52,0.58,0.80
127-2,NaN,0.89,0.82,0.87,0.87,0.85,0.85,0.86,0.89,0.70,0.89,0.82,0.76,0.73,0.75,0.80,0.78,0.79,0.74,0.83,0.69,0.80,0.77,0.77,0.75,0.72,0.73,0.73,0.77,0.76,0.78,0.74,0.74,0.85,0.71,0.73,0.73,0.73,0.68,0.67,0.70,0.72,0.69,0.62,0.60,0.60,0.63,0.67,0.72,0.63,0.57,0.63,0.58,0.60,0.63,0.59,0.60,0.59,0.65,0.61,0.51,0.53,0.52,0.50,0.58,0.90
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.61,0.79,0.67,0.58,0.58,0.57,0.57,0.79,0.62,0.80,0.65,0.69,0.47,0.51,0.54,0.55,0.54,0.61,0.61,0.50,0.54,0.58,0.50,0.58,0.55,0.55,0.61,0.65,0.50,0.64,0.59,0.50,0.56,0.49,0.67,0.60,0.48,0.54,0.56,0.50,0.63,0.49,0.64,0.64,0.53,0.47,0.46,0.56,0.61,0.52,0.55,0.52,0.51,0.60,0.63,0.51,0.62,0.56,0.53,0.52,0.52,0.49,0.52,0.53,0.66
129-1,NaN,0.92,0.93,0.86,0.89,0.87,0.87,0.89,0.85,0.82,0.85,0.80,0.87,0.90,0.77,0.75,0.79,0.80,0.78,0.79,0.70,0.78,0.77,0.74,0.77,0.75,0.75,0.71,0.81,0.75,0.81,0.72,0.71,0.86,0.70,0.77,0.67,0.69,0.69,0.75,0.65,0.75,0.64,0.67,0.66,0.64,0.66,0.67,0.68,0.57,0.64,0.65,0.63,0.57,0.61,0.58,0.56,0.58,0.62,0.56,0.61,0.61,0.49,0.60,0.59,0.88
129-2,NaN,0.61,0.39,0.58,0.60,0.58,0.59,0.60,0.69,0.47,0.63,0.41,0.49,0.48,0.47,0.58,0.56,0.58,0.43,0.55,0.68,0.58,0.63,0.51,0.63,0.54,0.54,0.35,0.45,0.53,0.46,0.44,0.38,0.58,0.53,0.43,0.47,0.51,0.64,0.59,0.49,0.43,0.48,0.72,0.71,0.64,0.61,0.59,0.50,0.59,0.64,0.54,0.64,0.43,0.54,0.60,0.43,0.60,0.50,0.41,0.58,0.58,0.52,0.58,0.36,0.56
129-3,NaN,0.92,0.93,0.87,0.90,0.87,0.88,0.90,0.85,0.81,0.85,0.80,0.87,0.90,0.77,0.75,0.80,0.80,0.78,0.79,0.73,0.77,0.77,0.74,0.77,0.75,0.75,0.70,0.81,0.76,0.81,0.72,0.71,0.85,0.70,0.77,0.66,0.69,0.68,0.75,0.65,0.75,0.65,0.66,0.65,0.65,0.66,0.67,0.68,0.59,0.64,0.65,0.63,0.57,0.61,0.61,0.56,0.61,0.62,0.56,0.59,0.59,0.49,0.58,0.59,0.88
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.59,0.78,0.85,0.58,0.59,0.58,0.58,0.76,0.49,0.74,0.74,0.81,0.74,0.63,0.75,0.79,0.74,0.63,0.66,0.54,0.73,0.74,0.74,0.74,0.71,0.71,0.64,0.68,0.74,0.68,0.75,0.68,0.54,0.72,0.66,0.60,0.71,0.59,0.61,0.66,0.61,0.65,0.55,0.55,0.55,0.61,0.65,0.68,0.55,0.52,0.66,0.53,0.56,0.60,0.55,0.55,0.55,0.62,0.67,0.51,0.51,0.60,0.50,0.58,0.53
131-2,NaN,0.55,0.82,0.86,0.54,0.56,0.55,0.54,0.78,0.50,0.81,0.74,0.81,0.74,0.58,0.75,0.81,0.75,0.59,0.66,0.54,0.73,0.71,0.75,0.71,0.73,0.73,0.63,0.67,0.74,0.66,0.73,0.68,0.50,0.76,0.66,0.63,0.73,0.59,0.60,0.68,0.63,0.67,0.55,0.55,0.54,0.64,0.67,0.69,0.55,0.52,0.67,0.53,0.56,0.60,0.55,0.56,0.55,0.63,0.68,0.50,0.50,0.61,0.50,0.59,0.53
131-3,NaN,0.76,0.84,0.87,0.73,0.73,0.72,0.73,0.50,0.52,0.73,0.88,0.80,0.82,0.63,0.76,0.80,0.75,0.63,0.76,0.65,0.75,0.66,0.79,0.65,0.72,0.72,0.63,0.69,0.79,0.69,0.72,0.71,0.71,0.74,0.72,0.50,0.74,0.61,0.63,0.70,0.66,0.70,0.49,0.50,0.57,0.62,0.67,0.71,0.50,0.52,0.66,0.52,0.65,0.49,0.54,0.65,0.50,0.64,0.80,0.50,0.50,0.71,0.50,0.59,0.62
132-1,NaN,0.83,0.91,0.82,0.80,0.78,0.80,0.79,0.89,0.82,0.89,0.71,0.84,0.89,0.77,0.82,0.70,0.82,0.75,0.74,0.48,0.84,0.72,0.67,0.71,0.73,0.73,0.77,0.71,0.68,0.73,0.65,0.76,0.82,0.65,0.68,0.70,0.65,0.63,0.65,0.64,0.67,0.64,0.63,0.62,0.61,0.57,0.61,0.68,0.64,0.53,0.63,0.54,0.55,0.64,0.56,0.54,0.60,0.62,0.53,0.52,0.52,0.53,0.50,0.62,0.87
132-2,NaN,0.83,0.91,0.80,0.79,0.77,0.80,0.79,0.89,0.82,0.89,0.71,0.82,0.89,0.75,0.81,0.70,0.81,0.76,0.74,0.48,0.82,0.72,0.65,0.71,0.70,0.70,0.78,0.71,0.66,0.73,0.63,0.76,0.83,0.64,0.68,0.72,0.63,0.62,0.66,0.62,0.67,0.63,0.63,0.62,0.61,0.58,0.59,0.67,0.64,0.53,0.61,0.54,0.55,0.65,0.56,0.54,0.60,0.61,0.53,0.52,0.52,0.52,0.50,0.64,0.87
65-1,NaN,0.73,0.66,0.54,0.71,0.67,0.71,0.71,0.59,0.74,0.61,0.48,0.67,0.82,0.69,0.55,0.65,0.54,0.65,0.72,0.43,0.65,0.61,0.57,0.61,0.56,0.56,0.66,0.62,0.59,0.64,0.56,0.67,0.64,0.55,0.52,0.55,0.53,0.65,0.66,0.57,0.51,0.57,0.70,0.72,0.65,0.54,0.55,0.52,0.73,0.56,0.53,0.57,0.53,0.71,0.67,0.52,0.65,0.53,0.42,0.57,0.57,0.43,0.57,0.60,0.81
65-2,NaN,0.76,0.70,0.64,0.74,0.69,0.73,0.74,0.64,0.72,0.64,0.59,0.71,0.79,0.62,0.61,0.67,0.61,0.66,0.70,0.55,0.69,0.62,0.59,0.61,0.57,0.57,0.63,0.63,0.61,0.65,0.56,0.68,0.67,0.56,0.55,0.56,0.54,0.63,0.64,0.57,0.53,0.57,0.63,0.62,0.62,0.55,0.56,0.53,0.65,0.55,0.54,0.56,0.52,0.71,0.67,0.52,0.66,0.54,0.43,0.57,0.57,0.51,0.57,0.55,0.84
65-3,NaN,0.74,0.66,0.62,0.72,0.66,0.71,0.71,0.61,0.74,0.62,0.58,0.68,0.80,0.66,0.57,0.66,0.56,0.67,0.73,0.51,0.66,0.60,0.58,0.60,0.56,0.56,0.63,0.62,0.59,0.64,0.56,0.70,0.64,0.55,0.52,0.57,0.54,0.65,0.60,0.57,0.52,0.57,0.63,0.61,0.64,0.55,0.55,0.52,0.61,0.56,0.53,0.56,0.52,0.71,0.64,0.52,0.63,0.53,0.40,0.56,0.57,0.47,0.53,0.61,0.83
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.50,0.59,0.50,0.50,0.50,0.51,0.50,0.54,0.49,0.53,0.58,0.56,0.53,0.59,0.52,0.52,0.52,0.50,0.52,0.48,0.52,0.55,0.51,0.55,0.52,0.52,0.58,0.54,0.52,0.53,0.48,0.54,0.54,0.53,0.56,0.52,0.53,0.47,0.51,0.54,0.57,0.54,0.49,0.49,0.48,0.48,0.49,0.54,0.49,0.48,0.50,0.47,0.56,0.48,0.49,0.56,0.49,0.54,0.57,0.49,0.49,0.54,0.49,0.55,0.51
69-2,NaN,0.66,0.92,0.73,0.61,0.61,0.58,0.60,0.83,0.77,0.81,0.78,0.84,0.75,0.73,0.87,0.76,0.88,0.74,0.75,0.53,0.85,0.71,0.72,0.71,0.71,0.71,0.65,0.69,0.71,0.69,0.73,0.67,0.90,0.69,0.77,0.71,0.69,0.58,0.69,0.66,0.71,0.64,0.66,0.65,0.56,0.60,0.63,0.63,0.61,0.54,0.64,0.53,0.53,0.67,0.59,0.53,0.59,0.61,0.63,0.52,0.52,0.48,0.51,0.61,0.38
70-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
70-2,NaN,0.92,0.90,0.87,0.91,0.89,0.91,0.91,0.82,0.86,0.83,0.71,0.80,0.81,0.78,0.87,0.80,0.85,0.81,0.77,0.71,0.87,0.76,0.78,0.79,0.78,0.79,0.70,0.84,0.80,0.84,0.77,0.74,0.85,0.78,0.73,0.69,0.77,0.60,0.65,0.75,0.74,0.74,0.61,0.69,0.57,0.67,0.68,0.74,0.63,0.54,0.65,0.57,0.63,0.66,0.60,0.63,0.64,0.64,0.65,0.50,0.50,0.64,0.50,0.69,0.93
70-3,NaN,0.90,0.74,0.70,0.88,0.84,0.87,0.89,0.50,0.81,0.77,0.84,0.80,0.52,0.73,0.76,0.79,0.76,0.65,0.76,0.66,0.74,0.69,0.70,0.69,0.74,0.74,0.58,0.76,0.72,0.77,0.66,0.65,0.59,0.69,0.65,0.70,0.67,0.54,0.51,0.62,0.71,0.61,0.59,0.57,0.55,0.61,0.63,0.70,0.53,0.54,0.60,0.55,0.53,0.61,0.50,0.53,0.54,0.65,0.67,0.50,0.50,0.55,0.50,0.57,0.92
72-1,NaN,0.74,0.79,0.90,0.73,0.74,0.73,0.73,0.72,0.50,0.73,0.70,0.74,0.74,0.66,0.72,0.78,0.72,0.56,0.66,0.59,0.70,0.71,0.72,0.71,0.67,0.67,0.58,0.68,0.73,0.68,0.62,0.63,0.55,0.64,0.64,0.60,0.66,0.56,0.60,0.66,0.62,0.65,0.55,0.55,0.53,0.60,0.64,0.65,0.55,0.53,0.62,0.53,0.56,0.57,0.55,0.56,0.55,0.62,0.65,0.50,0.50,0.55,0.50,0.52,0.71
72-2,NaN,0.74,0.64,0.90,0.73,0.72,0.73,0.73,0.55,0.50,0.61,0.71,0.65,0.66,0.66,0.68,0.77,0.68,0.55,0.66,0.59,0.62,0.63,0.63,0.65,0.68,0.68,0.50,0.68,0.65,0.69,0.56,0.55,0.55,0.61,0.55,0.53,0.62,0.56,0.61,0.61,0.54,0.60,0.55,0.55,0.53,0.58,0.58,0.65,0.55,0.51,0.62,0.52,0.50,0.57,0.55,0.50,0.55,0.62,0.60,0.50,0.50,0.53,0.50,0.52,0.69
73-1,NaN,0.79,0.87,0.82,0.76,0.76,0.76,0.76,0.82,0.85,0.84,0.75,0.81,0.76,0.69,0.74,0.70,0.72,0.76,0.70,0.71,0.78,0.72,0.68,0.71,0.64,0.64,0.68,0.67,0.67,0.65,0.63,0.69,0.71,0.63,0.70,0.74,0.63,0.61,0.66,0.62,0.63,0.60,0.64,0.63,0.57,0.60,0.61,0.62,0.63,0.55,0.62,0.55,0.56,0.65,0.57,0.55,0.56,0.60,0.62,0.54,0.54,0.49,0.53,0.65,0.90
73-2,NaN,0.80,0.87,0.82,0.77,0.77,0.76,0.77,0.82,0.85,0.84,0.75,0.81,0.77,0.70,0.74,0.70,0.73,0.77,0.68,0.72,0.78,0.72,0.68,0.72,0.64,0.64,0.66,0.67,0.68,0.66,0.64,0.69,0.70,0.63,0.70,0.73,0.64,0.61,0.66,0.63,0.63,0.61,0.63,0.63,0.57,0.60,0.61,0.63,0.65,0.54,0.62,0.54,0.56,0.65,0.66,0.55,0.66,0.61,0.63,0.54,0.54,0.51,0.53,0.65,0.90
73-3,NaN,0.68,0.76,0.71,0.64,0.65,0.63,0.63,0.76,0.83,0.75,0.74,0.70,0.77,0.57,0.69,0.61,0.68,0.69,0.72,0.47,0.69,0.68,0.54,0.65,0.58,0.58,0.64,0.69,0.54,0.64,0.63,0.65,0.74,0.52,0.63,0.66,0.52,0.57,0.60,0.51,0.58,0.51,0.62,0.61,0.54,0.50,0.51,0.53,0.64,0.52,0.54,0.53,0.51,0.59,0.50,0.50,0.67,0.51,0.61,0.53,0.53,0.53,0.50,0.66,0.79
74-1,NaN,0.56,0.78,0.81,0.56,0.56,0.55,0.56,0.52,0.59,0.58,0.60,0.73,0.58,0.64,0.67,0.70,0.74,0.58,0.65,0.53,0.66,0.64,0.67,0.64,0.68,0.68,0.51,0.60,0.69,0.60,0.59,0.55,0.68,0.65,0.59,0.59,0.63,0.55,0.64,0.61,0.58,0.60,0.55,0.55,0.54,0.61,0.64,0.60,0.55,0.53,0.51,0.54,0.56,0.61,0.55,0.56,0.55,0.55,0.55,0.50,0.50,0.51,0.50,0.56,0.53
74-2,NaN,0.60,0.90,0.85,0.59,0.57,0.58,0.58,0.73,0.70,0.83,0.67,0.83,0.61,0.57,0.80,0.80,0.83,0.69,0.76,0.48,0.72,0.62,0.74,0.63,0.70,0.70,0.53,0.74,0.74,0.75,0.72,0.58,0.68,0.75,0.67,0.70,0.73,0.55,0.64,0.69,0.64,0.68,0.53,0.53,0.55,0.63,0.67,0.71,0.54,0.51,0.67,0.52,0.60,0.59,0.54,0.60,0.54,0.66,0.56,0.50,0.50,0.47,0.50,0.56,0.54
75-1,NaN,0.50,0.59,0.50,0.50,0.50,0.51,0.50,0.54,0.49,0.53,0.58,0.56,0.53,0.59,0.52,0.52,0.52,0.50,0.52,0.48,0.52,0.55,0.51,0.55,0.52,0.52,0.58,0.54,0.52,0.53,0.48,0.54,0.54,0.53,0.56,0.52,0.53,0.47,0.51,0.54,0.57,0.54,0.49,0.49,0.48,0.48,0.49,0.54,0.49,0.48,0.50,0.47,0.56,0.48,0.49,0.56,0.49,0.54,0.57,0.49,0.49,0.54,0.49,0.55,0.51
75-2,NaN,0.68,0.93,0.94,0.62,0.63,0.60,0.62,0.83,0.76,0.83,0.88,0.84,0.81,0.73,0.88,0.80,0.90,0.72,0.82,0.54,0.91,0.74,0.75,0.74,0.76,0.76,0.65,0.74,0.74,0.74,0.76,0.70,0.89,0.74,0.79,0.72,0.72,0.58,0.70,0.67,0.73,0.64,0.66,0.65,0.56,0.64,0.66,0.71,0.61,0.54,0.68,0.53,0.54,0.66,0.59,0.53,0.58,0.66,0.73,0.52,0.52,0.54,0.51,0.63,0.38
79-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
79-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
79-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
80-1,NaN,0.56,0.78,0.86,0.56,0.56,0.55,0.56,0.54,0.59,0.61,0.60,0.73,0.66,0.64,0.67,0.71,0.74,0.57,0.67,0.53,0.66,0.64,0.68,0.64,0.68,0.68,0.58,0.60,0.70,0.60,0.58,0.59,0.68,0.66,0.62,0.59,0.64,0.56,0.65,0.61,0.61,0.60,0.55,0.55,0.55,0.62,0.64,0.62,0.55,0.53,0.53,0.54,0.56,0.60,0.55,0.55,0.55,0.56,0.55,0.50,0.50,0.51,0.50,0.55,0.52
