ID-model,GO:0008150,GO:0002376,GO:0006325,GO:0031324,GO:0010605,GO:0051276,GO:0009892,GO:0044267,GO:0044248,GO:0006139,GO:0051252,GO:0009056,GO:0046907,GO:0019538,GO:2001141,GO:0046483,GO:0010628,GO:0006725,GO:0010556,GO:0044260,GO:0051649,GO:0048519,GO:0031326,GO:0006355,GO:0010468,GO:2000112,GO:0044085,GO:0022607,GO:0050877,GO:0009889,GO:0006810,GO:1901360,GO:0048523,GO:0045893,GO:0051254,GO:0045935,GO:0051173,GO:0044765,GO:0010557,GO:0044767,GO:0060255,GO:0044237,GO:0019219,GO:0031328,GO:0051171,GO:0045944,GO:0043170,GO:0080090,GO:0048869,GO:0044238,GO:0071704,GO:0009891,GO:0019222,GO:0009893,GO:0008152,GO:0031323,GO:0048856,GO:0032502,GO:0003008,GO:0010604,GO:0051234,GO:0033554,GO:0016043,GO:0051179,GO:0006996,GO:0071840,GO:0034641,GO:0030154,GO:0051641,GO:0009966,GO:0031325,GO:0006807,GO:0034613,GO:0006357,GO:0023052,GO:0044700,GO:0048583,GO:0044093,GO:0070727,GO:0010646,GO:0048518,GO:0010941,GO:0006950,GO:0048731,GO:0044707,GO:0016044,GO:0007275,GO:0048584,GO:0048522,GO:0007154,GO:0044763,GO:0065009,GO:0050789,GO:0032501,GO:0023051,GO:0009987,GO:0051716,GO:0044699,GO:0061024,GO:0008104,GO:0065007,GO:0051128,GO:0050794,GO:0033036,GO:0050896,GO:0065008,GO:0042221,GO:0032879
110-2,NaN,0.82,0.70,0.67,0.73,0.70,0.68,0.70,0.69,0.78,0.73,0.71,0.67,0.69,0.72,0.77,0.70,0.75,0.71,0.74,0.67,0.58,0.66,0.71,0.67,0.69,0.60,0.62,0.75,0.66,0.63,0.76,0.57,0.67,0.70,0.63,0.63,0.64,0.62,0.53,0.64,0.70,0.64,0.58,0.64,0.62,0.69,0.56,0.51,0.72,0.76,0.59,0.58,0.55,0.70,0.58,0.56,0.54,0.76,0.54,0.62,0.77,0.56,0.59,0.63,0.54,0.70,0.51,0.66,0.55,0.58,0.70,0.59,0.66,0.54,0.51,0.48,0.68,0.59,0.51,0.56,0.43,0.72,0.58,0.59,0.64,0.57,0.56,0.56,0.46,0.66,0.67,0.53,0.58,0.52,0.64,0.57,0.63,0.58,0.60,0.54,0.62,0.55,0.58,0.68,0.58,0.69,0.34
110-3,NaN,0.62,0.78,0.52,0.58,0.78,0.53,0.83,0.73,0.70,0.62,0.77,0.73,0.75,0.63,0.69,0.63,0.68,0.63,0.75,0.67,0.44,0.63,0.62,0.60,0.64,0.77,0.79,0.61,0.62,0.65,0.67,0.40,0.65,0.65,0.66,0.71,0.64,0.71,0.57,0.61,0.69,0.58,0.72,0.60,0.65,0.70,0.58,0.60,0.71,0.69,0.70,0.56,0.62,0.68,0.60,0.51,0.52,0.55,0.65,0.61,0.76,0.65,0.60,0.67,0.66,0.69,0.53,0.60,0.49,0.70,0.70,0.55,0.62,0.54,0.54,0.53,0.54,0.55,0.55,0.49,0.53,0.62,0.47,0.49,0.70,0.46,0.55,0.52,0.54,0.51,0.54,0.43,0.49,0.52,0.52,0.54,0.53,0.69,0.53,0.44,0.49,0.47,0.49,0.50,0.42,0.46,0.52
111-1,NaN,0.54,0.62,0.48,0.48,0.61,0.47,0.48,0.49,0.48,0.55,0.49,0.49,0.48,0.55,0.48,0.56,0.48,0.55,0.47,0.49,0.49,0.54,0.55,0.53,0.55,0.48,0.48,0.52,0.54,0.48,0.48,0.49,0.57,0.57,0.56,0.56,0.48,0.56,0.61,0.54,0.41,0.55,0.56,0.55,0.54,0.46,0.55,0.47,0.47,0.45,0.56,0.54,0.55,0.44,0.54,0.59,0.58,0.52,0.56,0.48,0.48,0.50,0.48,0.53,0.50,0.48,0.47,0.48,0.48,0.57,0.48,0.49,0.54,0.57,0.57,0.47,0.54,0.49,0.48,0.51,0.54,0.51,0.56,0.52,0.49,0.56,0.49,0.51,0.56,0.59,0.53,0.49,0.52,0.48,0.54,0.58,0.55,0.49,0.49,0.50,0.51,0.51,0.48,0.54,0.51,0.50,0.49
111-2,NaN,0.61,0.84,0.50,0.56,0.83,0.51,0.82,0.73,0.67,0.62,0.77,0.74,0.74,0.64,0.66,0.61,0.65,0.65,0.73,0.68,0.40,0.64,0.63,0.61,0.66,0.77,0.78,0.61,0.63,0.65,0.65,0.37,0.63,0.63,0.65,0.70,0.65,0.70,0.57,0.61,0.67,0.59,0.71,0.60,0.63,0.69,0.58,0.60,0.69,0.68,0.69,0.55,0.61,0.67,0.59,0.51,0.53,0.55,0.64,0.60,0.75,0.65,0.58,0.67,0.67,0.66,0.53,0.59,0.47,0.69,0.69,0.52,0.64,0.56,0.56,0.50,0.53,0.52,0.52,0.47,0.52,0.60,0.46,0.50,0.70,0.45,0.52,0.51,0.54,0.54,0.52,0.42,0.49,0.50,0.53,0.62,0.54,0.67,0.50,0.43,0.51,0.47,0.47,0.54,0.40,0.49,0.53
111-3,NaN,0.54,0.62,0.48,0.48,0.61,0.48,0.49,0.50,0.48,0.55,0.50,0.49,0.48,0.53,0.48,0.56,0.48,0.55,0.47,0.49,0.49,0.54,0.53,0.53,0.53,0.48,0.48,0.52,0.54,0.49,0.48,0.49,0.53,0.57,0.56,0.56,0.49,0.56,0.57,0.55,0.47,0.55,0.56,0.55,0.54,0.47,0.55,0.48,0.47,0.47,0.56,0.54,0.56,0.46,0.54,0.53,0.56,0.52,0.56,0.48,0.49,0.50,0.49,0.53,0.50,0.48,0.48,0.49,0.48,0.57,0.48,0.49,0.55,0.57,0.57,0.48,0.54,0.49,0.48,0.51,0.54,0.51,0.52,0.51,0.50,0.52,0.49,0.52,0.57,0.55,0.53,0.52,0.52,0.48,0.52,0.56,0.52,0.50,0.49,0.53,0.52,0.52,0.48,0.53,0.51,0.51,0.49
112-1,NaN,0.85,0.79,0.69,0.77,0.81,0.69,0.86,0.77,0.79,0.74,0.79,0.74,0.76,0.73,0.79,0.65,0.77,0.75,0.80,0.70,0.54,0.71,0.72,0.69,0.74,0.72,0.71,0.80,0.72,0.66,0.78,0.53,0.64,0.64,0.65,0.71,0.65,0.67,0.62,0.69,0.74,0.64,0.66,0.67,0.66,0.71,0.61,0.64,0.75,0.79,0.67,0.61,0.63,0.73,0.62,0.62,0.63,0.79,0.61,0.62,0.77,0.62,0.62,0.71,0.62,0.72,0.57,0.69,0.52,0.69,0.73,0.54,0.70,0.61,0.58,0.46,0.64,0.53,0.53,0.54,0.46,0.71,0.61,0.63,0.65,0.61,0.52,0.56,0.52,0.66,0.62,0.53,0.62,0.53,0.66,0.59,0.64,0.62,0.54,0.53,0.57,0.56,0.51,0.68,0.56,0.69,0.57
112-2,NaN,0.85,0.79,0.69,0.77,0.81,0.70,0.86,0.78,0.78,0.74,0.79,0.73,0.76,0.73,0.79,0.65,0.77,0.75,0.80,0.70,0.54,0.72,0.72,0.68,0.73,0.72,0.70,0.79,0.72,0.65,0.78,0.54,0.62,0.64,0.64,0.70,0.66,0.65,0.63,0.69,0.73,0.64,0.65,0.67,0.63,0.72,0.61,0.64,0.75,0.78,0.65,0.61,0.63,0.73,0.63,0.63,0.64,0.79,0.60,0.61,0.77,0.62,0.62,0.71,0.62,0.71,0.58,0.69,0.51,0.68,0.72,0.54,0.70,0.61,0.59,0.45,0.64,0.54,0.53,0.54,0.45,0.72,0.61,0.63,0.65,0.61,0.52,0.55,0.52,0.67,0.63,0.53,0.62,0.53,0.66,0.59,0.64,0.62,0.54,0.54,0.57,0.56,0.51,0.68,0.55,0.69,0.58
112-3,NaN,0.84,0.79,0.69,0.77,0.81,0.70,0.86,0.78,0.79,0.73,0.79,0.74,0.76,0.73,0.79,0.65,0.77,0.74,0.80,0.70,0.54,0.69,0.72,0.67,0.73,0.71,0.69,0.81,0.70,0.66,0.78,0.54,0.64,0.65,0.66,0.72,0.65,0.67,0.54,0.66,0.74,0.62,0.67,0.65,0.66,0.71,0.58,0.58,0.75,0.78,0.67,0.59,0.63,0.72,0.62,0.56,0.59,0.81,0.61,0.62,0.78,0.62,0.62,0.71,0.62,0.72,0.58,0.69,0.53,0.69,0.73,0.54,0.70,0.60,0.57,0.46,0.65,0.53,0.54,0.54,0.46,0.72,0.58,0.64,0.65,0.57,0.52,0.56,0.51,0.67,0.61,0.56,0.63,0.54,0.67,0.60,0.68,0.62,0.54,0.57,0.58,0.59,0.51,0.70,0.55,0.69,0.58
113-1,NaN,0.84,0.79,0.70,0.78,0.81,0.70,0.86,0.78,0.79,0.73,0.79,0.74,0.76,0.73,0.79,0.65,0.77,0.74,0.80,0.71,0.55,0.70,0.72,0.66,0.73,0.71,0.69,0.80,0.70,0.65,0.78,0.55,0.62,0.65,0.64,0.71,0.65,0.65,0.55,0.66,0.73,0.62,0.65,0.65,0.63,0.71,0.58,0.59,0.74,0.77,0.66,0.59,0.63,0.72,0.62,0.56,0.60,0.80,0.61,0.62,0.77,0.62,0.61,0.71,0.62,0.72,0.58,0.69,0.52,0.68,0.73,0.54,0.70,0.60,0.57,0.46,0.65,0.54,0.53,0.54,0.45,0.72,0.58,0.64,0.65,0.57,0.52,0.56,0.51,0.68,0.62,0.56,0.64,0.54,0.67,0.60,0.68,0.62,0.55,0.57,0.58,0.59,0.51,0.70,0.55,0.69,0.58
113-2,NaN,0.57,0.78,0.52,0.58,0.78,0.54,0.83,0.74,0.70,0.62,0.77,0.72,0.75,0.63,0.68,0.63,0.68,0.63,0.75,0.66,0.44,0.63,0.62,0.58,0.64,0.77,0.79,0.62,0.62,0.62,0.67,0.40,0.65,0.65,0.66,0.72,0.59,0.71,0.51,0.58,0.72,0.58,0.72,0.59,0.65,0.70,0.56,0.53,0.71,0.72,0.70,0.53,0.62,0.71,0.59,0.46,0.48,0.55,0.65,0.58,0.76,0.64,0.58,0.67,0.66,0.68,0.54,0.58,0.49,0.71,0.70,0.55,0.62,0.56,0.56,0.54,0.54,0.55,0.55,0.49,0.53,0.62,0.47,0.51,0.70,0.46,0.55,0.53,0.55,0.50,0.54,0.45,0.50,0.53,0.53,0.56,0.53,0.69,0.53,0.47,0.49,0.49,0.49,0.51,0.39,0.46,0.53
113-3,NaN,0.54,0.62,0.48,0.48,0.61,0.47,0.48,0.49,0.48,0.55,0.49,0.49,0.48,0.53,0.48,0.56,0.48,0.54,0.47,0.49,0.49,0.54,0.53,0.53,0.53,0.48,0.48,0.52,0.54,0.48,0.48,0.49,0.53,0.56,0.56,0.56,0.48,0.56,0.61,0.54,0.46,0.55,0.56,0.55,0.54,0.46,0.55,0.47,0.47,0.46,0.56,0.53,0.55,0.46,0.54,0.56,0.58,0.52,0.56,0.48,0.48,0.50,0.48,0.53,0.50,0.48,0.47,0.48,0.48,0.57,0.48,0.49,0.54,0.57,0.57,0.47,0.54,0.49,0.48,0.51,0.54,0.51,0.52,0.51,0.49,0.51,0.49,0.51,0.56,0.54,0.53,0.52,0.52,0.48,0.51,0.56,0.53,0.49,0.49,0.52,0.51,0.52,0.48,0.53,0.51,0.50,0.49
114-1,NaN,0.89,0.93,0.83,0.84,0.91,0.81,0.76,0.69,0.79,0.83,0.71,0.81,0.77,0.83,0.81,0.80,0.78,0.83,0.76,0.86,0.68,0.82,0.82,0.79,0.82,0.72,0.67,0.90,0.82,0.79,0.81,0.70,0.84,0.84,0.84,0.84,0.78,0.84,0.71,0.78,0.72,0.78,0.84,0.78,0.83,0.74,0.74,0.65,0.78,0.76,0.84,0.69,0.74,0.74,0.72,0.70,0.66,0.84,0.75,0.74,0.71,0.73,0.73,0.79,0.73,0.72,0.61,0.71,0.61,0.76,0.76,0.63,0.83,0.80,0.80,0.63,0.55,0.63,0.62,0.63,0.74,0.60,0.65,0.66,0.67,0.65,0.67,0.62,0.75,0.58,0.53,0.53,0.65,0.60,0.55,0.60,0.57,0.61,0.62,0.51,0.55,0.54,0.61,0.57,0.54,0.65,0.50
115-1,NaN,0.94,0.80,0.75,0.71,0.76,0.69,0.67,0.58,0.68,0.82,0.60,0.68,0.79,0.83,0.67,0.74,0.68,0.82,0.57,0.73,0.55,0.82,0.83,0.75,0.82,0.75,0.72,0.85,0.82,0.76,0.67,0.59,0.73,0.73,0.73,0.73,0.68,0.74,0.68,0.72,0.53,0.77,0.72,0.77,0.72,0.64,0.69,0.62,0.66,0.66,0.73,0.64,0.65,0.66,0.67,0.79,0.68,0.78,0.67,0.73,0.68,0.72,0.75,0.68,0.74,0.57,0.58,0.68,0.57,0.69,0.61,0.69,0.68,0.69,0.69,0.53,0.62,0.69,0.55,0.59,0.52,0.65,0.79,0.70,0.70,0.78,0.54,0.57,0.66,0.57,0.69,0.49,0.69,0.56,0.45,0.62,0.65,0.77,0.65,0.48,0.55,0.50,0.65,0.68,0.52,0.47,0.51
116-1,NaN,0.70,0.62,0.49,0.49,0.62,0.49,0.52,0.49,0.63,0.69,0.49,0.54,0.65,0.70,0.63,0.56,0.63,0.69,0.57,0.58,0.47,0.69,0.71,0.65,0.70,0.53,0.50,0.74,0.69,0.69,0.63,0.48,0.53,0.53,0.53,0.53,0.59,0.53,0.51,0.61,0.51,0.65,0.53,0.65,0.49,0.64,0.62,0.53,0.63,0.63,0.53,0.57,0.54,0.60,0.60,0.55,0.54,0.71,0.54,0.65,0.49,0.56,0.61,0.53,0.57,0.59,0.49,0.53,0.49,0.52,0.62,0.49,0.49,0.56,0.56,0.49,0.50,0.49,0.48,0.50,0.50,0.51,0.56,0.63,0.54,0.59,0.50,0.50,0.55,0.51,0.50,0.48,0.63,0.48,0.43,0.51,0.59,0.64,0.46,0.46,0.52,0.48,0.46,0.63,0.51,0.50,0.48
116-2,NaN,0.50,0.50,0.49,0.49,0.50,0.49,0.54,0.50,0.52,0.50,0.50,0.49,0.59,0.50,0.52,0.50,0.52,0.50,0.56,0.54,0.49,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.61,0.52,0.49,0.50,0.50,0.50,0.50,0.55,0.50,0.49,0.51,0.53,0.50,0.50,0.50,0.50,0.58,0.49,0.49,0.57,0.57,0.50,0.50,0.50,0.57,0.49,0.54,0.53,0.50,0.50,0.59,0.50,0.52,0.56,0.50,0.52,0.52,0.49,0.51,0.50,0.50,0.55,0.49,0.49,0.53,0.53,0.50,0.50,0.49,0.50,0.50,0.50,0.52,0.58,0.53,0.49,0.57,0.50,0.50,0.52,0.51,0.50,0.43,0.53,0.50,0.52,0.50,0.53,0.61,0.49,0.43,0.49,0.43,0.49,0.49,0.50,0.50,0.50
117-1,NaN,0.97,0.82,0.78,0.79,0.78,0.76,0.74,0.64,0.72,0.72,0.66,0.70,0.77,0.71,0.72,0.64,0.72,0.71,0.70,0.74,0.61,0.72,0.70,0.68,0.70,0.64,0.65,0.82,0.71,0.78,0.71,0.58,0.67,0.67,0.69,0.69,0.77,0.71,0.63,0.64,0.67,0.66,0.69,0.66,0.67,0.72,0.62,0.64,0.73,0.74,0.70,0.62,0.59,0.73,0.62,0.61,0.63,0.75,0.59,0.74,0.59,0.62,0.70,0.61,0.61,0.68,0.61,0.61,0.59,0.58,0.69,0.61,0.62,0.73,0.73,0.57,0.69,0.60,0.60,0.58,0.66,0.66,0.56,0.70,0.60,0.57,0.63,0.55,0.66,0.55,0.64,0.51,0.69,0.58,0.48,0.55,0.59,0.55,0.56,0.50,0.50,0.50,0.57,0.63,0.56,0.75,0.38
117-2,NaN,0.59,0.50,0.50,0.49,0.50,0.49,0.58,0.49,0.49,0.50,0.49,0.54,0.54,0.50,0.49,0.50,0.49,0.50,0.54,0.54,0.48,0.50,0.50,0.49,0.50,0.49,0.49,0.49,0.50,0.56,0.49,0.48,0.50,0.50,0.50,0.50,0.56,0.50,0.50,0.49,0.54,0.50,0.50,0.50,0.50,0.52,0.49,0.53,0.54,0.54,0.50,0.48,0.50,0.53,0.49,0.53,0.51,0.49,0.50,0.54,0.50,0.51,0.52,0.50,0.51,0.53,0.54,0.51,0.49,0.50,0.52,0.50,0.50,0.57,0.57,0.51,0.50,0.50,0.52,0.53,0.50,0.49,0.51,0.54,0.49,0.51,0.49,0.51,0.57,0.49,0.50,0.51,0.53,0.49,0.49,0.50,0.53,0.49,0.50,0.53,0.56,0.50,0.50,0.54,0.58,0.49,0.49
119-1,NaN,0.82,0.84,0.78,0.78,0.84,0.75,0.71,0.62,0.74,0.75,0.64,0.62,0.78,0.78,0.73,0.73,0.73,0.74,0.73,0.67,0.65,0.75,0.77,0.71,0.74,0.72,0.68,0.84,0.74,0.75,0.72,0.66,0.76,0.76,0.72,0.72,0.70,0.72,0.66,0.71,0.65,0.67,0.71,0.66,0.76,0.72,0.65,0.71,0.72,0.73,0.71,0.64,0.68,0.66,0.65,0.60,0.63,0.76,0.67,0.71,0.61,0.69,0.65,0.74,0.70,0.67,0.69,0.59,0.52,0.65,0.69,0.58,0.68,0.75,0.75,0.50,0.47,0.57,0.51,0.55,0.65,0.53,0.52,0.64,0.61,0.48,0.48,0.52,0.69,0.57,0.47,0.50,0.62,0.51,0.56,0.59,0.54,0.60,0.53,0.48,0.52,0.50,0.52,0.57,0.48,0.63,0.36
120-1,NaN,0.88,0.94,0.82,0.83,0.93,0.81,0.84,0.71,0.80,0.83,0.73,0.86,0.82,0.83,0.79,0.79,0.80,0.83,0.74,0.86,0.70,0.82,0.82,0.78,0.82,0.73,0.67,0.86,0.82,0.81,0.79,0.72,0.84,0.84,0.84,0.84,0.78,0.84,0.68,0.77,0.69,0.78,0.84,0.78,0.81,0.73,0.74,0.64,0.76,0.75,0.84,0.69,0.71,0.71,0.73,0.68,0.65,0.81,0.74,0.75,0.66,0.74,0.73,0.79,0.75,0.73,0.59,0.71,0.61,0.75,0.75,0.66,0.82,0.81,0.81,0.65,0.63,0.66,0.61,0.63,0.76,0.62,0.62,0.65,0.68,0.62,0.65,0.62,0.76,0.59,0.62,0.53,0.64,0.60,0.55,0.63,0.57,0.71,0.64,0.52,0.63,0.55,0.64,0.60,0.51,0.66,0.50
120-2,NaN,0.72,0.70,0.75,0.69,0.70,0.75,0.65,0.60,0.73,0.86,0.57,0.72,0.73,0.86,0.75,0.70,0.73,0.87,0.53,0.72,0.66,0.87,0.86,0.81,0.87,0.46,0.46,0.79,0.87,0.70,0.73,0.64,0.72,0.72,0.74,0.74,0.58,0.73,0.71,0.80,0.66,0.82,0.74,0.82,0.75,0.62,0.77,0.61,0.65,0.66,0.73,0.70,0.70,0.66,0.74,0.66,0.56,0.76,0.67,0.66,0.54,0.76,0.66,0.74,0.76,0.67,0.56,0.63,0.62,0.66,0.69,0.54,0.73,0.77,0.77,0.61,0.42,0.54,0.63,0.58,0.60,0.56,0.70,0.67,0.58,0.67,0.50,0.57,0.77,0.55,0.48,0.59,0.67,0.63,0.41,0.59,0.64,0.56,0.53,0.58,0.52,0.62,0.52,0.64,0.54,0.52,0.51
120-3,NaN,0.50,0.50,0.59,0.61,0.54,0.59,0.67,0.65,0.61,0.79,0.63,0.50,0.62,0.79,0.68,0.67,0.61,0.80,0.58,0.48,0.53,0.80,0.78,0.75,0.79,0.49,0.49,0.50,0.80,0.57,0.61,0.54,0.69,0.69,0.67,0.67,0.52,0.78,0.50,0.76,0.61,0.77,0.67,0.77,0.68,0.56,0.75,0.48,0.57,0.57,0.78,0.67,0.70,0.55,0.71,0.52,0.49,0.50,0.71,0.58,0.50,0.50,0.57,0.51,0.50,0.57,0.49,0.48,0.42,0.62,0.57,0.50,0.75,0.71,0.71,0.47,0.50,0.50,0.45,0.57,0.49,0.55,0.49,0.50,0.50,0.55,0.54,0.53,0.68,0.52,0.54,0.60,0.50,0.46,0.49,0.60,0.59,0.50,0.50,0.56,0.50,0.60,0.50,0.60,0.46,0.54,0.49
121-1,NaN,0.60,0.66,0.50,0.50,0.65,0.50,0.63,0.54,0.67,0.66,0.54,0.50,0.66,0.67,0.67,0.50,0.67,0.66,0.62,0.50,0.50,0.66,0.68,0.62,0.67,0.53,0.50,0.68,0.66,0.60,0.67,0.50,0.50,0.50,0.50,0.50,0.55,0.50,0.50,0.59,0.58,0.62,0.50,0.62,0.50,0.63,0.59,0.49,0.64,0.64,0.50,0.54,0.50,0.61,0.58,0.58,0.57,0.66,0.50,0.58,0.49,0.56,0.57,0.57,0.57,0.62,0.49,0.50,0.48,0.50,0.65,0.50,0.50,0.59,0.59,0.48,0.49,0.50,0.48,0.50,0.50,0.53,0.62,0.62,0.50,0.61,0.50,0.50,0.57,0.52,0.49,0.47,0.62,0.48,0.48,0.50,0.58,0.50,0.48,0.46,0.50,0.49,0.48,0.57,0.49,0.49,0.50
121-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.55,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.56,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.52,0.52,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.56,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.56,0.50
121-3,NaN,0.60,0.75,0.54,0.53,0.72,0.53,0.57,0.53,0.73,0.69,0.53,0.58,0.62,0.70,0.73,0.60,0.73,0.69,0.62,0.57,0.48,0.69,0.68,0.61,0.67,0.58,0.55,0.79,0.69,0.66,0.73,0.49,0.57,0.57,0.56,0.56,0.61,0.56,0.50,0.60,0.58,0.63,0.56,0.63,0.54,0.63,0.61,0.52,0.66,0.66,0.56,0.56,0.58,0.62,0.61,0.60,0.60,0.76,0.59,0.62,0.49,0.66,0.60,0.58,0.66,0.68,0.49,0.53,0.50,0.57,0.71,0.51,0.52,0.64,0.64,0.48,0.49,0.50,0.49,0.55,0.49,0.60,0.58,0.67,0.53,0.59,0.49,0.55,0.62,0.52,0.48,0.48,0.67,0.49,0.44,0.52,0.59,0.52,0.49,0.47,0.48,0.50,0.48,0.60,0.48,0.48,0.48
122-1,NaN,0.69,0.58,0.48,0.47,0.57,0.47,0.62,0.57,0.67,0.62,0.60,0.58,0.72,0.63,0.67,0.62,0.67,0.62,0.63,0.61,0.45,0.62,0.63,0.64,0.63,0.51,0.48,0.80,0.62,0.66,0.67,0.46,0.59,0.59,0.59,0.59,0.59,0.59,0.56,0.60,0.60,0.59,0.59,0.59,0.57,0.69,0.57,0.51,0.70,0.70,0.59,0.57,0.59,0.67,0.56,0.55,0.54,0.76,0.61,0.63,0.54,0.57,0.59,0.52,0.58,0.63,0.48,0.55,0.50,0.59,0.66,0.47,0.55,0.69,0.69,0.48,0.49,0.47,0.49,0.53,0.49,0.53,0.49,0.61,0.49,0.48,0.49,0.54,0.67,0.54,0.55,0.49,0.60,0.49,0.46,0.54,0.62,0.49,0.47,0.47,0.48,0.51,0.47,0.62,0.51,0.63,0.48
124-1,NaN,0.66,0.79,0.68,0.68,0.76,0.68,0.64,0.74,0.72,0.71,0.76,0.81,0.43,0.73,0.70,0.74,0.69,0.68,0.68,0.79,0.56,0.68,0.71,0.64,0.68,0.53,0.52,0.64,0.68,0.71,0.69,0.58,0.76,0.76,0.75,0.75,0.69,0.75,0.61,0.63,0.55,0.64,0.75,0.64,0.77,0.49,0.61,0.61,0.46,0.49,0.75,0.59,0.65,0.50,0.60,0.55,0.50,0.62,0.70,0.69,0.63,0.56,0.62,0.67,0.55,0.69,0.54,0.66,0.47,0.74,0.60,0.54,0.81,0.64,0.64,0.51,0.52,0.54,0.53,0.48,0.53,0.56,0.49,0.50,0.69,0.50,0.51,0.48,0.70,0.50,0.46,0.53,0.51,0.48,0.49,0.48,0.55,0.63,0.58,0.52,0.43,0.53,0.53,0.61,0.39,0.68,0.51
124-2,NaN,0.50,0.67,0.54,0.55,0.65,0.54,0.59,0.57,0.35,0.49,0.61,0.63,0.35,0.49,0.32,0.66,0.32,0.42,0.49,0.66,0.51,0.42,0.50,0.46,0.45,0.44,0.43,0.71,0.42,0.63,0.32,0.50,0.67,0.67,0.66,0.66,0.65,0.66,0.59,0.41,0.47,0.45,0.66,0.45,0.69,0.40,0.43,0.55,0.37,0.41,0.66,0.43,0.58,0.43,0.43,0.56,0.54,0.69,0.62,0.61,0.49,0.44,0.53,0.49,0.43,0.39,0.55,0.50,0.50,0.60,0.39,0.48,0.64,0.46,0.46,0.53,0.55,0.48,0.50,0.49,0.50,0.40,0.60,0.44,0.55,0.61,0.49,0.48,0.51,0.46,0.48,0.51,0.44,0.50,0.48,0.49,0.48,0.54,0.42,0.54,0.51,0.50,0.42,0.52,0.46,0.70,0.49
124-3,NaN,0.66,0.79,0.69,0.68,0.76,0.68,0.61,0.71,0.74,0.71,0.69,0.73,0.43,0.73,0.71,0.65,0.70,0.68,0.67,0.71,0.57,0.68,0.71,0.64,0.68,0.54,0.53,0.65,0.68,0.64,0.70,0.58,0.67,0.67,0.66,0.66,0.67,0.66,0.57,0.63,0.57,0.64,0.66,0.64,0.68,0.51,0.61,0.63,0.45,0.46,0.66,0.59,0.63,0.49,0.60,0.44,0.42,0.62,0.67,0.64,0.64,0.51,0.59,0.67,0.48,0.67,0.55,0.64,0.47,0.71,0.58,0.55,0.76,0.65,0.65,0.51,0.52,0.55,0.54,0.48,0.53,0.57,0.35,0.51,0.69,0.33,0.51,0.48,0.66,0.47,0.47,0.54,0.52,0.49,0.47,0.48,0.52,0.63,0.62,0.52,0.43,0.54,0.57,0.61,0.41,0.68,0.53
125-1,NaN,0.89,0.93,0.83,0.84,0.91,0.81,0.76,0.69,0.79,0.83,0.70,0.81,0.77,0.83,0.81,0.80,0.78,0.83,0.77,0.86,0.68,0.82,0.82,0.79,0.82,0.73,0.68,0.88,0.82,0.79,0.81,0.69,0.85,0.84,0.85,0.85,0.77,0.85,0.71,0.79,0.72,0.78,0.84,0.78,0.84,0.74,0.74,0.65,0.78,0.76,0.84,0.69,0.74,0.74,0.72,0.70,0.66,0.82,0.75,0.74,0.71,0.73,0.73,0.79,0.73,0.72,0.61,0.71,0.61,0.75,0.76,0.64,0.83,0.79,0.79,0.63,0.55,0.64,0.62,0.63,0.74,0.60,0.64,0.65,0.67,0.65,0.67,0.62,0.75,0.57,0.54,0.53,0.65,0.60,0.55,0.61,0.57,0.61,0.62,0.51,0.56,0.55,0.61,0.57,0.54,0.65,0.50
125-2,NaN,0.82,0.71,0.67,0.67,0.68,0.66,0.69,0.66,0.71,0.68,0.68,0.65,0.76,0.70,0.71,0.72,0.71,0.68,0.68,0.71,0.65,0.67,0.69,0.63,0.67,0.70,0.66,0.87,0.67,0.71,0.71,0.64,0.74,0.74,0.71,0.71,0.67,0.71,0.68,0.61,0.61,0.62,0.71,0.62,0.70,0.69,0.60,0.65,0.69,0.70,0.71,0.55,0.63,0.66,0.60,0.67,0.66,0.80,0.64,0.69,0.62,0.65,0.67,0.67,0.66,0.66,0.62,0.66,0.55,0.62,0.67,0.62,0.65,0.67,0.67,0.50,0.57,0.62,0.51,0.59,0.66,0.59,0.61,0.63,0.51,0.58,0.59,0.56,0.63,0.58,0.54,0.49,0.62,0.51,0.56,0.54,0.55,0.49,0.58,0.50,0.51,0.50,0.57,0.52,0.50,0.60,0.42
