ID-model,GO:0003674,GO:0016874,GO:0070011,GO:0008233,GO:0016491,GO:0000975,GO:0044212,GO:0001067,GO:0003677,GO:0016787,GO:0016788,GO:0003676,GO:0097159,GO:1901363,GO:0016740,GO:0003824,GO:0016772,GO:0022857,GO:0005215,GO:0030234,GO:0043565,GO:0016773,GO:0022891,GO:0022892,GO:0043168,GO:0005102,GO:0043167,GO:0046872,GO:0042802,GO:0043169,GO:0019899,GO:0005515,GO:0005488
81-1,NaN,0.70,0.89,0.86,0.88,0.50,0.50,0.50,0.62,0.85,0.87,0.62,0.60,0.60,0.87,0.85,0.96,0.91,0.91,0.69,0.55,0.95,0.90,0.91,0.50,0.50,0.54,0.58,0.50,0.57,0.50,0.54,0.52
81-2,NaN,0.70,0.89,0.86,0.88,0.50,0.50,0.50,0.62,0.85,0.87,0.62,0.60,0.60,0.87,0.85,0.96,0.91,0.91,0.68,0.55,0.95,0.90,0.91,0.50,0.50,0.54,0.58,0.50,0.57,0.50,0.54,0.52
82-1,NaN,0.94,0.94,0.89,0.91,0.82,0.82,0.82,0.82,0.83,0.78,0.76,0.72,0.72,0.86,0.82,0.86,0.83,0.83,0.81,0.73,0.86,0.82,0.83,0.77,0.63,0.70,0.68,0.45,0.63,0.62,0.57,0.53
83-1,NaN,1.00,0.99,0.92,0.96,0.78,0.78,0.78,0.87,0.85,0.81,0.86,0.72,0.72,0.93,0.84,0.99,0.96,0.96,0.81,0.83,0.99,0.96,0.96,0.79,0.78,0.61,0.65,0.52,0.60,0.58,0.69,0.58
83-2,NaN,0.99,1.00,0.92,0.97,0.69,0.70,0.69,0.89,0.85,0.80,0.89,0.73,0.73,0.94,0.85,0.99,0.99,0.98,0.81,0.86,1.00,0.98,0.98,0.80,0.78,0.61,0.66,0.52,0.61,0.59,0.70,0.58
84-1,NaN,0.60,0.62,0.56,0.82,0.51,0.51,0.51,0.42,0.56,0.55,0.38,0.49,0.49,0.64,0.64,0.73,0.94,0.95,0.59,0.67,0.78,0.94,0.95,0.57,0.78,0.63,0.64,0.50,0.60,0.52,0.51,0.37
85-1,NaN,0.94,1.00,0.90,0.92,0.89,0.89,0.89,0.88,0.89,0.90,0.85,0.80,0.80,0.89,0.88,0.82,0.90,0.90,0.91,0.85,0.80,0.89,0.90,0.80,0.60,0.66,0.59,0.41,0.56,0.56,0.57,0.61
85-2,NaN,0.94,1.00,0.89,0.92,0.88,0.89,0.88,0.85,0.88,0.89,0.81,0.73,0.74,0.88,0.88,0.81,0.89,0.89,0.91,0.85,0.80,0.89,0.89,0.77,0.60,0.62,0.51,0.39,0.51,0.57,0.58,0.57
86-1,NaN,0.50,0.74,0.76,0.74,0.55,0.55,0.55,0.62,0.78,0.68,0.72,0.66,0.66,0.69,0.72,0.68,0.67,0.69,0.49,0.48,0.67,0.70,0.72,0.65,0.49,0.56,0.49,0.51,0.48,0.51,0.59,0.55
86-2,NaN,0.50,0.74,0.76,0.74,0.55,0.55,0.55,0.62,0.78,0.68,0.72,0.66,0.66,0.69,0.72,0.68,0.67,0.69,0.49,0.48,0.67,0.70,0.72,0.65,0.49,0.56,0.49,0.51,0.48,0.51,0.59,0.55
86-3,NaN,0.50,0.70,0.73,0.74,0.52,0.52,0.52,0.61,0.75,0.68,0.61,0.58,0.58,0.67,0.69,0.65,0.66,0.64,0.49,0.49,0.63,0.67,0.66,0.57,0.50,0.53,0.49,0.51,0.49,0.49,0.62,0.58
87-1,NaN,0.95,1.00,0.93,0.88,0.50,0.50,0.50,0.88,0.90,0.90,0.87,0.83,0.84,0.96,0.90,1.00,0.94,0.93,0.72,0.54,1.00,0.94,0.94,0.73,0.54,0.64,0.68,0.49,0.65,0.48,0.57,0.60
87-2,NaN,0.95,0.94,0.90,0.88,0.50,0.50,0.50,0.87,0.90,0.90,0.85,0.81,0.81,0.96,0.89,1.00,0.94,0.94,0.68,0.54,1.00,0.95,0.95,0.73,0.54,0.66,0.70,0.49,0.67,0.48,0.56,0.56
87-3,NaN,0.85,0.59,0.66,0.78,0.50,0.50,0.50,0.79,0.79,0.84,0.77,0.75,0.75,0.84,0.81,0.96,0.86,0.90,0.72,0.49,0.95,0.90,0.91,0.73,0.55,0.65,0.67,0.50,0.64,0.49,0.57,0.58
88-1,NaN,0.94,0.99,0.92,0.92,0.55,0.55,0.55,0.61,0.90,0.80,0.61,0.61,0.59,0.89,0.84,0.90,0.94,0.99,0.72,0.59,0.89,0.94,0.94,0.64,0.49,0.59,0.54,0.48,0.53,0.53,0.62,0.62
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.60,0.50,0.50,0.50,0.53,0.53,0.53,0.52,0.49,0.50,0.51,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.49,0.50
91-2,NaN,0.60,0.50,0.50,0.50,0.53,0.53,0.53,0.52,0.49,0.50,0.51,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.49,0.49
91-3,NaN,0.49,0.50,0.50,0.53,0.50,0.50,0.50,0.51,0.52,0.57,0.51,0.50,0.50,0.49,0.50,0.49,0.49,0.49,0.51,0.57,0.49,0.49,0.49,0.51,0.49,0.49,0.52,0.50,0.51,0.50,0.49,0.50
93-1,NaN,0.62,0.54,0.62,0.63,0.50,0.50,0.50,0.54,0.54,0.52,0.53,0.56,0.56,0.54,0.60,0.67,0.73,0.71,0.50,0.52,0.71,0.71,0.69,0.66,0.49,0.67,0.70,0.55,0.68,0.49,0.51,0.52
93-2,NaN,0.61,0.53,0.61,0.62,0.49,0.50,0.48,0.51,0.54,0.52,0.51,0.54,0.54,0.54,0.59,0.65,0.72,0.70,0.50,0.50,0.70,0.70,0.68,0.64,0.49,0.64,0.68,0.55,0.66,0.49,0.50,0.48
94-1,NaN,0.84,0.99,0.96,0.91,0.52,0.52,0.52,0.88,0.94,0.90,0.91,0.86,0.86,0.94,0.87,0.98,0.95,0.98,0.72,0.58,1.00,0.95,0.90,0.74,0.54,0.68,0.65,0.48,0.63,0.50,0.64,0.63
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.49,0.60,0.59,0.48,0.51,0.51,0.51,0.51,0.51,0.47,0.51,0.49,0.49,0.51,0.48,0.43,0.48,0.51,0.50,0.56,0.44,0.49,0.53,0.50,0.50,0.50,0.50,0.49,0.50,0.50,0.52,0.54
96-2,NaN,0.57,0.58,0.55,0.48,0.49,0.49,0.49,0.52,0.48,0.47,0.52,0.49,0.49,0.49,0.45,0.47,0.50,0.48,0.50,0.51,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.53,0.51
96-3,NaN,0.48,0.52,0.51,0.50,0.46,0.46,0.46,0.47,0.50,0.54,0.47,0.48,0.48,0.52,0.47,0.41,0.50,0.53,0.50,0.46,0.43,0.50,0.54,0.50,0.49,0.50,0.50,0.50,0.50,0.50,0.51,0.52
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.40,0.39,0.44,0.71,0.61,0.61,0.61,0.58,0.52,0.57,0.57,0.57,0.57,0.56,0.52,0.68,0.79,0.74,0.48,0.52,0.79,0.77,0.72,0.45,0.63,0.58,0.66,0.53,0.62,0.42,0.48,0.49
99-1,NaN,0.94,0.94,0.89,0.88,0.63,0.63,0.63,0.87,0.86,0.86,0.86,0.84,0.84,0.88,0.85,0.85,0.75,0.76,0.77,0.75,0.78,0.73,0.75,0.78,0.44,0.71,0.67,0.47,0.63,0.57,0.63,0.66
