ID-model,GO:0003674,GO:0008527,GO:0016874,GO:0016881,GO:0016879,GO:0019787,GO:0004842,GO:0008509,GO:0016746,GO:0016747,GO:0004674,GO:0004672,GO:0016773,GO:0016301,GO:0016772,GO:0004930,GO:0042578,GO:0016887,GO:0000982,GO:0001077,GO:0016462,GO:0016818,GO:0005216,GO:0015267,GO:0022803,GO:0022838,GO:0017111,GO:0016817,GO:0015075,GO:0003700,GO:0001071,GO:0004888,GO:0016740,GO:0016788,GO:0038023,GO:0022891,GO:0004872,GO:0022857,GO:0003677,GO:0001228,GO:0000981,GO:0016491,GO:0022892,GO:0005198,GO:0004871,GO:0060089,GO:0003823,GO:0043565,GO:0008233,GO:0000977,GO:0001012,GO:0016787,GO:0008324,GO:0022836,GO:0022839,GO:0005215,GO:0046872,GO:0070011,GO:0000976,GO:0005261,GO:0003676,GO:0000987,GO:0001159,GO:0003824,GO:0046873,GO:0000978,GO:0022890,GO:0001067,GO:0000975,GO:0044212,GO:0043169,GO:1901363,GO:0097159,GO:0008047,GO:0042803,GO:0036094,GO:0043167,GO:0008092,GO:0030234,GO:0043168,GO:0031267,GO:0017016,GO:0003723,GO:0051020,GO:0005543,GO:0005488,GO:0042802,GO:0003729,GO:0008289,GO:0015631,GO:0005515,GO:0003682,GO:0046983,GO:0005102,GO:0032403,GO:0019899,GO:0030674,GO:0060090,GO:0046982,GO:0031625,GO:0044389,GO:0043566,GO:0031490,GO:0019901,GO:0019900,GO:0019904
110-3,NaN,0.78,0.58,0.59,0.56,0.61,0.66,0.74,0.81,0.80,0.74,0.69,0.66,0.59,0.60,0.72,0.79,0.75,0.72,0.64,0.69,0.69,0.80,0.78,0.78,0.79,0.69,0.69,0.76,0.81,0.81,0.67,0.68,0.79,0.66,0.74,0.67,0.74,0.59,0.67,0.79,0.77,0.73,0.74,0.67,0.67,0.72,0.72,0.73,0.71,0.71,0.65,0.83,0.75,0.75,0.70,0.59,0.76,0.73,0.80,0.65,0.70,0.72,0.63,0.84,0.66,0.83,0.58,0.58,0.58,0.57,0.61,0.61,0.64,0.51,0.62,0.53,0.67,0.62,0.56,0.72,0.70,0.83,0.69,0.56,0.71,0.51,0.84,0.55,0.79,0.74,0.71,0.46,0.74,0.60,0.61,0.63,0.62,0.44,0.62,0.62,0.70,0.74,0.60,0.62,0.57
111-1,NaN,0.71,0.83,0.79,0.79,0.79,0.77,0.54,0.69,0.70,0.95,0.95,0.92,0.93,0.93,0.71,0.99,0.78,0.67,0.62,0.77,0.77,0.61,0.61,0.61,0.61,0.76,0.77,0.66,0.66,0.72,0.68,0.82,0.92,0.67,0.65,0.67,0.64,0.74,0.62,0.67,0.87,0.65,0.78,0.67,0.67,0.49,0.66,0.66,0.63,0.63,0.73,0.71,0.63,0.63,0.62,0.68,0.65,0.64,0.64,0.74,0.59,0.59,0.75,0.75,0.60,0.75,0.70,0.70,0.69,0.64,0.72,0.71,0.53,0.57,0.45,0.61,0.63,0.58,0.58,0.55,0.55,0.75,0.54,0.58,0.59,0.49,0.66,0.56,0.57,0.57,0.63,0.49,0.54,0.42,0.48,0.54,0.54,0.46,0.70,0.70,0.46,0.48,0.56,0.63,0.39
111-2,NaN,0.78,0.66,0.61,0.58,0.63,0.68,0.74,0.81,0.80,0.75,0.70,0.67,0.60,0.61,0.72,0.79,0.76,0.72,0.64,0.70,0.70,0.80,0.79,0.79,0.80,0.70,0.70,0.77,0.80,0.82,0.68,0.71,0.80,0.66,0.75,0.67,0.75,0.59,0.67,0.78,0.78,0.74,0.79,0.67,0.67,0.72,0.71,0.73,0.70,0.70,0.65,0.84,0.75,0.75,0.71,0.59,0.77,0.72,0.80,0.66,0.70,0.72,0.65,0.85,0.65,0.84,0.59,0.59,0.58,0.57,0.64,0.64,0.65,0.50,0.64,0.53,0.72,0.62,0.56,0.72,0.70,0.84,0.72,0.56,0.73,0.51,0.85,0.55,0.79,0.76,0.69,0.45,0.73,0.59,0.61,0.63,0.62,0.44,0.62,0.62,0.65,0.71,0.60,0.63,0.59
111-3,NaN,NaN,0.75,0.50,0.75,0.50,0.50,0.50,1.00,0.75,0.97,0.72,0.72,0.72,0.72,NaN,1.00,0.82,0.50,0.50,0.85,0.85,0.49,0.49,0.49,0.49,0.85,0.84,0.66,0.46,0.77,0.50,0.91,1.00,0.47,0.66,0.47,0.63,0.52,0.49,0.46,1.00,0.66,1.00,0.47,0.47,0.50,0.50,NaN,0.48,0.47,0.88,0.74,0.49,0.49,0.63,0.64,NaN,0.47,0.49,0.56,0.50,0.50,0.81,0.75,0.50,0.75,0.54,0.54,0.50,0.64,0.68,0.67,NaN,0.59,0.46,0.52,0.71,0.48,0.46,0.50,0.50,0.59,0.62,0.50,0.72,0.52,0.47,0.49,0.49,0.53,0.55,0.53,0.46,0.46,0.50,0.49,0.49,0.49,0.50,0.50,0.48,0.49,0.50,0.50,0.49
112-1,NaN,0.83,0.99,0.97,0.97,0.98,0.97,0.99,0.93,0.93,0.90,0.96,0.94,0.94,0.95,0.97,0.99,0.96,0.73,0.62,0.95,0.95,0.88,0.88,0.88,0.88,0.96,0.96,0.92,0.85,0.90,0.90,0.96,0.97,0.86,0.89,0.97,0.88,0.87,0.69,0.87,0.99,0.87,0.86,0.85,0.97,0.88,0.77,0.96,0.76,0.77,0.93,0.86,0.78,0.78,0.84,0.81,0.95,0.77,0.83,0.85,0.59,0.59,0.90,0.85,0.61,0.85,0.79,0.77,0.77,0.77,0.81,0.80,0.70,0.56,0.68,0.71,0.85,0.73,0.73,0.76,0.75,0.89,0.79,0.78,0.83,0.52,0.84,0.73,0.74,0.85,0.74,0.50,0.72,0.55,0.59,0.71,0.68,0.46,0.72,0.76,0.71,0.53,0.60,0.67,0.49
112-2,NaN,0.83,0.99,0.97,0.97,0.98,0.97,1.00,0.93,0.93,0.90,0.96,0.95,0.94,0.95,0.97,0.99,0.96,0.71,0.58,0.96,0.96,0.88,0.88,0.88,0.88,0.96,0.96,0.92,0.85,0.90,0.91,0.96,0.97,0.86,0.89,0.97,0.88,0.87,0.69,0.87,0.99,0.87,0.86,0.85,0.97,0.88,0.77,0.96,0.74,0.75,0.93,0.85,0.78,0.78,0.84,0.81,0.95,0.75,0.83,0.85,0.59,0.59,0.90,0.85,0.61,0.84,0.80,0.78,0.77,0.77,0.81,0.80,0.70,0.57,0.68,0.71,0.84,0.73,0.74,0.76,0.73,0.89,0.79,0.78,0.83,0.52,0.82,0.73,0.74,0.85,0.74,0.50,0.72,0.55,0.59,0.71,0.69,0.46,0.72,0.76,0.71,0.53,0.58,0.66,0.48
112-3,NaN,0.83,0.99,0.95,0.95,0.97,0.95,0.99,0.93,0.92,0.89,0.96,0.94,0.93,0.95,0.97,0.99,0.95,0.73,0.62,0.95,0.95,0.89,0.88,0.88,0.88,0.96,0.96,0.92,0.87,0.93,0.89,0.96,0.97,0.84,0.89,0.97,0.89,0.87,0.69,0.87,0.99,0.88,0.86,0.82,0.97,0.88,0.77,0.96,0.76,0.77,0.91,0.83,0.78,0.78,0.84,0.81,0.95,0.77,0.81,0.85,0.59,0.59,0.90,0.85,0.61,0.85,0.79,0.77,0.77,0.77,0.81,0.80,0.70,0.56,0.68,0.72,0.86,0.73,0.74,0.78,0.77,0.89,0.82,0.78,0.74,0.52,0.84,0.73,0.74,0.68,0.74,0.50,0.72,0.54,0.59,0.73,0.71,0.46,0.75,0.80,0.71,0.53,0.60,0.67,0.51
113-1,NaN,0.83,0.99,0.96,0.95,0.97,0.95,1.00,0.93,0.93,0.90,0.96,0.95,0.93,0.95,0.97,0.99,0.95,0.71,0.58,0.96,0.96,0.88,0.88,0.88,0.88,0.96,0.96,0.92,0.87,0.93,0.89,0.96,0.97,0.84,0.89,0.97,0.89,0.87,0.69,0.87,0.99,0.88,0.86,0.82,0.97,0.88,0.77,0.96,0.74,0.75,0.92,0.83,0.78,0.78,0.84,0.81,0.95,0.75,0.81,0.85,0.59,0.59,0.90,0.85,0.61,0.84,0.80,0.78,0.77,0.77,0.81,0.80,0.70,0.57,0.68,0.72,0.86,0.73,0.74,0.78,0.74,0.88,0.81,0.78,0.73,0.52,0.82,0.73,0.74,0.67,0.74,0.50,0.71,0.54,0.59,0.73,0.71,0.46,0.75,0.80,0.71,0.53,0.58,0.66,0.51
113-2,NaN,1.00,0.62,0.66,0.61,0.69,0.72,0.76,0.78,0.77,0.66,0.66,0.64,0.57,0.58,0.90,0.73,0.71,0.74,0.65,0.69,0.69,0.84,0.83,0.83,0.84,0.70,0.69,0.79,0.85,0.85,0.83,0.66,0.75,0.81,0.79,0.80,0.79,0.72,0.70,0.83,0.89,0.77,0.80,0.81,0.81,0.82,0.80,0.76,0.75,0.75,0.60,0.82,0.77,0.77,0.75,0.59,0.77,0.79,0.80,0.77,0.74,0.77,0.61,0.87,0.68,0.86,0.70,0.70,0.70,0.58,0.73,0.73,0.65,0.51,0.72,0.53,0.75,0.61,0.58,0.76,0.73,0.87,0.73,0.59,0.66,0.51,0.88,0.56,0.88,0.63,0.73,0.44,0.79,0.62,0.64,0.63,0.62,0.43,0.68,0.68,0.72,0.75,0.64,0.66,0.60
113-3,NaN,1.00,0.92,0.90,0.90,0.90,0.89,0.74,0.90,0.80,0.94,0.95,0.94,0.95,0.94,1.00,0.98,0.82,0.75,0.68,0.87,0.87,0.76,0.76,0.76,0.76,0.86,0.86,0.83,0.78,0.88,0.92,0.93,0.97,0.91,0.82,0.92,0.81,0.72,0.72,0.77,0.98,0.82,0.89,0.92,0.92,0.49,0.73,0.88,0.72,0.72,0.84,0.83,0.76,0.76,0.78,0.66,0.86,0.71,0.76,0.70,0.62,0.62,0.84,0.82,0.65,0.82,0.71,0.72,0.71,0.63,0.68,0.67,0.62,0.66,0.47,0.60,0.72,0.62,0.61,0.73,0.74,0.71,0.68,0.63,0.56,0.51,0.65,0.62,0.69,0.52,0.61,0.55,0.75,0.43,0.55,0.59,0.58,0.43,0.80,0.80,0.43,0.47,0.56,0.65,0.34
114-1,NaN,1.00,0.99,0.99,0.99,0.98,0.98,0.74,0.95,0.95,0.94,0.95,0.95,0.96,0.96,1.00,0.93,0.88,0.78,0.74,0.90,0.90,0.85,0.84,0.84,0.84,0.90,0.90,0.89,0.92,0.92,0.96,0.97,0.89,0.95,0.89,0.98,0.93,0.95,0.69,0.88,1.00,0.88,0.90,0.94,0.94,0.79,0.89,0.81,0.71,0.71,0.90,0.88,0.79,0.79,0.92,0.84,0.78,0.70,0.86,0.91,0.61,0.61,0.91,0.80,0.62,0.80,0.83,0.83,0.83,0.79,0.81,0.81,0.72,0.48,0.70,0.69,0.68,0.75,0.74,0.56,0.56,0.87,0.55,0.70,0.67,0.57,0.66,0.67,0.55,0.79,0.74,0.46,0.58,0.51,0.52,0.54,0.54,0.49,0.55,0.55,0.64,0.50,0.49,0.51,0.49
115-1,NaN,1.00,0.99,0.99,0.99,0.99,0.99,1.00,0.94,0.94,0.98,0.97,0.97,0.98,0.98,1.00,1.00,0.97,0.78,0.74,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.92,0.92,0.99,0.96,0.99,0.99,0.96,0.98,0.96,0.95,0.82,0.87,0.99,0.96,0.89,0.98,0.98,0.84,0.92,0.93,0.81,0.82,0.94,0.95,0.88,0.88,0.94,0.88,0.86,0.78,0.94,0.91,0.70,0.81,0.91,0.90,0.73,0.93,0.82,0.81,0.81,0.80,0.81,0.81,0.75,0.61,0.64,0.67,0.77,0.75,0.71,0.76,0.73,0.87,0.77,0.76,0.70,0.60,0.65,0.71,0.80,0.73,0.83,0.55,0.86,0.63,0.69,0.57,0.57,0.46,0.54,0.54,0.63,0.48,0.50,0.55,0.64
116-1,NaN,0.71,0.89,0.87,0.87,0.87,0.85,0.62,0.88,0.86,0.81,0.94,0.95,0.96,0.96,1.00,0.93,0.64,0.50,0.50,0.68,0.68,0.94,0.94,0.94,0.94,0.70,0.68,0.85,0.77,0.77,0.97,0.93,0.92,0.97,0.85,0.97,0.89,0.86,0.50,0.51,0.88,0.85,0.90,0.96,0.96,0.49,0.59,0.83,0.50,0.50,0.84,0.72,0.57,0.57,0.89,0.92,0.78,0.51,0.75,0.87,0.50,0.50,0.88,0.56,0.50,0.56,0.50,0.50,0.50,0.85,0.78,0.77,0.67,0.50,0.63,0.72,0.57,0.64,0.69,0.50,0.50,0.93,0.50,0.55,0.69,0.50,0.58,0.57,0.50,0.57,0.55,0.49,0.57,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
116-2,NaN,0.71,0.83,0.85,0.85,0.85,0.85,0.62,0.80,0.75,0.72,0.95,0.95,0.96,0.97,1.00,0.88,0.55,0.50,0.50,0.62,0.62,0.91,0.91,0.91,0.91,0.63,0.62,0.84,0.76,0.76,0.94,0.93,0.86,0.94,0.84,0.94,0.84,0.84,0.50,0.50,0.90,0.82,0.86,0.91,0.91,0.49,0.54,0.81,0.50,0.50,0.79,0.66,0.67,0.67,0.81,0.87,0.75,0.51,0.67,0.83,0.50,0.50,0.87,0.55,0.50,0.55,0.50,0.50,0.50,0.80,0.75,0.75,0.67,0.50,0.59,0.74,0.56,0.63,0.67,0.50,0.50,0.64,0.50,0.57,0.74,0.50,0.52,0.55,0.50,0.58,0.53,0.50,0.56,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
117-1,NaN,1.00,0.95,0.95,0.94,0.95,0.99,1.00,0.97,0.97,0.97,0.96,0.97,0.97,0.97,1.00,0.98,0.92,0.94,0.94,0.94,0.94,0.97,0.96,0.96,0.97,0.95,0.94,0.96,0.90,0.90,0.99,0.95,0.96,0.99,0.94,0.99,0.94,0.93,0.92,0.91,0.98,0.93,0.88,0.97,0.97,0.88,0.89,0.96,0.90,0.91,0.89,0.91,0.96,0.96,0.89,0.86,0.95,0.87,0.93,0.91,0.78,0.78,0.87,0.91,0.75,0.90,0.82,0.82,0.82,0.80,0.85,0.84,0.73,0.66,0.76,0.73,0.89,0.71,0.76,0.82,0.83,0.91,0.82,0.68,0.65,0.51,0.91,0.59,0.85,0.63,0.76,0.56,0.70,0.57,0.56,0.66,0.64,0.36,0.76,0.76,0.66,0.62,0.55,0.64,0.48
117-2,NaN,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.88,0.88,0.90,1.00,1.00,0.99,0.83,0.50,0.50,0.97,0.97,0.99,0.99,0.99,0.99,0.97,0.97,0.98,0.55,0.55,0.98,0.99,0.74,0.98,0.98,0.98,0.98,0.84,0.50,0.56,0.99,0.99,1.00,0.98,0.98,0.50,0.57,1.00,0.58,0.58,0.88,0.93,1.00,1.00,0.98,0.75,0.99,0.58,0.92,0.76,0.50,0.50,0.91,0.68,0.50,0.68,0.69,0.69,0.67,0.75,0.76,0.75,0.66,0.50,0.66,0.72,0.76,0.73,0.79,0.50,0.50,0.60,0.50,NaN,0.63,0.50,0.50,0.49,0.99,0.61,0.50,0.46,0.57,0.49,0.48,NaN,NaN,0.50,0.50,0.50,0.50,0.50,0.49,0.49,NaN
119-1,NaN,1.00,0.95,0.95,0.94,0.95,0.94,1.00,0.98,0.98,0.99,1.00,1.00,1.00,1.00,1.00,0.99,0.88,0.79,0.75,0.90,0.90,0.96,0.96,0.96,0.96,0.90,0.90,0.96,0.94,0.94,0.99,0.98,0.98,0.98,0.94,0.98,0.94,0.89,0.77,0.82,0.99,0.93,0.83,0.97,0.97,0.88,0.85,0.86,0.79,0.79,0.88,0.89,0.90,0.90,0.91,0.91,0.83,0.77,0.87,0.89,0.63,0.63,0.89,0.86,0.63,0.86,0.73,0.73,0.73,0.84,0.81,0.80,0.61,0.59,0.77,0.78,0.72,0.63,0.76,0.71,0.71,0.87,0.69,0.62,0.68,0.48,0.81,0.59,0.56,0.69,0.77,0.50,0.71,0.63,0.56,0.57,0.57,0.50,0.63,0.63,0.54,0.50,0.51,0.54,0.56
120-1,NaN,1.00,0.99,0.99,0.99,0.99,0.99,1.00,0.99,1.00,0.95,0.95,0.96,0.96,0.96,1.00,0.99,0.95,0.97,0.97,0.96,0.96,0.95,0.95,0.95,0.95,0.96,0.96,0.95,0.92,0.92,0.99,0.98,0.98,0.98,0.94,0.98,0.94,0.95,0.92,0.94,1.00,0.93,0.87,0.97,0.97,0.92,0.94,0.94,0.92,0.92,0.93,0.92,0.94,0.94,0.91,0.84,0.93,0.92,0.92,0.92,0.89,0.89,0.91,0.91,0.88,0.90,0.92,0.92,0.92,0.75,0.82,0.81,0.82,0.72,0.72,0.68,0.86,0.74,0.76,0.83,0.84,0.92,0.83,0.74,0.67,0.65,0.82,0.66,0.92,0.81,0.88,0.57,0.82,0.69,0.62,0.70,0.69,0.43,0.77,0.77,0.74,0.83,0.57,0.63,0.45
120-2,NaN,0.50,0.87,0.95,0.95,0.90,0.74,0.89,0.87,0.50,0.76,0.79,0.83,0.84,0.80,0.85,0.90,0.85,0.50,0.50,0.88,0.88,0.91,0.94,0.94,0.91,0.83,0.88,0.95,0.91,0.91,0.88,0.72,0.90,0.88,0.93,0.92,0.93,0.91,0.50,0.81,0.84,0.93,0.69,0.87,0.87,0.69,0.80,0.81,0.50,0.50,0.86,0.81,0.77,0.77,0.91,0.79,0.73,0.64,0.83,0.87,0.50,0.50,0.81,0.50,0.50,0.50,0.72,0.72,0.70,0.72,0.77,0.76,0.62,0.69,0.65,0.61,0.77,0.60,0.60,0.66,0.50,0.68,0.68,0.60,0.63,0.73,0.50,0.63,0.68,0.67,0.54,0.57,0.78,0.60,0.60,0.50,0.50,0.45,0.50,0.50,0.55,0.50,0.52,0.49,0.50
120-3,NaN,0.50,0.78,0.84,0.84,0.79,0.77,0.50,0.50,0.50,0.78,0.83,0.84,0.79,0.76,0.50,0.50,0.50,0.50,0.50,0.59,0.59,0.50,0.89,0.89,0.50,0.50,0.59,0.96,0.87,0.88,0.85,0.60,0.59,0.85,0.96,0.83,0.96,0.86,0.50,0.50,0.73,0.96,0.50,0.84,0.84,0.50,0.72,0.54,0.50,0.50,0.69,0.50,0.50,0.50,0.97,0.48,0.50,0.50,0.50,0.85,0.50,0.50,0.72,0.50,0.50,0.50,0.78,0.78,0.75,0.48,0.80,0.79,0.50,0.50,0.52,0.46,0.50,0.49,0.48,0.50,0.50,0.51,0.50,0.50,0.66,0.50,0.50,0.57,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
121-1,NaN,0.50,0.83,0.68,0.68,0.68,0.68,0.67,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.00,1.00,0.79,0.50,0.50,0.73,0.73,0.86,0.86,0.86,0.86,0.73,0.73,0.79,0.82,0.82,0.94,0.98,0.92,0.93,0.79,0.98,0.84,0.93,0.50,0.54,0.90,0.80,0.83,0.93,0.93,0.50,0.79,0.81,0.52,0.52,0.83,0.74,0.79,0.79,0.83,0.79,0.80,0.52,0.71,0.89,0.50,0.50,0.85,0.80,0.50,0.80,0.51,0.51,0.51,0.79,0.81,0.80,0.57,0.49,0.70,0.65,0.68,0.60,0.68,0.50,0.50,0.79,0.50,0.58,0.62,0.49,0.53,0.60,0.50,0.53,0.52,0.48,0.53,0.50,0.52,0.50,0.50,0.50,0.50,0.60,0.50,0.50,0.50,0.50,0.59
121-2,NaN,1.00,1.00,NaN,NaN,NaN,NaN,NaN,0.99,0.99,0.83,0.83,0.83,1.00,1.00,1.00,NaN,0.97,NaN,NaN,0.97,0.97,1.00,1.00,1.00,1.00,0.97,0.97,1.00,0.50,0.50,1.00,0.94,0.49,1.00,1.00,1.00,0.99,0.75,NaN,0.50,0.83,1.00,0.50,1.00,1.00,NaN,1.00,NaN,1.00,1.00,0.79,0.83,1.00,1.00,0.99,0.98,NaN,1.00,0.75,0.80,NaN,NaN,0.85,0.75,NaN,0.75,0.60,0.60,0.60,0.98,0.83,0.83,0.50,0.47,NaN,0.70,0.50,0.49,0.47,NaN,NaN,0.88,NaN,0.50,0.72,0.46,0.60,0.50,NaN,0.56,0.48,0.47,0.48,NaN,0.62,0.50,0.50,NaN,NaN,NaN,NaN,NaN,0.49,0.49,NaN
121-3,NaN,0.70,0.85,0.72,0.72,0.72,0.72,0.75,0.95,0.95,0.99,0.99,0.99,0.99,0.99,1.00,1.00,0.76,0.53,0.50,0.78,0.78,0.90,0.90,0.90,0.90,0.78,0.78,0.80,0.86,0.86,0.96,0.99,0.89,0.96,0.80,0.99,0.84,0.91,0.50,0.56,1.00,0.81,0.78,0.96,0.96,0.50,0.78,0.85,0.52,0.52,0.87,0.79,0.83,0.83,0.83,0.79,0.83,0.51,0.83,0.86,0.50,0.50,0.88,0.64,0.50,0.64,0.52,0.52,0.51,0.75,0.78,0.77,0.57,0.49,0.71,0.66,0.64,0.58,0.68,0.50,0.50,0.75,0.50,0.57,0.63,0.50,0.50,0.59,0.50,0.79,0.54,0.47,0.56,0.50,0.52,0.50,0.50,0.50,0.57,0.57,0.50,0.50,0.50,0.50,0.56
122-1,NaN,0.88,0.79,0.75,0.75,0.70,0.72,0.90,0.92,0.86,0.99,1.00,1.00,1.00,1.00,0.96,0.90,0.82,0.53,0.50,0.95,0.94,0.88,0.88,0.88,0.88,0.94,0.94,0.91,0.84,0.84,0.90,0.97,0.85,0.90,0.91,0.90,0.94,0.84,0.50,0.56,1.00,0.91,0.75,0.90,0.90,0.54,0.73,0.77,0.53,0.53,0.91,0.81,0.77,0.77,0.89,0.80,0.72,0.53,0.75,0.85,0.50,0.50,0.88,0.72,0.50,0.77,0.52,0.52,0.51,0.75,0.79,0.78,0.60,0.49,0.65,0.64,0.64,0.64,0.64,0.61,0.61,0.65,0.60,0.57,0.71,0.48,0.57,0.58,0.56,0.76,0.59,0.46,0.65,0.49,0.52,0.57,0.57,0.49,0.57,0.57,0.50,0.50,0.49,0.52,0.49
124-1,NaN,0.76,0.80,0.89,0.88,0.89,0.89,0.92,0.86,0.91,0.53,0.49,0.43,0.47,0.55,0.75,0.93,0.79,0.97,0.96,0.86,0.86,0.91,0.91,0.91,0.91,0.87,0.86,0.89,0.81,0.82,0.92,0.61,0.95,0.92,0.84,0.88,0.91,0.80,0.93,0.94,0.95,0.79,0.78,0.87,0.87,0.95,0.81,0.87,0.91,0.91,0.67,0.92,0.83,0.83,0.85,0.28,0.84,0.85,0.93,0.69,0.88,0.88,0.46,0.87,0.91,0.93,0.90,0.90,0.90,0.31,0.63,0.64,0.60,0.52,0.44,0.38,0.87,0.58,0.47,0.71,0.71,0.92,0.67,0.49,0.43,0.53,0.74,0.55,0.84,0.31,0.79,0.56,0.73,0.71,0.65,0.63,0.67,0.48,0.60,0.60,0.74,0.89,0.60,0.62,0.75
124-2,NaN,0.48,0.39,0.32,0.44,0.45,0.23,0.56,0.86,0.92,0.53,0.42,0.41,0.47,0.48,0.64,0.88,0.75,0.50,0.37,0.73,0.72,0.72,0.72,0.72,0.72,0.74,0.72,0.69,0.77,0.79,0.65,0.52,0.86,0.64,0.66,0.55,0.67,0.73,0.43,0.86,0.44,0.67,0.66,0.42,0.42,0.71,0.84,0.76,0.47,0.47,0.51,0.75,0.73,0.73,0.65,0.26,0.76,0.51,0.77,0.53,0.40,0.40,0.31,0.72,0.40,0.68,0.32,0.32,0.33,0.29,0.53,0.53,0.65,0.63,0.35,0.34,0.78,0.64,0.47,0.54,0.54,0.89,0.54,0.48,0.42,0.61,0.74,0.56,0.50,0.31,0.58,0.62,0.70,0.69,0.65,0.61,0.65,0.48,0.53,0.53,0.45,0.50,0.50,0.64,0.74
124-3,NaN,0.76,0.73,0.89,0.88,0.89,0.89,0.92,0.45,0.48,0.48,0.45,0.39,0.42,0.51,0.75,0.67,0.57,0.97,0.96,0.69,0.68,0.90,0.90,0.90,0.90,0.73,0.68,0.81,0.72,0.74,0.92,0.41,0.61,0.92,0.74,0.89,0.83,0.77,0.93,0.92,0.83,0.63,0.67,0.87,0.87,0.88,0.63,0.87,0.91,0.91,0.48,0.82,0.81,0.81,0.72,0.26,0.83,0.85,0.91,0.64,0.88,0.88,0.41,0.83,0.91,0.86,0.90,0.90,0.90,0.30,0.42,0.43,0.43,0.53,0.44,0.38,0.87,0.51,0.45,0.66,0.66,0.90,0.63,0.49,0.43,0.54,0.74,0.55,0.84,0.31,0.73,0.56,0.73,0.71,0.65,0.63,0.67,0.49,0.60,0.60,0.74,0.89,0.61,0.62,0.75
125-1,NaN,1.00,0.92,0.91,0.91,0.86,0.85,0.75,0.95,0.95,0.95,0.96,0.96,0.97,0.97,1.00,0.95,0.85,0.55,0.53,0.85,0.85,0.86,0.86,0.86,0.86,0.84,0.85,0.87,0.89,0.89,0.96,0.97,0.86,0.96,0.85,0.95,0.87,0.93,0.54,0.63,1.00,0.85,0.77,0.95,0.95,0.79,0.77,0.83,0.51,0.51,0.88,0.89,0.81,0.81,0.86,0.86,0.80,0.55,0.86,0.90,0.50,0.50,0.89,0.81,0.50,0.81,0.56,0.56,0.55,0.79,0.82,0.81,0.60,0.48,0.71,0.70,0.69,0.61,0.71,0.57,0.57,0.79,0.56,0.58,0.67,0.57,0.55,0.57,0.55,0.80,0.56,0.46,0.58,0.51,0.52,0.55,0.55,0.49,0.56,0.56,0.50,0.50,0.49,0.51,0.49
125-2,NaN,1.00,0.99,0.95,0.95,0.95,0.94,1.00,0.94,0.94,0.99,0.99,0.99,0.98,0.98,0.99,0.99,0.98,0.66,0.64,0.97,0.97,0.96,0.96,0.96,0.96,0.97,0.97,0.96,0.91,0.91,0.98,0.95,0.95,0.98,0.94,0.96,0.94,0.90,0.70,0.79,0.95,0.94,0.88,0.95,0.95,0.93,0.81,0.82,0.65,0.65,0.91,0.92,0.93,0.93,0.90,0.83,0.79,0.68,0.90,0.88,0.54,0.54,0.83,0.94,0.52,0.94,0.65,0.65,0.64,0.76,0.78,0.78,0.58,0.51,0.75,0.70,0.67,0.65,0.76,0.64,0.64,0.84,0.63,0.62,0.63,0.50,0.59,0.58,0.59,0.60,0.59,0.52,0.61,0.52,0.54,0.56,0.56,0.53,0.50,0.50,0.55,0.49,0.49,0.49,0.49
125-3,NaN,1.00,0.94,0.93,0.93,0.94,0.93,1.00,0.98,0.99,0.98,0.98,0.98,0.98,0.98,1.00,0.99,0.91,0.97,0.98,0.94,0.94,0.96,0.96,0.96,0.96,0.94,0.94,0.96,0.90,0.90,0.98,0.96,0.96,0.97,0.95,0.96,0.95,0.87,0.93,0.93,0.99,0.92,0.79,0.95,0.95,0.83,0.90,0.85,0.89,0.89,0.88,0.93,0.95,0.95,0.89,0.89,0.82,0.90,0.93,0.82,0.84,0.84,0.86,0.92,0.86,0.92,0.85,0.85,0.85,0.82,0.73,0.71,0.70,0.63,0.68,0.75,0.81,0.74,0.76,0.75,0.75,0.82,0.75,0.68,0.69,0.61,0.73,0.60,0.78,0.75,0.80,0.55,0.76,0.69,0.58,0.59,0.59,0.52,0.66,0.66,0.66,0.77,0.60,0.65,0.53
