ID-model,GO:0008150,GO:0044723,GO:0006139,GO:0005975,GO:0044281,GO:0009059,GO:0006725,GO:0046483,GO:0042221,GO:1901360,GO:0044710,GO:0051716,GO:1901576,GO:0009058,GO:0005976,GO:0034641,GO:0044249,GO:0018130,GO:0019438,GO:0006807,GO:1901362,GO:0044238,GO:0008152,GO:0071704,GO:0044763,GO:0050896,GO:0044699,GO:0044237,GO:0050789,GO:0044271,GO:0043170,GO:1901564,GO:0044260,GO:0065007,GO:1901566,GO:0006810,GO:0051234,GO:0051704,GO:0044765,GO:0009987,GO:0019538,GO:0006950,GO:0051179
65-1,NaN,0.83,0.70,0.71,0.56,0.79,0.63,0.64,0.56,0.64,0.50,0.59,0.61,0.60,0.76,0.58,0.55,0.59,0.58,0.55,0.59,0.58,0.54,0.55,0.55,0.62,0.59,0.54,0.71,0.52,0.57,0.47,0.59,0.70,0.49,0.78,0.78,0.62,0.80,0.49,0.54,0.46,0.66
65-2,NaN,0.83,0.70,0.75,0.59,0.78,0.64,0.65,0.58,0.65,0.53,0.59,0.61,0.61,0.79,0.56,0.56,0.60,0.55,0.54,0.61,0.60,0.55,0.56,0.53,0.63,0.58,0.55,0.70,0.54,0.60,0.49,0.62,0.69,0.53,0.82,0.82,0.58,0.82,0.49,0.57,0.49,0.68
65-3,NaN,0.84,0.69,0.71,0.55,0.79,0.62,0.63,0.54,0.63,0.49,0.58,0.59,0.59,0.76,0.56,0.53,0.56,0.55,0.54,0.56,0.59,0.54,0.54,0.52,0.62,0.57,0.54,0.71,0.49,0.58,0.46,0.60,0.71,0.45,0.79,0.79,0.60,0.80,0.49,0.52,0.49,0.66
68-1,NaN,0.83,0.73,0.82,0.83,0.84,0.66,0.65,0.66,0.66,0.62,0.60,0.81,0.86,0.87,0.61,0.81,0.78,0.78,0.60,0.82,0.59,0.53,0.56,0.59,0.57,0.60,0.50,0.52,0.81,0.62,0.78,0.53,0.53,0.80,0.87,0.87,0.43,0.88,0.49,0.75,0.70,0.81
68-2,NaN,0.85,0.74,0.84,0.84,0.85,0.60,0.59,0.61,0.60,0.68,0.63,0.76,0.83,0.93,0.55,0.78,0.76,0.76,0.56,0.78,0.64,0.55,0.56,0.61,0.64,0.61,0.52,0.53,0.74,0.65,0.77,0.59,0.53,0.75,0.81,0.80,0.47,0.84,0.53,0.84,0.68,0.72
69-1,NaN,0.93,0.76,0.91,0.86,0.85,0.69,0.67,0.68,0.68,0.82,0.57,0.70,0.78,0.91,0.60,0.78,0.66,0.66,0.63,0.66,0.72,0.70,0.66,0.63,0.74,0.72,0.74,0.76,0.58,0.71,0.69,0.68,0.76,0.73,0.97,0.97,0.47,0.97,0.57,0.65,0.71,0.86
69-2,NaN,0.92,0.74,0.92,0.83,0.83,0.68,0.66,0.72,0.67,0.80,0.57,0.71,0.79,0.81,0.59,0.79,0.65,0.65,0.61,0.65,0.72,0.68,0.68,0.60,0.75,0.69,0.68,0.75,0.60,0.69,0.63,0.69,0.75,0.70,0.99,0.97,0.43,0.96,0.52,0.68,0.71,0.86
70-1,NaN,0.87,0.51,0.83,0.78,0.77,0.68,0.73,0.66,0.68,0.64,0.60,0.73,0.70,0.80,0.63,0.71,0.66,0.68,0.62,0.63,0.59,0.68,0.68,0.50,0.53,0.52,0.63,0.59,0.64,0.64,0.47,0.72,0.58,0.40,0.65,0.66,0.51,0.54,0.53,0.60,0.53,0.62
70-2,NaN,0.62,0.67,0.59,0.80,0.59,0.69,0.66,0.57,0.64,0.63,0.49,0.68,0.70,0.49,0.57,0.63,0.64,0.55,0.58,0.64,0.56,0.64,0.65,0.55,0.53,0.54,0.65,0.53,0.62,0.54,0.56,0.60,0.53,0.52,0.68,0.68,0.60,0.52,0.58,0.52,0.48,0.66
70-3,NaN,0.49,0.55,0.53,0.61,0.66,0.56,0.57,0.61,0.53,0.60,0.49,0.64,0.63,0.48,0.43,0.51,0.57,0.57,0.46,0.57,0.56,0.64,0.61,0.50,0.52,0.58,0.59,0.54,0.51,0.56,0.51,0.56,0.64,0.57,0.58,0.58,0.55,0.58,0.56,0.53,0.33,0.65
72-1,NaN,0.70,0.64,0.67,0.70,0.77,0.67,0.65,0.54,0.67,0.68,0.55,0.71,0.81,0.70,0.60,0.83,0.67,0.68,0.64,0.67,0.66,0.69,0.61,0.61,0.60,0.73,0.70,0.71,0.61,0.67,0.70,0.60,0.71,0.70,0.89,0.89,0.49,0.89,0.67,0.67,0.59,0.86
72-2,NaN,0.50,0.53,0.50,0.57,0.53,0.50,0.50,0.54,0.50,0.57,0.55,0.50,0.50,0.50,0.50,0.51,0.49,0.49,0.51,0.49,0.54,0.60,0.53,0.60,0.61,0.57,0.62,0.67,0.49,0.57,0.52,0.54,0.67,0.50,0.53,0.53,0.49,0.50,0.59,0.63,0.59,0.52
73-1,NaN,0.95,0.76,0.90,0.81,0.89,0.68,0.63,0.60,0.64,0.68,0.63,0.68,0.81,0.89,0.59,0.77,0.53,0.49,0.59,0.52,0.69,0.63,0.68,0.54,0.67,0.64,0.65,0.68,0.52,0.70,0.59,0.71,0.68,0.57,0.93,0.93,0.49,0.94,0.52,0.72,0.67,0.77
73-2,NaN,0.82,0.78,0.78,0.77,0.89,0.70,0.64,0.61,0.65,0.64,0.65,0.70,0.82,0.89,0.61,0.78,0.53,0.49,0.60,0.52,0.67,0.63,0.66,0.54,0.68,0.64,0.63,0.68,0.52,0.70,0.59,0.71,0.69,0.57,0.93,0.93,0.49,0.94,0.50,0.74,0.67,0.78
73-3,NaN,0.79,0.72,0.75,0.72,0.87,0.64,0.63,0.62,0.63,0.63,0.70,0.62,0.65,0.93,0.59,0.62,0.62,0.62,0.54,0.61,0.65,0.54,0.59,0.55,0.60,0.59,0.56,0.68,0.56,0.71,0.58,0.64,0.67,0.59,0.85,0.85,0.55,0.86,0.56,0.77,0.58,0.77
74-1,NaN,0.78,0.65,0.76,0.72,0.76,0.57,0.57,0.62,0.56,0.73,0.57,0.67,0.70,0.80,0.55,0.63,0.52,0.52,0.51,0.51,0.62,0.56,0.61,0.57,0.59,0.64,0.58,0.71,0.52,0.66,0.57,0.58,0.71,0.57,0.88,0.88,0.52,0.84,0.51,0.68,0.52,0.79
74-2,NaN,0.80,0.74,0.88,0.74,0.81,0.73,0.71,0.64,0.72,0.75,0.53,0.77,0.83,0.79,0.64,0.79,0.63,0.64,0.66,0.63,0.74,0.71,0.66,0.54,0.59,0.75,0.69,0.63,0.58,0.73,0.65,0.70,0.63,0.68,0.93,0.93,0.46,0.95,0.53,0.69,0.55,0.84
75-1,NaN,0.93,0.76,0.92,0.86,0.92,0.69,0.67,0.69,0.68,0.83,0.57,0.73,0.81,0.93,0.60,0.79,0.70,0.69,0.63,0.70,0.72,0.70,0.66,0.63,0.75,0.73,0.74,0.78,0.61,0.74,0.71,0.68,0.79,0.75,0.97,0.98,0.47,0.97,0.56,0.65,0.71,0.86
75-2,NaN,0.93,0.76,0.93,0.86,0.93,0.68,0.67,0.72,0.68,0.83,0.57,0.74,0.82,0.94,0.59,0.80,0.68,0.69,0.61,0.68,0.72,0.68,0.67,0.60,0.74,0.69,0.68,0.78,0.63,0.74,0.68,0.68,0.77,0.73,0.99,0.97,0.45,0.98,0.51,0.68,0.69,0.86
79-1,NaN,0.86,0.72,0.84,0.89,0.84,0.75,0.73,0.76,0.74,0.76,0.64,0.73,0.75,0.79,0.71,0.69,0.66,0.67,0.71,0.66,0.69,0.73,0.71,0.44,0.70,0.46,0.71,0.68,0.64,0.67,0.74,0.63,0.66,0.69,0.70,0.73,0.52,0.70,0.59,0.60,0.64,0.70
79-2,NaN,0.74,0.71,0.70,0.76,0.77,0.76,0.74,0.73,0.75,0.72,0.69,0.69,0.69,0.70,0.68,0.66,0.71,0.72,0.69,0.71,0.64,0.70,0.64,0.48,0.59,0.45,0.69,0.52,0.65,0.64,0.68,0.64,0.51,0.64,0.57,0.57,0.55,0.57,0.63,0.56,0.57,0.54
79-3,NaN,0.91,0.83,0.89,0.93,0.87,0.75,0.73,0.71,0.74,0.80,0.65,0.76,0.89,0.85,0.68,0.83,0.70,0.69,0.67,0.68,0.76,0.73,0.69,0.45,0.63,0.56,0.74,0.79,0.66,0.75,0.68,0.71,0.82,0.67,0.89,0.97,0.58,0.84,0.60,0.77,0.57,0.90
80-1,NaN,0.87,0.70,0.83,0.71,0.86,0.62,0.63,0.62,0.61,0.74,0.57,0.72,0.74,0.90,0.57,0.68,0.52,0.52,0.56,0.51,0.66,0.59,0.65,0.57,0.58,0.66,0.62,0.71,0.52,0.72,0.57,0.65,0.71,0.57,0.88,0.88,0.51,0.88,0.53,0.68,0.51,0.79
80-2,NaN,0.85,0.75,0.88,0.76,0.91,0.73,0.70,0.64,0.71,0.78,0.52,0.78,0.83,0.90,0.63,0.78,0.62,0.62,0.64,0.62,0.73,0.72,0.64,0.60,0.61,0.76,0.69,0.68,0.56,0.74,0.68,0.65,0.68,0.68,0.93,0.93,0.50,0.96,0.54,0.69,0.54,0.84
81-1,NaN,0.74,0.59,0.70,0.65,0.79,0.62,0.61,0.63,0.62,0.70,0.61,0.67,0.79,0.75,0.53,0.79,0.65,0.65,0.59,0.65,0.66,0.67,0.59,0.58,0.59,0.77,0.67,0.70,0.57,0.63,0.70,0.59,0.70,0.69,0.98,0.98,0.47,0.94,0.60,0.62,0.53,0.91
81-2,NaN,0.74,0.59,0.70,0.65,0.79,0.62,0.61,0.63,0.62,0.70,0.61,0.67,0.79,0.75,0.53,0.79,0.65,0.65,0.59,0.65,0.66,0.67,0.59,0.58,0.59,0.77,0.67,0.70,0.57,0.63,0.70,0.59,0.70,0.69,0.98,0.98,0.47,0.94,0.61,0.62,0.53,0.92
82-1,NaN,0.81,0.72,0.79,0.78,0.68,0.67,0.63,0.66,0.65,0.71,0.43,0.72,0.70,0.65,0.61,0.62,0.68,0.69,0.62,0.68,0.64,0.59,0.64,0.55,0.65,0.59,0.58,0.51,0.63,0.53,0.64,0.58,0.60,0.62,0.76,0.76,0.61,0.76,0.54,0.53,0.57,0.68
83-1,NaN,0.90,0.61,0.92,0.78,0.87,0.67,0.64,0.78,0.66,0.72,0.73,0.73,0.77,0.93,0.63,0.71,0.84,0.83,0.60,0.83,0.71,0.49,0.47,0.54,0.57,0.66,0.65,0.87,0.71,0.65,0.77,0.61,0.86,0.83,0.92,0.92,0.60,0.92,0.51,0.80,0.52,0.83
83-2,NaN,0.92,0.66,0.95,0.83,0.92,0.73,0.72,0.63,0.72,0.73,0.75,0.76,0.80,0.95,0.66,0.73,0.85,0.85,0.60,0.85,0.70,0.49,0.47,0.52,0.66,0.65,0.64,0.84,0.72,0.70,0.79,0.68,0.82,0.83,0.94,0.94,0.54,0.94,0.53,0.89,0.58,0.87
84-1,NaN,0.48,0.65,0.47,0.76,0.39,0.56,0.58,0.57,0.56,0.70,0.86,0.50,0.53,0.42,0.54,0.65,0.78,0.78,0.55,0.78,0.52,0.47,0.46,0.68,0.68,0.67,0.55,0.52,0.74,0.47,0.57,0.62,0.52,0.56,0.94,0.94,0.31,0.95,0.60,0.70,0.64,0.86
85-1,NaN,0.88,0.87,0.86,0.85,0.73,0.74,0.83,0.78,0.83,0.70,0.61,0.70,0.70,0.70,0.65,0.69,0.65,0.65,0.62,0.64,0.79,0.72,0.75,0.57,0.66,0.66,0.74,0.57,0.58,0.70,0.58,0.73,0.56,0.55,0.84,0.84,0.68,0.84,0.56,0.72,0.65,0.79
85-2,NaN,0.88,0.87,0.86,0.85,0.73,0.74,0.83,0.78,0.83,0.70,0.61,0.70,0.70,0.70,0.65,0.69,0.65,0.65,0.62,0.64,0.79,0.72,0.75,0.57,0.66,0.66,0.74,0.57,0.58,0.70,0.58,0.73,0.56,0.55,0.84,0.84,0.68,0.84,0.56,0.72,0.65,0.79
86-1,NaN,0.57,0.58,0.62,0.60,0.58,0.56,0.54,0.46,0.54,0.60,0.47,0.47,0.45,0.55,0.53,0.43,0.45,0.45,0.51,0.45,0.53,0.53,0.56,0.50,0.58,0.51,0.49,0.59,0.44,0.58,0.56,0.55,0.58,0.57,0.69,0.68,0.50,0.71,0.50,0.59,0.54,0.60
86-2,NaN,0.57,0.58,0.62,0.60,0.58,0.56,0.54,0.46,0.54,0.60,0.47,0.47,0.45,0.55,0.53,0.43,0.45,0.45,0.51,0.45,0.53,0.53,0.56,0.50,0.58,0.51,0.49,0.59,0.44,0.58,0.56,0.55,0.58,0.57,0.69,0.68,0.50,0.71,0.50,0.59,0.54,0.60
86-3,NaN,0.57,0.65,0.55,0.61,0.56,0.61,0.59,0.47,0.61,0.63,0.45,0.58,0.58,0.55,0.59,0.59,0.58,0.58,0.59,0.58,0.59,0.63,0.62,0.44,0.50,0.48,0.61,0.58,0.57,0.62,0.59,0.62,0.57,0.58,0.58,0.58,0.51,0.60,0.51,0.58,0.53,0.52
87-1,NaN,0.77,0.69,0.75,0.72,0.84,0.67,0.65,0.64,0.67,0.80,0.61,0.73,0.85,0.80,0.62,0.84,0.65,0.65,0.66,0.65,0.70,0.70,0.64,0.68,0.57,0.77,0.72,0.73,0.66,0.70,0.71,0.63,0.73,0.69,0.96,0.96,0.54,0.96,0.62,0.71,0.56,0.91
87-2,NaN,0.77,0.68,0.75,0.72,0.82,0.66,0.65,0.63,0.66,0.79,0.61,0.73,0.86,0.80,0.62,0.84,0.65,0.65,0.66,0.65,0.69,0.72,0.64,0.69,0.58,0.77,0.72,0.75,0.67,0.68,0.71,0.63,0.75,0.69,0.95,0.95,0.54,0.96,0.61,0.71,0.56,0.91
87-3,NaN,0.70,0.65,0.69,0.70,0.75,0.63,0.61,0.60,0.63,0.77,0.61,0.69,0.83,0.70,0.59,0.82,0.61,0.61,0.64,0.61,0.67,0.72,0.63,0.67,0.57,0.76,0.71,0.74,0.63,0.65,0.68,0.62,0.74,0.66,0.96,0.96,0.51,0.96,0.62,0.71,0.52,0.91
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.81,0.61,0.87,0.75,0.93,0.69,0.69,0.66,0.69,0.69,0.68,0.73,0.74,0.92,0.66,0.72,0.87,0.81,0.69,0.81,0.63,0.67,0.68,0.67,0.55,0.69,0.65,0.69,0.78,0.67,0.74,0.59,0.66,0.76,0.93,0.93,0.56,0.93,0.60,0.65,0.53,0.88
93-2,NaN,0.78,0.57,0.83,0.69,0.82,0.59,0.60,0.62,0.58,0.61,0.57,0.64,0.64,0.89,0.59,0.64,0.83,0.75,0.57,0.75,0.56,0.55,0.58,0.57,0.55,0.58,0.56,0.59,0.73,0.58,0.68,0.56,0.57,0.67,0.84,0.84,0.46,0.84,0.55,0.65,0.51,0.79
94-1,NaN,0.82,0.69,0.80,0.84,0.87,0.69,0.67,0.65,0.68,0.80,0.55,0.75,0.84,0.85,0.61,0.82,0.69,0.69,0.62,0.68,0.76,0.70,0.68,0.61,0.67,0.77,0.68,0.75,0.62,0.76,0.71,0.71,0.75,0.72,0.95,0.95,0.46,0.96,0.60,0.78,0.61,0.88
95-1,NaN,0.86,0.68,0.81,0.83,0.83,0.61,0.60,0.66,0.61,0.66,0.63,0.80,0.86,0.88,0.56,0.81,0.79,0.76,0.57,0.82,0.58,0.54,0.55,0.54,0.56,0.57,0.50,0.57,0.81,0.58,0.78,0.49,0.56,0.80,0.86,0.85,0.44,0.86,0.49,0.81,0.67,0.79
95-2,NaN,0.82,0.78,0.83,0.85,0.85,0.63,0.62,0.68,0.63,0.70,0.67,0.73,0.81,0.89,0.58,0.76,0.73,0.76,0.59,0.79,0.66,0.56,0.59,0.60,0.61,0.60,0.54,0.52,0.75,0.65,0.73,0.61,0.51,0.73,0.83,0.83,0.45,0.84,0.54,0.84,0.65,0.75
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.41,0.38,0.42,0.55,0.32,0.30,0.30,0.53,0.29,0.52,0.34,0.29,0.29,0.31,0.29,0.33,0.24,0.24,0.30,0.24,0.40,0.36,0.32,0.45,0.64,0.59,0.38,0.35,0.24,0.38,0.32,0.46,0.34,0.30,0.93,0.93,0.38,0.91,0.40,0.51,0.67,0.77
99-1,NaN,0.94,0.74,0.89,0.80,0.84,0.64,0.62,0.80,0.63,0.73,0.64,0.65,0.65,0.79,0.54,0.59,0.58,0.58,0.53,0.57,0.67,0.67,0.61,0.58,0.70,0.59,0.61,0.65,0.52,0.62,0.53,0.61,0.61,0.56,0.66,0.66,0.70,0.62,0.57,0.54,0.67,0.56
