ID-model,GO:0005575,GO:0044463,GO:0015630,GO:0042995,GO:0044430,GO:0005856,GO:0044459,GO:0043228,GO:0043232,GO:0005783,GO:0005730,GO:0031981,GO:0043234,GO:0070013,GO:0043233,GO:0031974,GO:0005576,GO:0032991,GO:0044421,GO:0044428,GO:0005634,GO:0005829,GO:0005739,GO:0005615,GO:0044425,GO:0005886,GO:0044444,GO:0043230,GO:0065010,GO:0016021,GO:0070062,GO:0005737,GO:0031982,GO:0071944,GO:0044432,GO:0016020,GO:0044446,GO:0031988,GO:0031224,GO:0043226,GO:0044422,GO:0043227,GO:0031090,GO:0043229,GO:0044424,GO:0005622,GO:0012505,GO:0043231,GO:0005794,GO:0005623,GO:0044464,GO:0031975
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.57,0.43,0.57,0.59,0.62,0.59,0.58,0.58,0.64,0.52,0.58,0.57,0.57,0.57,0.56,0.52,0.56,0.52,0.56,0.55,0.48,0.53,0.51,0.58,0.60,0.55,0.53,0.53,0.54,0.53,0.54,0.52,0.59,0.54,0.55,0.53,0.51,0.51,0.50,0.52,0.48,0.55,0.52,0.53,0.53,0.49,0.50,0.57,0.53,0.53,0.45
129-1,NaN,0.83,0.83,0.77,0.76,0.74,0.69,0.73,0.73,0.75,0.77,0.76,0.62,0.76,0.76,0.76,0.65,0.66,0.64,0.70,0.70,0.68,0.60,0.61,0.65,0.69,0.62,0.54,0.54,0.58,0.54,0.59,0.55,0.66,0.64,0.63,0.61,0.55,0.57,0.56,0.60,0.55,0.59,0.61,0.59,0.59,0.59,0.60,0.66,0.48,0.48,0.42
129-2,NaN,0.50,0.59,0.45,0.48,0.50,0.40,0.60,0.60,0.53,0.68,0.64,0.52,0.62,0.62,0.63,0.52,0.54,0.53,0.61,0.58,0.47,0.45,0.50,0.46,0.42,0.48,0.52,0.52,0.48,0.52,0.50,0.52,0.41,0.57,0.55,0.53,0.52,0.48,0.52,0.53,0.52,0.51,0.53,0.51,0.51,0.42,0.53,0.51,0.44,0.44,0.46
129-3,NaN,0.84,0.83,0.77,0.76,0.74,0.69,0.74,0.74,0.75,0.78,0.77,0.62,0.77,0.77,0.77,0.66,0.66,0.64,0.71,0.70,0.68,0.60,0.61,0.66,0.69,0.62,0.54,0.54,0.57,0.55,0.59,0.56,0.66,0.63,0.63,0.61,0.55,0.57,0.56,0.61,0.55,0.59,0.62,0.59,0.59,0.58,0.60,0.66,0.47,0.48,0.43
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.54,0.58,0.56,0.56,0.59,0.55,0.61,0.61,0.62,0.66,0.63,0.56,0.61,0.61,0.61,0.58,0.54,0.52,0.61,0.66,0.49,0.70,0.50,0.64,0.61,0.63,0.50,0.50,0.69,0.50,0.62,0.50,0.60,0.53,0.61,0.60,0.50,0.63,0.57,0.60,0.56,0.65,0.63,0.63,0.63,0.57,0.64,0.62,0.58,0.58,0.59
131-2,NaN,0.54,0.58,0.53,0.56,0.59,0.55,0.63,0.63,0.67,0.72,0.66,0.56,0.64,0.64,0.64,0.59,0.54,0.52,0.66,0.67,0.49,0.73,0.50,0.63,0.63,0.67,0.50,0.50,0.70,0.50,0.66,0.50,0.61,0.57,0.65,0.63,0.50,0.64,0.57,0.62,0.56,0.68,0.65,0.65,0.64,0.61,0.66,0.62,0.59,0.59,0.59
131-3,NaN,0.62,0.70,0.68,0.66,0.66,0.63,0.70,0.70,0.68,0.76,0.71,0.61,0.66,0.66,0.66,0.59,0.61,0.54,0.67,0.69,0.46,0.71,0.53,0.64,0.65,0.58,0.50,0.50,0.65,0.50,0.62,0.49,0.64,0.57,0.61,0.66,0.49,0.62,0.60,0.66,0.59,0.69,0.66,0.66,0.66,0.60,0.66,0.72,0.59,0.59,0.58
132-1,NaN,0.74,0.70,0.72,0.77,0.72,0.77,0.73,0.73,0.62,0.83,0.81,0.70,0.80,0.79,0.79,0.57,0.65,0.56,0.72,0.66,0.62,0.76,0.53,0.61,0.70,0.65,0.50,0.50,0.57,0.50,0.58,0.50,0.73,0.67,0.59,0.62,0.51,0.59,0.58,0.60,0.55,0.53,0.64,0.62,0.62,0.59,0.63,0.62,0.57,0.57,0.61
132-2,NaN,0.74,0.70,0.72,0.77,0.72,0.77,0.72,0.72,0.62,0.82,0.79,0.70,0.78,0.78,0.79,0.57,0.66,0.56,0.70,0.65,0.63,0.76,0.53,0.62,0.69,0.65,0.50,0.50,0.57,0.50,0.59,0.50,0.72,0.67,0.59,0.61,0.51,0.59,0.58,0.59,0.54,0.53,0.63,0.61,0.61,0.59,0.62,0.62,0.56,0.56,0.61
65-1,NaN,0.69,0.58,0.65,0.59,0.65,0.65,0.57,0.57,0.56,0.48,0.58,0.59,0.61,0.61,0.61,0.56,0.60,0.57,0.55,0.55,0.56,0.30,0.46,0.59,0.63,0.50,0.54,0.53,0.60,0.53,0.50,0.56,0.65,0.65,0.53,0.53,0.56,0.62,0.54,0.53,0.54,0.50,0.51,0.51,0.51,0.46,0.50,0.53,0.50,0.50,0.39
65-2,NaN,0.61,0.56,0.64,0.59,0.65,0.65,0.55,0.55,0.59,0.51,0.63,0.60,0.64,0.64,0.64,0.58,0.62,0.59,0.58,0.59,0.62,0.43,0.50,0.61,0.65,0.50,0.53,0.52,0.64,0.52,0.50,0.57,0.67,0.60,0.54,0.53,0.57,0.62,0.54,0.53,0.53,0.55,0.51,0.51,0.51,0.48,0.51,0.54,0.50,0.50,0.45
65-3,NaN,0.74,0.60,0.69,0.60,0.68,0.64,0.57,0.57,0.63,0.53,0.60,0.59,0.62,0.62,0.62,0.57,0.60,0.57,0.54,0.56,0.61,0.39,0.49,0.59,0.64,0.50,0.53,0.53,0.56,0.53,0.50,0.55,0.66,0.61,0.53,0.53,0.55,0.59,0.53,0.53,0.53,0.51,0.51,0.51,0.51,0.47,0.50,0.49,0.50,0.50,0.45
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.47,0.56,0.53,0.58,0.56,0.58,0.53,0.53,0.51,0.53,0.52,0.54,0.51,0.51,0.51,0.43,0.55,0.45,0.52,0.48,0.63,0.70,0.48,0.56,0.64,0.59,0.49,0.49,0.70,0.49,0.55,0.44,0.65,0.46,0.54,0.50,0.45,0.66,0.42,0.51,0.42,0.48,0.51,0.53,0.53,0.64,0.50,0.49,0.63,0.63,0.62
69-2,NaN,0.70,0.83,0.67,0.78,0.76,0.72,0.70,0.70,0.71,0.69,0.70,0.77,0.68,0.68,0.68,0.65,0.75,0.62,0.63,0.72,0.70,0.64,0.68,0.66,0.64,0.67,0.54,0.54,0.66,0.55,0.62,0.53,0.64,0.58,0.63,0.60,0.54,0.62,0.63,0.58,0.61,0.55,0.66,0.64,0.65,0.57,0.67,0.59,0.57,0.57,0.56
70-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
70-2,NaN,0.77,0.78,0.81,0.70,0.71,0.77,0.76,0.77,0.68,0.82,0.81,0.60,0.78,0.78,0.79,0.58,0.61,0.58,0.72,0.71,0.67,0.74,0.53,0.63,0.71,0.65,0.50,0.50,0.52,0.50,0.60,0.55,0.69,0.64,0.62,0.67,0.55,0.54,0.60,0.65,0.59,0.58,0.67,0.64,0.64,0.58,0.67,0.72,0.56,0.56,0.53
70-3,NaN,0.76,0.77,0.77,0.60,0.75,0.71,0.75,0.73,0.65,0.51,0.75,0.54,0.71,0.71,0.71,0.60,0.62,0.57,0.72,0.70,0.71,0.57,0.51,0.63,0.66,0.64,0.50,0.50,0.62,0.50,0.61,0.54,0.65,0.65,0.58,0.64,0.52,0.59,0.55,0.63,0.55,0.52,0.63,0.60,0.60,0.55,0.64,0.66,0.56,0.56,0.61
72-1,NaN,0.54,0.54,0.52,0.52,0.57,0.65,0.65,0.65,0.65,0.80,0.75,0.53,0.72,0.72,0.72,0.56,0.52,0.52,0.72,0.66,0.60,0.76,0.51,0.59,0.67,0.66,0.50,0.50,0.70,0.50,0.64,0.49,0.65,0.53,0.66,0.62,0.49,0.64,0.56,0.61,0.54,0.62,0.63,0.63,0.63,0.59,0.62,0.59,0.52,0.52,0.60
72-2,NaN,0.50,0.54,0.50,0.50,0.54,0.65,0.65,0.65,0.65,0.80,0.73,0.51,0.70,0.70,0.70,0.56,0.51,0.52,0.69,0.66,0.60,0.76,0.51,0.60,0.68,0.66,0.50,0.50,0.70,0.50,0.64,0.49,0.65,0.53,0.65,0.61,0.49,0.65,0.55,0.60,0.55,0.60,0.63,0.63,0.63,0.55,0.62,0.60,0.51,0.51,0.55
73-1,NaN,0.68,0.79,0.65,0.70,0.71,0.62,0.65,0.65,0.71,0.71,0.71,0.67,0.67,0.67,0.67,0.61,0.65,0.59,0.66,0.65,0.61,0.75,0.67,0.59,0.66,0.63,0.55,0.55,0.64,0.55,0.62,0.52,0.63,0.59,0.60,0.59,0.52,0.62,0.57,0.60,0.56,0.66,0.59,0.60,0.57,0.55,0.59,0.75,0.53,0.53,0.50
73-2,NaN,0.71,0.79,0.66,0.70,0.71,0.62,0.64,0.64,0.71,0.68,0.70,0.65,0.66,0.66,0.65,0.62,0.64,0.59,0.64,0.65,0.62,0.76,0.69,0.59,0.65,0.63,0.54,0.54,0.64,0.54,0.63,0.53,0.63,0.63,0.60,0.59,0.52,0.63,0.57,0.59,0.56,0.67,0.59,0.59,0.56,0.55,0.59,0.75,0.52,0.52,0.50
73-3,NaN,0.70,0.75,0.71,0.69,0.66,0.62,0.62,0.62,0.64,0.52,0.63,0.59,0.62,0.62,0.61,0.58,0.57,0.58,0.59,0.56,0.52,0.66,0.48,0.56,0.55,0.56,0.55,0.55,0.52,0.50,0.54,0.51,0.60,0.56,0.56,0.58,0.51,0.57,0.53,0.56,0.52,0.62,0.54,0.52,0.52,0.55,0.53,0.65,0.51,0.51,0.36
74-1,NaN,0.62,0.66,0.64,0.68,0.65,0.69,0.58,0.58,0.61,0.54,0.54,0.51,0.52,0.52,0.52,0.58,0.53,0.54,0.54,0.60,0.47,0.72,0.54,0.68,0.68,0.59,0.50,0.50,0.72,0.50,0.54,0.51,0.69,0.60,0.59,0.60,0.52,0.69,0.56,0.59,0.56,0.69,0.58,0.55,0.56,0.57,0.58,0.60,0.55,0.55,0.63
74-2,NaN,0.65,0.69,0.71,0.68,0.68,0.58,0.65,0.65,0.77,0.59,0.65,0.68,0.65,0.65,0.65,0.64,0.68,0.61,0.61,0.71,0.52,0.70,0.61,0.69,0.61,0.66,0.50,0.50,0.74,0.50,0.61,0.50,0.60,0.65,0.66,0.65,0.50,0.68,0.58,0.65,0.56,0.65,0.64,0.62,0.62,0.69,0.66,0.71,0.53,0.52,0.64
75-1,NaN,0.47,0.56,0.53,0.58,0.56,0.58,0.53,0.53,0.51,0.53,0.53,0.54,0.51,0.51,0.51,0.43,0.55,0.45,0.53,0.48,0.63,0.70,0.48,0.56,0.64,0.59,0.49,0.49,0.70,0.49,0.55,0.44,0.65,0.46,0.54,0.50,0.45,0.66,0.42,0.51,0.42,0.48,0.51,0.53,0.53,0.64,0.50,0.49,0.63,0.63,0.62
75-2,NaN,0.70,0.86,0.67,0.79,0.77,0.72,0.73,0.73,0.80,0.76,0.74,0.78,0.72,0.72,0.72,0.65,0.76,0.62,0.68,0.76,0.69,0.76,0.67,0.73,0.71,0.76,0.54,0.54,0.82,0.55,0.66,0.53,0.70,0.64,0.66,0.68,0.54,0.74,0.66,0.67,0.64,0.76,0.71,0.66,0.66,0.64,0.72,0.71,0.58,0.58,0.61
79-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
79-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
79-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
80-1,NaN,0.62,0.66,0.64,0.68,0.65,0.69,0.59,0.59,0.61,0.54,0.54,0.50,0.52,0.51,0.51,0.58,0.52,0.54,0.55,0.60,0.47,0.72,0.54,0.67,0.69,0.62,0.50,0.50,0.72,0.50,0.57,0.51,0.69,0.60,0.59,0.60,0.52,0.70,0.56,0.60,0.56,0.72,0.59,0.57,0.57,0.58,0.59,0.63,0.57,0.56,0.63
80-2,NaN,0.65,0.74,0.71,0.68,0.68,0.58,0.70,0.70,0.81,0.76,0.72,0.67,0.71,0.71,0.71,0.65,0.67,0.61,0.69,0.76,0.52,0.78,0.61,0.69,0.72,0.72,0.50,0.50,0.76,0.50,0.66,0.49,0.70,0.69,0.67,0.71,0.49,0.69,0.61,0.71,0.58,0.76,0.69,0.66,0.66,0.70,0.71,0.77,0.57,0.57,0.70
81-1,NaN,0.53,0.50,0.51,0.56,0.58,0.58,0.55,0.55,0.59,0.50,0.54,0.57,0.53,0.53,0.53,0.60,0.56,0.57,0.59,0.66,0.50,0.75,0.54,0.63,0.58,0.62,0.50,0.50,0.54,0.50,0.59,0.51,0.58,0.57,0.58,0.59,0.51,0.60,0.56,0.60,0.56,0.56,0.63,0.63,0.64,0.54,0.65,0.57,0.62,0.62,0.55
81-2,NaN,0.53,0.50,0.51,0.56,0.58,0.58,0.55,0.55,0.59,0.50,0.54,0.57,0.53,0.53,0.53,0.60,0.56,0.57,0.59,0.66,0.50,0.75,0.54,0.63,0.58,0.63,0.50,0.50,0.54,0.50,0.59,0.51,0.58,0.57,0.58,0.59,0.51,0.60,0.56,0.60,0.56,0.56,0.63,0.64,0.64,0.54,0.65,0.57,0.62,0.62,0.55
82-1,NaN,0.50,0.54,0.50,0.57,0.56,0.55,0.58,0.58,0.60,0.67,0.63,0.59,0.62,0.62,0.62,0.50,0.56,0.50,0.62,0.59,0.56,0.52,0.51,0.61,0.65,0.51,0.50,0.50,0.53,0.50,0.52,0.51,0.62,0.57,0.59,0.59,0.51,0.56,0.52,0.59,0.52,0.54,0.52,0.50,0.51,0.51,0.52,0.55,0.49,0.49,0.50
83-1,NaN,0.79,0.72,0.74,0.73,0.73,0.71,0.75,0.74,0.82,0.78,0.74,0.64,0.69,0.68,0.68,0.63,0.65,0.63,0.72,0.72,0.59,0.83,0.60,0.70,0.66,0.52,0.56,0.56,0.74,0.55,0.47,0.58,0.69,0.78,0.63,0.66,0.58,0.71,0.57,0.64,0.56,0.74,0.53,0.49,0.49,0.67,0.53,0.78,0.47,0.46,0.78
83-2,NaN,0.80,0.72,0.75,0.74,0.74,0.68,0.75,0.74,0.82,0.78,0.75,0.63,0.70,0.69,0.69,0.63,0.64,0.63,0.73,0.73,0.59,0.83,0.60,0.70,0.66,0.52,0.56,0.56,0.74,0.55,0.47,0.60,0.66,0.78,0.63,0.66,0.59,0.71,0.58,0.63,0.56,0.74,0.54,0.49,0.49,0.67,0.53,0.78,0.46,0.44,0.73
84-1,NaN,0.56,0.53,0.62,0.45,0.55,0.85,0.57,0.57,0.54,0.65,0.65,0.48,0.63,0.63,0.63,0.46,0.50,0.49,0.64,0.56,0.57,0.63,0.49,0.67,0.66,0.57,0.50,0.50,0.71,0.50,0.55,0.46,0.69,0.51,0.55,0.57,0.46,0.66,0.50,0.56,0.54,0.56,0.54,0.54,0.54,0.75,0.57,0.57,0.58,0.58,0.64
85-1,NaN,0.75,0.81,0.77,0.81,0.78,0.65,0.69,0.69,0.72,0.65,0.72,0.71,0.71,0.70,0.70,0.65,0.69,0.65,0.70,0.70,0.68,0.59,0.56,0.66,0.66,0.62,0.54,0.54,0.59,0.54,0.58,0.57,0.63,0.56,0.61,0.66,0.57,0.59,0.59,0.65,0.57,0.59,0.60,0.60,0.60,0.60,0.58,0.59,0.47,0.47,0.53
85-2,NaN,0.83,0.76,0.71,0.78,0.73,0.63,0.68,0.68,0.72,0.66,0.73,0.66,0.71,0.72,0.72,0.68,0.64,0.67,0.72,0.68,0.56,0.57,0.61,0.63,0.60,0.60,0.54,0.54,0.46,0.53,0.53,0.62,0.55,0.65,0.57,0.64,0.62,0.48,0.62,0.63,0.60,0.57,0.57,0.60,0.59,0.54,0.57,0.62,0.46,0.46,0.54
86-1,NaN,0.52,0.56,0.53,0.63,0.59,0.56,0.58,0.58,0.61,0.56,0.57,0.58,0.56,0.56,0.56,0.54,0.60,0.53,0.58,0.68,0.53,0.57,0.50,0.58,0.57,0.58,0.50,0.50,0.56,0.50,0.55,0.52,0.57,0.53,0.58,0.52,0.51,0.54,0.50,0.52,0.48,0.50,0.59,0.55,0.55,0.54,0.62,0.61,0.52,0.52,0.48
86-2,NaN,0.52,0.56,0.53,0.63,0.59,0.56,0.58,0.58,0.61,0.56,0.57,0.58,0.56,0.56,0.56,0.54,0.60,0.53,0.58,0.68,0.53,0.57,0.50,0.58,0.57,0.58,0.50,0.50,0.56,0.50,0.55,0.52,0.57,0.53,0.58,0.52,0.51,0.54,0.50,0.52,0.48,0.50,0.59,0.55,0.55,0.54,0.62,0.61,0.52,0.52,0.48
86-3,NaN,0.53,0.47,0.53,0.61,0.57,0.56,0.57,0.57,0.62,0.56,0.58,0.57,0.56,0.56,0.56,0.53,0.57,0.52,0.54,0.65,0.51,0.57,0.50,0.56,0.55,0.58,0.50,0.50,0.58,0.50,0.55,0.51,0.55,0.53,0.56,0.53,0.51,0.56,0.52,0.52,0.50,0.51,0.62,0.59,0.59,0.54,0.62,0.58,0.56,0.56,0.48
87-1,NaN,0.67,0.67,0.64,0.66,0.64,0.67,0.66,0.66,0.70,0.71,0.65,0.64,0.62,0.62,0.62,0.59,0.62,0.53,0.65,0.66,0.58,0.62,0.50,0.70,0.71,0.63,0.50,0.50,0.74,0.50,0.59,0.52,0.67,0.64,0.67,0.65,0.51,0.72,0.58,0.64,0.56,0.74,0.60,0.58,0.58,0.59,0.61,0.60,0.50,0.50,0.58
87-2,NaN,0.67,0.66,0.64,0.62,0.60,0.67,0.64,0.64,0.69,0.71,0.65,0.64,0.62,0.62,0.62,0.59,0.62,0.53,0.65,0.66,0.58,0.62,0.50,0.72,0.71,0.63,0.50,0.50,0.74,0.50,0.60,0.52,0.68,0.63,0.68,0.65,0.51,0.71,0.57,0.64,0.56,0.74,0.60,0.58,0.58,0.59,0.60,0.60,0.50,0.50,0.58
87-3,NaN,0.63,0.63,0.62,0.63,0.63,0.68,0.64,0.64,0.60,0.69,0.64,0.66,0.62,0.62,0.62,0.57,0.63,0.52,0.64,0.63,0.54,0.64,0.50,0.67,0.66,0.60,0.50,0.50,0.73,0.50,0.59,0.51,0.64,0.53,0.63,0.63,0.51,0.72,0.56,0.62,0.55,0.67,0.60,0.57,0.57,0.60,0.60,0.57,0.52,0.52,0.49
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.41,0.58,0.41,0.53,0.55,0.42,0.55,0.55,0.51,0.57,0.60,0.50,0.60,0.60,0.60,0.50,0.49,0.50,0.56,0.57,0.54,0.52,0.50,0.46,0.47,0.52,0.50,0.50,0.49,0.50,0.53,0.50,0.46,0.49,0.51,0.52,0.50,0.49,0.53,0.52,0.53,0.50,0.56,0.56,0.56,0.45,0.56,0.49,0.53,0.53,0.46
91-2,NaN,0.50,0.58,0.50,0.52,0.55,0.49,0.56,0.56,0.51,0.57,0.60,0.50,0.60,0.60,0.60,0.50,0.49,0.50,0.56,0.57,0.51,0.52,0.50,0.50,0.50,0.52,0.50,0.50,0.49,0.50,0.51,0.50,0.49,0.49,0.50,0.52,0.50,0.49,0.53,0.52,0.53,0.50,0.56,0.55,0.55,0.48,0.56,0.49,0.53,0.53,0.49
91-3,NaN,0.41,0.48,0.41,0.47,0.53,0.41,0.54,0.54,0.54,0.57,0.57,0.52,0.57,0.57,0.57,0.51,0.52,0.51,0.56,0.53,0.47,0.50,0.51,0.47,0.47,0.52,0.50,0.50,0.47,0.50,0.53,0.51,0.47,0.55,0.51,0.52,0.51,0.46,0.53,0.52,0.53,0.49,0.54,0.56,0.56,0.45,0.54,0.47,0.53,0.53,0.46
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.67,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.58,0.57,0.50,0.50,0.50,0.75,0.50,0.50,0.50,0.57,0.50,0.53,0.49,0.50,0.70,0.47,0.49,0.48,0.49,0.49,0.49,0.49,0.49,0.50,0.50,0.52,0.52,0.54
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.67,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.54,0.50,0.50,0.58,0.57,0.50,0.50,0.50,0.74,0.50,0.50,0.50,0.57,0.50,0.53,0.49,0.50,0.70,0.47,0.49,0.47,0.49,0.48,0.49,0.49,0.49,0.50,0.50,0.52,0.52,0.54
94-1,NaN,0.67,0.74,0.70,0.77,0.75,0.57,0.72,0.72,0.67,0.75,0.73,0.64,0.71,0.71,0.71,0.60,0.61,0.55,0.71,0.72,0.51,0.74,0.51,0.67,0.66,0.67,0.51,0.51,0.81,0.51,0.66,0.53,0.63,0.60,0.65,0.64,0.53,0.74,0.58,0.64,0.57,0.68,0.65,0.64,0.63,0.62,0.66,0.69,0.56,0.56,0.58
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.45,0.54,0.47,0.49,0.48,0.43,0.47,0.47,0.48,0.51,0.43,0.50,0.46,0.45,0.45,0.56,0.48,0.55,0.48,0.50,0.39,0.31,0.54,0.43,0.43,0.41,0.50,0.50,0.43,0.50,0.42,0.50,0.42,0.49,0.47,0.49,0.50,0.45,0.66,0.49,0.65,0.54,0.50,0.45,0.45,0.44,0.50,0.48,0.32,0.32,0.44
