ID-model,GO:0005575,GO:0044456,GO:0045202,GO:0031981,GO:0070013,GO:0031974,GO:0043233,GO:0044430,GO:0005929,GO:0031226,GO:0044428,GO:0005887,GO:0009986,GO:0097458,GO:0044463,GO:0015629,GO:0015630,GO:0000228,GO:0005739,GO:0044454,GO:0042995,GO:0044427,GO:0005856,GO:0044459,GO:0005694,GO:0031410,GO:0016023,GO:0000790,GO:0030424,GO:0048471,GO:0005783,GO:0000785,GO:0005912,GO:0043228,GO:0043232,GO:0030141,GO:0005634,GO:0005829,GO:0016021,GO:0043234,GO:0043005,GO:0070161,GO:0032991,GO:0005730,GO:0031224,GO:0044422,GO:0005576,GO:0005794,GO:0044446,GO:0005886,GO:0044425,GO:0030054,GO:0005911,GO:0044421,GO:0005615,GO:0030055,GO:0071944,GO:0043231,GO:0043229,GO:0044444,GO:0044424,GO:0005622,GO:0043226,GO:0005925,GO:0005789,GO:0005924,GO:0042175,GO:0043227,GO:0005768,GO:0031988,GO:0031982,GO:0031967,GO:0005737,GO:0044432,GO:0065010,GO:0043230,GO:0070062,GO:0016020,GO:0005635,GO:0044464,GO:0005623,GO:0031975,GO:0031090,GO:0012505,GO:0005654
113-2,NaN,0.59,0.61,0.70,0.68,0.66,0.67,0.57,0.71,0.57,0.66,0.61,0.57,0.53,0.58,0.66,0.59,0.72,0.76,0.70,0.59,0.76,0.55,0.66,0.76,0.59,0.58,0.57,0.52,0.48,0.57,0.72,0.65,0.61,0.61,0.63,0.61,0.52,0.65,0.52,0.49,0.62,0.51,0.78,0.59,0.54,0.59,0.55,0.55,0.59,0.58,0.64,0.63,0.58,0.55,0.67,0.58,0.57,0.56,0.56,0.54,0.54,0.55,0.62,0.64,0.65,0.63,0.57,0.71,0.57,0.58,0.53,0.54,0.63,0.53,0.53,0.52,0.54,0.61,0.50,0.50,0.58,0.58,0.50,0.64
113-3,NaN,0.64,0.83,0.65,0.63,0.64,0.63,0.74,0.77,0.74,0.63,0.71,0.61,0.70,0.73,0.68,0.72,0.60,0.57,0.61,0.74,0.64,0.67,0.73,0.64,0.57,0.58,0.62,0.67,0.54,0.56,0.64,0.52,0.60,0.60,0.62,0.53,0.70,0.64,0.61,0.78,0.52,0.63,0.52,0.65,0.63,0.45,0.51,0.63,0.70,0.64,0.55,0.70,0.46,0.53,0.52,0.69,0.54,0.57,0.59,0.60,0.60,0.41,0.49,0.51,0.52,0.51,0.39,0.52,0.42,0.42,0.57,0.57,0.49,0.48,0.48,0.48,0.55,0.56,0.66,0.67,0.59,0.50,0.61,0.77
114-1,NaN,0.91,0.86,0.79,0.74,0.74,0.74,0.85,0.66,0.78,0.79,0.81,0.67,0.76,0.72,0.77,0.85,0.61,0.85,0.59,0.71,0.72,0.80,0.72,0.71,0.80,0.77,0.60,0.57,0.52,0.86,0.64,0.59,0.76,0.76,0.66,0.79,0.73,0.79,0.77,0.66,0.58,0.73,0.77,0.78,0.71,0.64,0.75,0.71,0.77,0.70,0.65,0.70,0.61,0.63,0.61,0.76,0.71,0.70,0.73,0.68,0.67,0.63,0.61,0.72,0.61,0.72,0.60,0.80,0.58,0.58,0.80,0.67,0.74,0.50,0.50,0.50,0.67,0.78,0.59,0.59,0.78,0.75,0.69,0.61
115-1,NaN,0.85,0.85,0.82,0.80,0.79,0.80,0.83,0.71,0.69,0.78,0.69,0.71,0.72,0.66,0.79,0.83,0.84,0.88,0.80,0.69,0.80,0.80,0.68,0.80,0.76,0.74,0.81,0.66,0.54,0.80,0.82,0.68,0.77,0.77,0.64,0.80,0.65,0.81,0.76,0.63,0.66,0.73,0.76,0.75,0.74,0.63,0.77,0.74,0.75,0.72,0.64,0.68,0.61,0.67,0.66,0.74,0.74,0.73,0.74,0.68,0.67,0.66,0.66,0.71,0.66,0.71,0.64,0.76,0.56,0.56,0.55,0.66,0.67,0.53,0.53,0.52,0.67,0.59,0.58,0.58,0.58,0.71,0.68,0.91
116-1,NaN,0.57,0.66,0.54,0.55,0.54,0.55,0.75,0.65,0.50,0.56,0.50,0.50,0.57,0.59,0.58,0.73,0.50,0.76,0.50,0.59,0.64,0.69,0.54,0.64,0.52,0.52,0.50,0.60,0.50,0.61,0.62,0.50,0.64,0.64,0.50,0.65,0.50,0.62,0.63,0.58,0.50,0.62,0.61,0.60,0.69,0.56,0.58,0.69,0.56,0.63,0.55,0.60,0.52,0.52,0.50,0.56,0.64,0.64,0.60,0.61,0.61,0.60,0.50,0.58,0.50,0.58,0.59,0.59,0.51,0.51,0.64,0.57,0.61,0.50,0.50,0.50,0.60,0.62,0.56,0.56,0.65,0.65,0.59,0.51
116-2,NaN,0.52,0.56,0.52,0.51,0.51,0.51,0.65,0.53,0.50,0.52,0.50,0.50,0.52,0.50,0.54,0.63,0.50,0.71,0.50,0.52,0.64,0.62,0.54,0.64,0.50,0.50,0.50,0.55,0.50,0.57,0.62,0.50,0.59,0.59,0.50,0.56,0.50,0.46,0.55,0.53,0.50,0.54,0.52,0.45,0.64,0.55,0.56,0.65,0.56,0.55,0.53,0.60,0.52,0.51,0.50,0.56,0.57,0.61,0.58,0.58,0.59,0.58,0.50,0.54,0.50,0.54,0.54,0.56,0.50,0.50,0.53,0.55,0.53,0.50,0.50,0.50,0.55,0.50,0.55,0.55,0.56,0.63,0.57,0.51
117-1,NaN,0.92,0.87,0.80,0.76,0.75,0.75,0.75,0.89,0.72,0.73,0.68,0.76,0.77,0.75,0.80,0.69,0.80,0.77,0.80,0.78,0.82,0.71,0.76,0.80,0.74,0.75,0.83,0.71,0.74,0.70,0.81,0.63,0.69,0.69,0.76,0.70,0.66,0.65,0.66,0.72,0.61,0.66,0.70,0.64,0.66,0.64,0.69,0.66,0.72,0.68,0.66,0.60,0.62,0.59,0.57,0.70,0.66,0.66,0.68,0.65,0.65,0.57,0.61,0.69,0.60,0.68,0.55,0.65,0.56,0.56,0.44,0.62,0.71,0.59,0.59,0.57,0.62,0.47,0.60,0.60,0.45,0.53,0.49,0.89
117-2,NaN,0.57,0.58,0.52,0.52,0.52,0.52,0.51,0.56,0.50,0.53,0.50,0.50,0.50,0.52,0.50,0.52,0.50,0.55,0.50,0.54,0.54,0.51,0.54,0.54,0.55,0.55,0.50,0.50,0.50,0.53,0.55,0.50,0.53,0.53,0.50,0.52,0.50,0.52,0.53,0.50,0.50,0.53,0.54,0.52,0.56,0.50,0.50,0.56,0.53,0.54,0.53,0.60,0.50,0.50,0.50,0.55,0.52,0.54,0.52,0.53,0.53,0.53,0.50,0.50,0.50,0.50,0.51,0.53,0.50,0.50,0.57,0.51,0.50,0.50,0.50,0.50,0.51,0.58,0.52,0.52,0.56,0.49,0.54,0.53
119-1,NaN,0.93,0.90,0.84,0.83,0.82,0.82,0.76,0.87,0.69,0.82,0.68,0.71,0.72,0.80,0.70,0.80,0.78,0.81,0.77,0.81,0.79,0.71,0.72,0.78,0.67,0.69,0.77,0.79,0.69,0.83,0.79,0.58,0.72,0.72,0.65,0.73,0.69,0.75,0.69,0.67,0.57,0.68,0.74,0.75,0.71,0.64,0.77,0.71,0.72,0.73,0.58,0.65,0.61,0.59,0.59,0.70,0.66,0.66,0.69,0.65,0.65,0.61,0.60,0.64,0.60,0.64,0.60,0.82,0.57,0.58,0.66,0.63,0.72,0.53,0.53,0.52,0.64,0.66,0.58,0.58,0.66,0.71,0.66,0.87
120-1,NaN,0.91,0.92,0.91,0.87,0.86,0.87,0.85,0.85,0.84,0.86,0.85,0.80,0.77,0.72,0.82,0.83,0.87,0.89,0.88,0.78,0.85,0.81,0.79,0.84,0.77,0.77,0.89,0.70,0.66,0.85,0.82,0.74,0.79,0.79,0.75,0.80,0.71,0.82,0.80,0.73,0.68,0.75,0.90,0.80,0.72,0.70,0.75,0.71,0.78,0.73,0.60,0.62,0.68,0.68,0.78,0.76,0.72,0.71,0.71,0.67,0.67,0.64,0.79,0.79,0.78,0.79,0.62,0.76,0.61,0.61,0.62,0.65,0.82,0.57,0.57,0.57,0.67,0.60,0.58,0.58,0.66,0.75,0.74,0.91
120-2,NaN,0.59,0.71,0.83,0.80,0.79,0.80,0.64,0.59,0.73,0.79,0.73,0.64,0.50,0.53,0.62,0.72,0.60,0.86,0.50,0.64,0.50,0.74,0.69,0.61,0.72,0.72,0.50,0.50,0.50,0.81,0.50,0.54,0.69,0.69,0.50,0.76,0.75,0.80,0.69,0.50,0.53,0.66,0.72,0.79,0.60,0.61,0.60,0.62,0.71,0.70,0.60,0.60,0.56,0.63,0.50,0.70,0.68,0.67,0.69,0.66,0.66,0.60,0.50,0.73,0.50,0.79,0.59,0.70,0.54,0.54,0.66,0.61,0.78,0.50,0.50,0.50,0.66,0.62,0.54,0.54,0.63,0.77,0.73,0.83
120-3,NaN,0.50,0.50,0.79,0.77,0.76,0.77,0.51,0.50,0.60,0.74,0.62,0.59,0.50,0.50,0.50,0.52,0.65,0.83,0.50,0.50,0.50,0.57,0.62,0.61,0.52,0.52,0.50,0.50,0.50,0.76,0.50,0.50,0.58,0.58,0.50,0.74,0.62,0.73,0.71,0.50,0.50,0.69,0.68,0.71,0.62,0.58,0.53,0.63,0.68,0.66,0.53,0.50,0.57,0.61,0.50,0.67,0.66,0.66,0.65,0.67,0.67,0.56,0.50,0.53,0.50,0.55,0.57,0.59,0.50,0.51,0.54,0.58,0.55,0.50,0.50,0.50,0.66,0.50,0.57,0.57,0.53,0.65,0.61,0.81
121-1,NaN,0.70,0.73,0.57,0.56,0.57,0.56,0.63,0.62,0.50,0.58,0.50,0.50,0.57,0.52,0.58,0.65,0.50,0.77,0.50,0.56,0.64,0.63,0.51,0.64,0.63,0.63,0.50,0.55,0.50,0.68,0.63,0.54,0.64,0.64,0.50,0.70,0.49,0.77,0.59,0.52,0.53,0.58,0.68,0.73,0.65,0.57,0.58,0.65,0.62,0.65,0.56,0.60,0.51,0.53,0.54,0.61,0.67,0.65,0.64,0.63,0.63,0.59,0.54,0.57,0.54,0.57,0.59,0.56,0.50,0.50,0.67,0.62,0.58,0.50,0.50,0.50,0.63,0.62,0.58,0.58,0.65,0.66,0.63,0.52
121-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.53,0.50,0.54,0.50,0.51,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.50,0.51,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.51,0.50,0.51,0.51,0.51,0.51,0.52,0.52,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.52,0.50,0.50,0.50,0.50
121-3,NaN,0.67,0.70,0.62,0.62,0.62,0.62,0.62,0.71,0.50,0.63,0.50,0.50,0.57,0.59,0.58,0.65,0.50,0.78,0.50,0.63,0.67,0.62,0.52,0.67,0.62,0.63,0.50,0.60,0.50,0.66,0.65,0.54,0.65,0.65,0.50,0.70,0.49,0.77,0.59,0.55,0.53,0.58,0.73,0.73,0.67,0.57,0.59,0.66,0.66,0.66,0.56,0.60,0.52,0.54,0.54,0.65,0.67,0.65,0.66,0.64,0.63,0.59,0.54,0.53,0.54,0.53,0.58,0.58,0.51,0.51,0.67,0.63,0.54,0.50,0.50,0.50,0.63,0.62,0.58,0.58,0.64,0.66,0.65,0.52
122-1,NaN,0.67,0.70,0.56,0.55,0.55,0.55,0.64,0.59,0.63,0.56,0.64,0.50,0.53,0.53,0.62,0.62,0.54,0.74,0.50,0.57,0.67,0.65,0.59,0.67,0.62,0.63,0.50,0.50,0.50,0.55,0.65,0.50,0.62,0.62,0.55,0.66,0.57,0.67,0.56,0.52,0.50,0.56,0.58,0.65,0.62,0.54,0.56,0.62,0.60,0.61,0.53,0.60,0.52,0.53,0.50,0.59,0.62,0.62,0.61,0.61,0.61,0.57,0.50,0.49,0.50,0.49,0.55,0.53,0.51,0.51,0.53,0.58,0.49,0.50,0.50,0.50,0.59,0.54,0.57,0.57,0.52,0.49,0.52,0.52
124-1,NaN,0.81,0.78,0.80,0.75,0.71,0.75,0.54,0.67,0.77,0.75,0.87,0.52,0.80,0.59,0.76,0.59,0.76,0.70,0.80,0.66,0.70,0.56,0.61,0.70,0.54,0.54,0.82,0.84,0.73,0.65,0.72,0.79,0.50,0.50,0.54,0.52,0.57,0.50,0.51,0.73,0.77,0.50,0.59,0.46,0.48,0.68,0.61,0.48,0.60,0.41,0.68,0.57,0.64,0.60,0.76,0.58,0.41,0.42,0.47,0.41,0.40,0.55,0.73,0.77,0.76,0.77,0.54,0.76,0.62,0.62,0.61,0.43,0.76,0.53,0.53,0.53,0.49,0.63,0.36,0.36,0.59,0.53,0.44,0.81
124-2,NaN,0.59,0.50,0.65,0.64,0.63,0.64,0.39,0.49,0.25,0.60,0.20,0.51,0.53,0.39,0.54,0.46,0.55,0.46,0.59,0.41,0.64,0.44,0.37,0.64,0.42,0.40,0.60,0.71,0.53,0.55,0.63,0.57,0.40,0.40,0.55,0.56,0.32,0.36,0.39,0.35,0.57,0.41,0.52,0.37,0.44,0.67,0.57,0.44,0.47,0.37,0.57,0.23,0.69,0.59,0.58,0.44,0.39,0.40,0.34,0.38,0.38,0.56,0.58,0.74,0.58,0.74,0.56,0.55,0.64,0.64,0.34,0.37,0.72,0.50,0.50,0.50,0.46,0.33,0.34,0.34,0.30,0.44,0.36,0.43
124-3,NaN,0.81,0.78,0.76,0.60,0.53,0.60,0.53,0.62,0.80,0.69,0.87,0.52,0.80,0.59,0.76,0.58,0.66,0.69,0.79,0.66,0.62,0.54,0.59,0.62,0.58,0.59,0.81,0.84,0.73,0.54,0.65,0.79,0.47,0.47,0.54,0.46,0.57,0.46,0.49,0.73,0.76,0.48,0.59,0.44,0.41,0.68,0.52,0.41,0.47,0.37,0.68,0.57,0.64,0.58,0.69,0.46,0.37,0.37,0.46,0.37,0.37,0.53,0.66,0.60,0.69,0.60,0.53,0.71,0.65,0.66,0.59,0.43,0.63,0.53,0.53,0.53,0.39,0.63,0.33,0.33,0.58,0.55,0.40,0.82
125-1,NaN,0.84,0.84,0.69,0.67,0.67,0.67,0.80,0.65,0.76,0.69,0.80,0.55,0.71,0.65,0.70,0.77,0.61,0.85,0.63,0.68,0.69,0.76,0.72,0.69,0.69,0.67,0.63,0.59,0.52,0.82,0.67,0.54,0.73,0.73,0.54,0.79,0.72,0.80,0.75,0.61,0.53,0.71,0.79,0.78,0.71,0.61,0.72,0.71,0.76,0.70,0.56,0.59,0.57,0.62,0.54,0.75,0.71,0.70,0.73,0.67,0.67,0.63,0.54,0.69,0.54,0.69,0.60,0.70,0.52,0.52,0.65,0.67,0.70,0.50,0.50,0.50,0.67,0.61,0.59,0.59,0.63,0.71,0.69,0.54
125-2,NaN,0.89,0.88,0.79,0.76,0.75,0.76,0.77,0.79,0.72,0.76,0.70,0.72,0.70,0.70,0.64,0.76,0.65,0.80,0.66,0.74,0.73,0.73,0.74,0.72,0.69,0.71,0.62,0.66,0.64,0.80,0.70,0.56,0.74,0.74,0.57,0.70,0.66,0.81,0.68,0.68,0.55,0.67,0.76,0.78,0.65,0.63,0.71,0.64,0.70,0.68,0.59,0.60,0.60,0.58,0.57,0.69,0.63,0.62,0.68,0.60,0.60,0.56,0.57,0.69,0.57,0.68,0.54,0.80,0.54,0.54,0.67,0.63,0.67,0.52,0.52,0.52,0.64,0.64,0.54,0.54,0.63,0.71,0.67,0.55
125-3,NaN,0.87,0.89,0.87,0.83,0.83,0.83,0.77,0.79,0.81,0.79,0.82,0.74,0.75,0.74,0.75,0.73,0.88,0.80,0.87,0.75,0.75,0.68,0.77,0.75,0.76,0.78,0.88,0.72,0.71,0.72,0.77,0.65,0.68,0.68,0.70,0.68,0.69,0.72,0.67,0.69,0.62,0.65,0.73,0.70,0.65,0.66,0.66,0.65,0.69,0.67,0.57,0.67,0.65,0.67,0.68,0.68,0.62,0.62,0.61,0.61,0.61,0.60,0.69,0.70,0.69,0.69,0.59,0.63,0.60,0.60,0.61,0.55,0.65,0.54,0.54,0.53,0.56,0.52,0.57,0.57,0.61,0.61,0.60,0.91
126-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
127-1,NaN,0.85,0.85,0.85,0.83,0.82,0.83,0.79,0.70,0.61,0.81,0.63,0.70,0.74,0.70,0.64,0.72,0.80,0.73,0.78,0.76,0.74,0.73,0.72,0.74,0.71,0.72,0.80,0.61,0.54,0.79,0.74,0.55,0.74,0.74,0.72,0.72,0.67,0.56,0.74,0.62,0.54,0.74,0.75,0.56,0.69,0.64,0.73,0.69,0.72,0.67,0.57,0.64,0.60,0.62,0.56,0.70,0.66,0.66,0.70,0.62,0.61,0.63,0.57,0.58,0.57,0.58,0.61,0.67,0.56,0.57,0.51,0.64,0.65,0.52,0.52,0.52,0.61,0.56,0.52,0.52,0.52,0.54,0.60,0.80
127-2,NaN,0.87,0.88,0.85,0.82,0.81,0.81,0.75,0.73,0.70,0.79,0.64,0.69,0.76,0.79,0.65,0.68,0.80,0.75,0.79,0.79,0.72,0.72,0.75,0.72,0.72,0.72,0.79,0.59,0.65,0.76,0.72,0.58,0.72,0.72,0.68,0.72,0.69,0.64,0.74,0.65,0.56,0.72,0.71,0.62,0.70,0.65,0.76,0.70,0.76,0.71,0.62,0.66,0.60,0.60,0.60,0.73,0.67,0.68,0.68,0.65,0.65,0.63,0.57,0.58,0.57,0.58,0.60,0.71,0.56,0.57,0.59,0.62,0.62,0.51,0.52,0.51,0.63,0.60,0.56,0.56,0.56,0.55,0.62,0.87
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.81,0.81,0.60,0.58,0.58,0.58,0.69,0.51,0.59,0.58,0.61,0.59,0.64,0.60,0.74,0.55,0.55,0.61,0.56,0.54,0.53,0.65,0.60,0.52,0.58,0.57,0.53,0.59,0.51,0.64,0.53,0.65,0.57,0.57,0.55,0.55,0.49,0.62,0.63,0.59,0.63,0.60,0.54,0.62,0.52,0.53,0.59,0.52,0.62,0.58,0.58,0.54,0.53,0.53,0.59,0.61,0.50,0.51,0.56,0.52,0.52,0.48,0.60,0.51,0.59,0.51,0.48,0.53,0.52,0.52,0.47,0.55,0.51,0.53,0.53,0.53,0.54,0.51,0.52,0.52,0.46,0.52,0.50,0.67
129-1,NaN,0.86,0.86,0.87,0.85,0.83,0.85,0.84,0.88,0.62,0.81,0.61,0.82,0.69,0.76,0.80,0.85,0.81,0.74,0.72,0.73,0.70,0.79,0.74,0.74,0.72,0.72,0.69,0.68,0.66,0.77,0.72,0.71,0.74,0.74,0.65,0.74,0.71,0.65,0.71,0.64,0.69,0.71,0.78,0.64,0.68,0.67,0.73,0.69,0.75,0.68,0.60,0.63,0.64,0.67,0.64,0.72,0.65,0.66,0.65,0.63,0.62,0.61,0.62,0.62,0.66,0.61,0.60,0.69,0.59,0.59,0.44,0.61,0.63,0.58,0.58,0.57,0.64,0.47,0.52,0.52,0.40,0.55,0.57,0.86
129-2,NaN,0.67,0.61,0.62,0.61,0.60,0.61,0.44,0.46,0.36,0.60,0.37,0.50,0.46,0.42,0.58,0.48,0.59,0.52,0.61,0.41,0.61,0.49,0.42,0.61,0.61,0.59,0.57,0.41,0.62,0.49,0.60,0.73,0.57,0.57,0.53,0.57,0.47,0.42,0.47,0.37,0.73,0.48,0.69,0.43,0.52,0.58,0.53,0.53,0.43,0.45,0.56,0.38,0.58,0.54,0.63,0.43,0.53,0.52,0.49,0.50,0.50,0.56,0.64,0.58,0.64,0.58,0.56,0.54,0.58,0.58,0.40,0.50,0.56,0.55,0.55,0.55,0.54,0.44,0.44,0.43,0.39,0.50,0.41,0.56
129-3,NaN,0.85,0.86,0.87,0.85,0.84,0.85,0.84,0.88,0.62,0.81,0.61,0.82,0.69,0.76,0.80,0.85,0.80,0.75,0.71,0.73,0.70,0.79,0.74,0.74,0.72,0.72,0.72,0.69,0.67,0.77,0.72,0.70,0.74,0.74,0.65,0.75,0.71,0.65,0.71,0.64,0.69,0.71,0.79,0.64,0.68,0.67,0.73,0.69,0.75,0.69,0.60,0.63,0.64,0.67,0.66,0.72,0.66,0.66,0.65,0.63,0.62,0.61,0.64,0.63,0.67,0.62,0.60,0.69,0.60,0.59,0.45,0.61,0.63,0.57,0.57,0.56,0.64,0.45,0.52,0.52,0.41,0.55,0.57,0.86
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.77,0.74,0.60,0.59,0.60,0.59,0.67,0.68,0.62,0.60,0.63,0.50,0.62,0.60,0.62,0.67,0.54,0.79,0.54,0.65,0.69,0.68,0.59,0.69,0.70,0.71,0.54,0.60,0.53,0.66,0.67,0.54,0.66,0.66,0.59,0.73,0.54,0.74,0.62,0.60,0.53,0.59,0.68,0.70,0.68,0.59,0.64,0.67,0.64,0.69,0.58,0.60,0.53,0.55,0.54,0.63,0.68,0.67,0.66,0.65,0.65,0.61,0.54,0.57,0.54,0.57,0.59,0.65,0.51,0.51,0.66,0.63,0.54,0.50,0.50,0.50,0.63,0.58,0.58,0.58,0.64,0.63,0.60,0.54
131-2,NaN,0.79,0.80,0.59,0.58,0.58,0.58,0.69,0.68,0.62,0.60,0.64,0.50,0.64,0.60,0.62,0.67,0.50,0.80,0.50,0.64,0.69,0.68,0.57,0.69,0.67,0.68,0.50,0.60,0.53,0.69,0.67,0.54,0.68,0.68,0.54,0.74,0.53,0.73,0.62,0.60,0.53,0.60,0.72,0.69,0.69,0.59,0.64,0.69,0.65,0.67,0.58,0.60,0.53,0.55,0.54,0.63,0.70,0.69,0.68,0.67,0.66,0.62,0.54,0.57,0.54,0.57,0.60,0.62,0.51,0.51,0.66,0.65,0.57,0.50,0.50,0.50,0.66,0.62,0.59,0.59,0.64,0.66,0.63,0.54
131-3,NaN,0.50,0.70,0.74,0.70,0.70,0.70,0.75,0.74,0.57,0.70,0.59,0.59,0.50,0.63,0.64,0.77,0.67,0.79,0.65,0.71,0.69,0.72,0.63,0.70,0.62,0.64,0.66,0.54,0.61,0.74,0.68,0.50,0.71,0.71,0.57,0.74,0.53,0.73,0.67,0.57,0.50,0.64,0.77,0.71,0.73,0.60,0.75,0.73,0.67,0.68,0.49,0.49,0.56,0.58,0.50,0.67,0.70,0.70,0.64,0.68,0.68,0.64,0.53,0.70,0.50,0.70,0.60,0.68,0.51,0.51,0.65,0.63,0.62,0.50,0.50,0.50,0.63,0.59,0.62,0.62,0.62,0.70,0.66,0.65
132-1,NaN,0.90,0.90,0.83,0.80,0.80,0.80,0.84,0.83,0.67,0.75,0.66,0.77,0.73,0.76,0.84,0.77,0.78,0.79,0.77,0.76,0.77,0.77,0.76,0.77,0.69,0.69,0.59,0.67,0.52,0.65,0.76,0.62,0.73,0.73,0.72,0.68,0.68,0.67,0.69,0.67,0.60,0.67,0.80,0.67,0.65,0.60,0.68,0.66,0.70,0.63,0.61,0.70,0.58,0.59,0.63,0.73,0.64,0.65,0.67,0.63,0.63,0.60,0.55,0.57,0.61,0.56,0.56,0.75,0.52,0.52,0.56,0.60,0.62,0.51,0.51,0.50,0.60,0.62,0.56,0.56,0.59,0.53,0.56,0.85
132-2,NaN,0.90,0.90,0.82,0.79,0.80,0.79,0.84,0.83,0.67,0.74,0.66,0.77,0.74,0.76,0.84,0.77,0.78,0.78,0.77,0.76,0.77,0.76,0.76,0.76,0.69,0.69,0.59,0.67,0.52,0.65,0.75,0.62,0.71,0.71,0.72,0.67,0.68,0.68,0.69,0.69,0.60,0.67,0.80,0.68,0.62,0.60,0.69,0.64,0.70,0.62,0.61,0.70,0.58,0.59,0.63,0.73,0.63,0.63,0.66,0.61,0.62,0.59,0.55,0.57,0.61,0.56,0.56,0.75,0.52,0.52,0.55,0.60,0.62,0.51,0.51,0.50,0.59,0.62,0.55,0.55,0.59,0.52,0.57,0.85
